20200208,宝山,大场镇,聚丰福邸 2室2厅 450万必看好房,450万,2室2厅 | 88.28平米 | 南 | 毛坯 | 低楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PGh6cgTfS_1.jpg.296x216.jpg
20200208,宝山,大场镇,和泰苑的标准大三房，得房率高，交通便利必看好房,450万,3室2厅 | 113.47平米 | 南 北 | 简装 | 中楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VaplVGrsu_1.jpg.296x216.jpg
20200208,宝山,大场镇,顶楼复式 带大阁楼 一手动迁税费少 无遮挡视野好必看好房,360万,3室2厅 | 96.97平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cc31140e-c8c3-4220-a06d-824fe32d5db6.jpg.296x216.jpg
20200208,宝山,大场镇,满五唯一，采光充足，配套齐全 看房方便 交通便利必看好房,277.5万,2室1厅 | 72.11平米 | 南 北 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YMW2OnceS_1.jpg.296x216.jpg
20200208,宝山,大场镇,居家装修温馨2房1厅地铁距离300米中间楼层视野好必看好房,230万,2室1厅 | 54.39平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nMPRu9c6a_1.jpg.296x216.jpg
20200208,宝山,大场镇,空间布局有秩，和谐有序，清新空气自由穿行必看好房,335万,2室1厅 | 87.2平米 | 南 北 | 精装 | 中楼层(共4层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UsONstpK3_1.jpg.296x216.jpg
20200208,宝山,大场镇,小区中间位置，南北通，精装修，生活便利必看好房,405万,3室2厅 | 99.42平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a3d21aa0-28d6-4d5b-9525-4e306d026b18.jpg.296x216.jpg
20200208,宝山,大场镇,14年商品房，电梯房高楼层，采光通风好必看好房,355万,2室1厅 | 72平米 | 南 | 简装 | 高楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bb6b5304-05cf-4c41-9469-469b2a763784.jpg.296x216.jpg
20200208,宝山,大场镇,一梯两户，南北两房一厅，地铁口300m，配套设施齐全必看好房,215万,2室1厅 | 54.58平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hdA1v4OtK_1.jpg.296x216.jpg
20200208,宝山,大场镇,正气一房，朝南户型，业主诚意出售，税费少，采光好必看好房,173万,1室1厅 | 47.85平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ykJv7sUpz_1.jpg.296x216.jpg
20200208,宝山,大场镇,一楼带院子，一梯两户 客厅南北两窗户 采光通风好必看好房,180万,1室1厅 | 41.57平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VjyeUt43B_1.jpg.296x216.jpg
20200208,宝山,大场镇,户型正气 进地铁 配套设施齐全 交通便利 出行方便必看好房,185万,1室1厅 | 43.19平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TgEJBWkyB_1.jpg.296x216.jpg
20200208,宝山,大场镇,上大阳光乾和园 2室2厅 348万必看好房,348万,2室2厅 | 84.17平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/1f1c7215-bc85-4b40-884a-4628eb532cf6.png.296x216.jpg
20200208,宝山,大场镇,户型方正， 南北通透，近地铁，全明户型,450万,2室2厅 | 100.04平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f1367a96-a4e9-4d0a-8575-d3836cbeb5ae.jpg.296x216.jpg
20200208,宝山,大场镇,14年小区，15号线丰翔路地铁500米，南北通户型好房主自荐,460万,2室2厅 | 94.6平米 | 南 | 精装 | 低楼层(共12层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_w58ItpCOB_1.jpg.296x216.jpg
20200208,宝山,大场镇,此房满五唯一，税费少，楼层好采光充足,180万,1室1厅 | 47.85平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PqoAnUNIO_1.jpg.296x216.jpg
