20200208,宝山,大华,近小区花园位置   满五唯一   户型正气必看好房,460万,2室2厅 | 88.38平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-328a7051-736b-4f0f-b987-4c8abcc2d6c3.jpg.296x216.jpg
20200208,宝山,大华,2002年电梯两房，户型好，采光好，近地铁，产权清晰必看好房,535万,2室2厅 | 95.11平米 | 南 | 简装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3ef8619f-8f24-4037-b31c-3822c7daa07d.jpg.296x216.jpg
20200208,宝山,大华,文华苑四期三房，顶楼复式，单价四万四必看好房,499万,3室2厅 | 113.34平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eeConn7T5_1.jpg.296x216.jpg
20200208,宝山,大华,满五年唯一+精装修+拎包入住+位置好必看好房,730万,3室2厅 | 131.98平米 | 南 北 | 简装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a2b6018d-f320-418d-a064-0c8484a23bfb.jpg.296x216.jpg
20200208,宝山,大华,满五年唯一+采光无遮挡+拎包入住+位置好必看好房,750万,3室2厅 | 132.21平米 | 南 | 精装 | 中楼层(共10层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QSFuFQfEH_1.jpg.296x216.jpg
20200208,宝山,大华,电梯+产权车位+飞机户型南北通三房 满五唯一必看好房,688万,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共7层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d27fb927-241e-47a9-abf4-a82c1e9e2369.jpg.296x216.jpg
20200208,宝山,大华,中环一号南北直通大两房，增值税个税全免必看好房,530万,2室2厅 | 99.14平米 | 南 | 精装 | 低楼层(共13层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MHtaK0cFz_1.jpg.296x216.jpg
20200208,宝山,大华,精致三房，双卧朝南，客厅南北户型，满五年诚意出售必看好房,525万,3室2厅 | 104.44平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UeCjMvnbS_2.jpg.296x216.jpg
20200208,宝山,大华,中环内精装一房，朝南采光好，近商圈，诚意出售必看好房,258万,1室1厅 | 52.92平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0TQ1LAo2a.jpg.296x216.jpg
20200208,宝山,大华,南北采光好，免收增值税，南北板式户型。小区仅此一套必看好房,505万,2室2厅 | 97.51平米 | 南 | 毛坯 | 低楼层(共13层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8af0814e-6bd3-4fa7-a679-48eff3731681.jpg.296x216.jpg
20200208,宝山,大华,南北通风 带花园 位置很安静 满五唯一必看好房,465万,2室1厅 | 82.51平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ezDBPjpTC_1.jpg.296x216.jpg
