20200208,宝山,共富,共富二村，双南大两房，精装修，楼层好，是您的选择必看好房,309万,2室1厅 | 83.15平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8014c706-fa5f-47b4-8981-237986b205d8.jpg.296x216.jpg
20200208,宝山,共富,共富优选一房 业主诚心出售 中间楼层 交通便利必看好房,235万,1室1厅 | 62.78平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7c1522f-588c-4212-a701-30b6df87b6bb.jpg.296x216.jpg
20200208,宝山,共富,地铁优质两房+户型正+总价低+500米到地铁必看好房,245万,2室1厅 | 70.23平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9J4cpB028_1.jpg.296x216.jpg
20200208,宝山,共富,双南两房，附带天井已搭好，近地铁，满五年！必看好房,298万,2室1厅 | 78.15平米 | 南 | 毛坯 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-54913e47-9edf-4a10-a842-441a909c7c9c.jpg.296x216.jpg
20200208,宝山,共富,【新上房源】1号线共富新村站 飞机户型三房业主诚售必看好房,350万,3室2厅 | 96.09平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_poqHL7Vjs_1.jpg.296x216.jpg
20200208,宝山,共富,精装修三年带阁楼，楼上可以住人，户型正气双南两房必看好房,285万,2室1厅 | 69.42平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YP7pdx3wM_1.jpg.296x216.jpg
20200208,宝山,共富,链家优选 共富小两房 精装修 带阁楼 诚心出售必看好房,246万,2室1厅 | 58.94平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_icfqQ4jaT_1.jpg.296x216.jpg
20200208,宝山,共富,3楼+采光好+交通便利+业主诚卖！小区物业好必看好房,235万,2室1厅 | 56.4平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Gd3M2jhbA_1.jpg.296x216.jpg
20200208,宝山,共富,新上房源！05年新房~中间楼层~采光充足~邻近地铁！必看好房,185万,1室1厅 | 45.58平米 | 南 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FJyMPvuSu_1.jpg.296x216.jpg
20200208,宝山,共富,风里雨里，我就在这里，共富新二村05年正规次新三房必看好房,369万,3室2厅 | 98.17平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7DO5HDYTK_1.jpg.296x216.jpg
20200208,宝山,共富,本房中等装修，采光充足，小区中间位置，业主诚售。必看好房,185万,1室1厅 | 51.37平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ga9lxcTBa_1.jpg.296x216.jpg
20200208,宝山,共富,一楼带双天井天井已搭+业主诚心出售+近地铁350米！必看好房,309万,3室1厅 | 79.98平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3ajAG4OQJ_1.jpg.296x216.jpg
20200208,宝山,共富,精装修三房，单价低，距地铁站800米，出行方便必看好房,310万,3室1厅 | 90.5平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8f5ab1a8-921f-461d-8ee2-416bcd3efca4.jpg.296x216.jpg
20200208,宝山,共富,6复7,5房复式（附带双北露台）+业主诚售（看房随时）必看好房,498万,5室2厅 | 181.1平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5a54446d-ac61-4679-8f6b-4f0318e22666.jpg.296x216.jpg
20200208,宝山,共富,南北户型（有改动）+采光好+看房方便+交通便利必看好房,183万,1室1厅 | 49.83平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/28a36c5f-7971-4ef2-9c54-0dbb257a88e9.jpg.296x216.jpg
20200208,宝山,共富,4房大复式（品质小区）+露台27平，近地铁1号线+诚售房主自荐,470万,4室2厅 | 141.26平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gYhYfZH9t_1.jpg.296x216.jpg
20200208,宝山,共富,富都园+2003年竣工+南北错层+2房2厅2卫2阳台+满五唯一房主自荐,425万,2室2厅 | 104.45平米 | 南 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BRyhfMSxV_1.jpg.296x216.jpg
20200208,宝山,共富,富都园04年次新房+精装4房+视野开阔+实用面积大+满五房主自荐,490万,4室2厅 | 137.73平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-027c6e8b-d4f8-43f5-adbb-2d4086314cee.jpg.296x216.jpg
20200208,宝山,共富,业主诚意出售，2005年次新房，楼上有五十平一层露台！,474万,3室2厅 | 135.05平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-31642ff1-bc71-4ee8-a6f1-b68f8ce28354.jpg.296x216.jpg
20200208,宝山,共富,高品质小区02年次新房-复式带大露台，业主诚意出售房主自荐,480万,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cbd2a42d-8859-494a-b8b7-b70f03cf1d59.jpg.296x216.jpg
20200208,宝山,共富,Lianjia优选+高质量住小区+环境优美+人车分流,640万,3室2厅 | 121.52平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_inJOMGS4H_1.jpg.296x216.jpg
20200208,宝山,共富,正规精装大三房，高得房率，全明户型,435万,3室2厅 | 108.88平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nPKqS1tQy_1.jpg.296x216.jpg
20200208,宝山,共富,富华苑02年次新房大复式带露台50平米+看房随时+房型正,566万,4室3厅 | 190.58平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5fda17ab-c06c-4160-a135-90f61a9de47d.jpg.296x216.jpg
20200208,宝山,共富,低楼层+南北户型好房型+中装修拎包入住+看房随时,296万,2室1厅 | 74.48平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c5d3fc20-63ac-4d03-bd17-b2c9b71de240.jpg.296x216.jpg
20200208,宝山,共富,2006年次新大平层三房  精装 全明户型 前面是花园,499万,3室1厅 | 140.05平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cd6bf342-c344-4f37-b327-07f188cf690a.jpg.296x216.jpg
20200208,宝山,共富,富都园一楼带天井+南北错层+小区环境优美+交通便利房主自荐,407万,2室2厅 | 97.14平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c09022c4-fc71-4fdc-9158-4d74f233c0cb.jpg.296x216.jpg
20200208,宝山,共富,融创家园，宝山之星，华灯初上，灯火阑珊！,660万,3室2厅 | 120.17平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1E5esXP86_1.jpg.296x216.jpg
20200208,宝山,共富,一手动迁房，免征增值税以及附加税,楼层好+南北户型房主自荐,490万,3室2厅 | 126.21平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NGPzTKqUa.jpg.296x216.jpg
20200208,宝山,共富,共富二村次新房，一楼带有双天井，满五唯一，房型正气,358万,3室2厅 | 97.27平米 | 南 | 简装 | 低楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5e595083-8594-4a75-b46a-d1f3734cf33e.jpg.296x216.jpg
20200208,宝山,共富,宝山未来之星+顾村豪地+舒适的环境上端品质生活选择房主自荐,680万,4室2厅 | 131.69平米 | 南 | 精装 | 低楼层(共15层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b6780808-5c47-4ad2-8862-112565ee4c9c.jpg.296x216.jpg
20200208,宝山,共富,富隆苑+多层南北2房+低楼层+环境好+满五年+看房随时,360万,2室2厅 | 90.28平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VtiUKHD2i_1.jpg.296x216.jpg
