20200208,宝山,共康,地铁好房近万达  好房值得拥有共康仅此一套必看好房,535万,2室2厅 | 84.8平米 | 南 北 | 精装 | 高楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8b14c6a2-ed4e-452d-934c-b5f28e72ae7c_1000.jpg.296x216.jpg
20200208,宝山,共康,07年电梯房+小三房+满五唯一+采光视野足+看房方便必看好房,505万,3室2厅 | 95.71平米 | 南 | 简装 | 高楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d37f4a75-5400-49b3-95b4-f1c39caebb17_1000.jpg.296x216.jpg
20200208,宝山,共康,中间楼层采光好 南北通透户型佳 三面环水环境好必看好房,445万,2室2厅 | 91.24平米 | 南 北 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ws84lOLrE_1.jpg.296x216.jpg
20200208,宝山,共康,双南户型，一楼带大花园，税费少必看好房,479万,2室2厅 | 85.14平米 | 南 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4abb681c-526d-401e-95b7-79079066681c.jpg.296x216.jpg
20200208,宝山,共康,一房的价格买 双南双天井两房，学而有成，宝山万达必看好房,235万,2室1厅 | 49.28平米 | 南 | 简装 | 低楼层(共4层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6gdfLHttv_1.jpg.296x216.jpg
20200208,宝山,共康,总价低+ 上下楼方便+近地铁+诚意出售必看好房,185万,1室1厅 | 46.85平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XfMiDEA8e_1.jpg.296x216.jpg
20200208,宝山,共康,Lianjia.南北通透+非顶楼采光好+万达商圈+诚意出售,305万,2室1厅 | 75.82平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6ffa2dfc-6598-4531-8a3e-52d0cff03d84.jpg.296x216.jpg
20200208,宝山,共康,和欣高区景观房，税费少，无遮挡，采光佳！房主自荐,710万,3室2厅 | 119.08平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3ab06f6f-7c26-4b6d-adc9-35ec9eee4cf4.jpg.296x216.jpg
20200208,宝山,共康,性价三房  双卧朝南  绿水公园,508万,3室2厅 | 100.86平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H87kKPSyA_1.jpg.296x216.jpg
20200208,宝山,共康,商½满五唯一，高区视野俯瞰共康全景，直视金茂大厦,480万,2室2厅 | 84.89平米 | 南 北 | 精装 | 高楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1DixdClK5_1.jpg.296x216.jpg
20200208,宝山,共康,满五唯一，高区大四房，视野辽阔，人车分流，精品装修,765万,4室2厅 | 127.62平米 | 南 北 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0pjQT0gqv_1.jpg.296x216.jpg
