20200208,宝山,顾村,好房推荐：保利叶语  精装修+中秧空调  拎包入住必看好房,465万,2室2厅 | 86.76平米 | 南 | 精装 | 中楼层(共21层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2HAwl7xrr_1.jpg.296x216.jpg
20200208,宝山,顾村,此房满五唯一免征个税，南北户型，交通方便，配套成熟必看好房,178万,2室1厅 | 56.02平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9c6ffc49-9d81-4382-b208-37a39d306955.jpg.296x216.jpg
20200208,宝山,顾村,刚需小区，电梯一房，诚心出售，有钥匙看房方便必看好房,205万,1室1厅 | 53.27平米 | 南 | 简装 | 低楼层(共8层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KSmkrsBfd_1.jpg.296x216.jpg
20200208,宝山,顾村,顾村地铁900米南北通两房，有钥匙看房方便必看好房,320万,2室2厅 | 74.13平米 | 南 北 | 毛坯 | 中楼层(共8层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-994ce90a-6708-4aa5-892c-409a705536ea.jpg.296x216.jpg
20200208,宝山,顾村,正宗南北两房  视野采光无遮挡 楼层适中必看好房,325万,2室2厅 | 84.67平米 | 南 | 简装 | 中楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xIMW2RhGO_1.jpg.296x216.jpg
20200208,宝山,顾村,小区经典三房，精装修，南北通，满五唯一，刚需之选必看好房,328万,3室2厅 | 89.63平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qfF1Mk0p0_1.jpg.296x216.jpg
20200208,宝山,顾村,首付95万+双地铁临城顾村+必看好房+满五年+税费少必看好房,278万,2室1厅 | 77.48平米 | 南 | 毛坯 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lUv2juO8m_1.jpg.296x216.jpg
20200208,宝山,顾村,顾村公园旁08年商品房，楼层好，税费少，诚意出售必看好房,315万,2室2厅 | 77.24平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J0ArQifHJ_1.jpg.296x216.jpg
20200208,宝山,顾村,正气两房/一手动迁/看房随时/业主急售/到价签字必看好房,268万,2室1厅 | 75.99平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bRLJuj5fw_1.jpg.296x216.jpg
20200208,宝山,顾村,此房精装修，楼层位置好，双南户型亮必看好房,300万,2室1厅 | 75.46平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vyeYCta96_1.jpg.296x216.jpg
20200208,宝山,顾村,近潘广路地铁，少数房型，随时看房，业主诚意出售必看好房,265万,2室2厅 | 79.02平米 | 南 北 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ijAQPLQ2x_1.jpg.296x216.jpg
20200208,宝山,顾村,南北通一房，主卧朝南带大阳台，毛坯房，动迁房必看好房,185万,1室1厅 | 53.86平米 | 南 | 毛坯 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a964f6ee-0edf-461e-bca4-1291121c21ee.jpg.296x216.jpg
20200208,宝山,顾村,龙湖商圈顾村公园，一手动迁，高层南北一房，地铁临街必看好房,229万,1室1厅 | 57.31平米 | 南 北 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-debb9e10-453e-4853-9b5a-19c273937356.jpg.296x216.jpg
20200208,宝山,顾村,东方帕堤欧 2室1厅 325万必看好房,325万,2室1厅 | 80.88平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Vbc63R6VM_1.jpg.296x216.jpg
20200208,宝山,顾村,二手买进 普通住宅无增值税 南北一房 诚心出售必看好房,210万,1室1厅 | 57.15平米 | 南 | 简装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OfXmDAYwo_1.jpg.296x216.jpg
20200208,宝山,顾村,南北通户型+小区中间位置+小区环境好必看好房,289万,2室2厅 | 90.66平米 | 南 | 精装 | 低楼层(共7层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-68018a40-871d-4102-b977-727162b85bea.jpg.296x216.jpg
20200208,宝山,顾村,顾村地铁900米南北通两房，有钥匙看房方便必看好房,315万,2室1厅 | 74.13平米 | 南 北 | 毛坯 | 中楼层(共8层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wcUwMw0b9_1.jpg.296x216.jpg
20200208,宝山,顾村,户型好，通透舒服，楼层佳采光好，地铁钥匙税费少必看好房,282万,2室1厅 | 70.81平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ejwSGkMuR_1.jpg.296x216.jpg
20200208,宝山,顾村,地铁700米精装修拎包入住，户型好南北通透，中间楼层必看好房,293万,2室2厅 | 76.21平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WNBwLpAPy_1.jpg.296x216.jpg
20200208,宝山,顾村,品质小区 电梯景观房  诚信出售必看好房,358万,2室1厅 | 76.64平米 | 南 北 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Uqj2JNK7E_1.jpg.296x216.jpg
20200208,宝山,顾村,馨佳园(菊泉街1969弄) 2室2厅 263万必看好房,263万,2室2厅 | 77.9平米 | 南 | 毛坯 | 高楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7yiM3Ikco_1.jpg.296x216.jpg
20200208,宝山,顾村,近地铁 楼层好 大面积一房 满五唯一 南北通必看好房,218万,1室1厅 | 57.54平米 | 南 北 | 简装 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0UuFcDjkP_1.jpg.296x216.jpg
20200208,宝山,顾村,刘行地铁口 好日子两居室 一手动迁有钥匙随时可看房子必看好房,265万,2室1厅 | 75.46平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WrH82Tdj4_1.jpg.296x216.jpg
20200208,宝山,顾村,户型正气，满五唯一，总高6楼的3楼，位置好，随时看房必看好房,275万,2室1厅 | 76.36平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eCVwgLMOh_1.jpg.296x216.jpg
20200208,宝山,顾村,近地铁 精装 景观电梯房 蝴蝶户型三房必看好房,420万,3室2厅 | 102.91平米 | 南 | 精装 | 高楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OrIvPO7n6_1.jpg.296x216.jpg
20200208,宝山,顾村,地铁口必看好房，精装中楼层，看房方便，等你来！必看好房,275万,2室2厅 | 77.17平米 | 南 北 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7GkRlvSnO_1.jpg.296x216.jpg
