20200208,宝山,罗店,满5唯一0个税，带地下产权车位，精装3房必看好房,306万,3室2厅 | 87.86平米 | 南 北 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IB6X44PGy_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖颐景园 2室2厅 277万必看好房,277万,2室2厅 | 84.05平米 | 南 北 | 精装 | 低楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a8dfef05-ff40-4c73-a8bc-084307b51e4f.jpg.296x216.jpg
20200208,宝山,罗店,此房满五，三房双南卧室，楼层好，全明，业主诚心卖必看好房,358万,3室2厅 | 92.06平米 | 南 北 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eitbEKgIu.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖岭域 3室2厅 380万必看好房,380万,3室2厅 | 90.25平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XWcCBXhKl_1.jpg.296x216.jpg
20200208,宝山,罗店,满五唯一，楼层好，2房2厅1卫 户型正气必看好房,263万,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共5层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5003d51a-b40e-4264-8ff6-039cafa51463.jpg.296x216.jpg
20200208,宝山,罗店,精装两房，拎包入住，出行方便，楼层好必看好房,260万,2室2厅 | 92.46平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p0qFFpn8T_1.jpg.296x216.jpg
20200208,宝山,罗店,铂珏公馆 开发商装修 楼层好 一天没有住过 看房方便必看好房,780万,4室2厅 | 256.6平米 | 南 | 精装 | 高楼层(共9层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0f225b18-2465-47e5-8973-ad2840355091.jpg.296x216.jpg
20200208,宝山,罗店,远洋7号 带车位 税少看房方便房主自荐,398万,3室2厅 | 103.64平米 | 南 北 | 简装 | 中楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2f9dcdcf-4d63-4daa-8020-23124e49654a.png.296x216.jpg
20200208,宝山,罗店,满五唯一带产权车位，小区位置优越，全明格局，南北通,430万,3室1厅 | 86.82平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1BDTG2rDj_1.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园 3室1厅 330万房主自荐,330万,3室1厅 | 85.57平米 | 南 北 | 精装 | 中楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9KSnWyThO_1.jpg.296x216.jpg
20200208,宝山,罗店,此房满五年带车位，南北通全明户型，拎包入住房主自荐,330万,2室1厅 | 89平米 | 南 | 精装 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fb6a40a6-56a1-43a4-8f4e-a7e045292518.jpg.296x216.jpg
20200208,宝山,罗店,美兰湖中华园︱188平毛坯顶复︱满五唯一︱带产权车位房主自荐,640万,4室2厅 | 188.1平米 | 南 | 毛坯 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e1bf52d9-365d-44b6-89d6-cc04c687259a.png.296x216.jpg
