20200208,宝山,淞宝,正气三房朝南，采光好，业主自住，看房方便诚心出售必看好房,370万,3室1厅 | 92.48平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DESSNYEsr.jpg.296x216.jpg
20200208,宝山,淞宝,满五年，91年房龄，采光通风效果好，拎包入住。必看好房,199万,2室1厅 | 58.64平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5dfaae50-7c20-4def-956d-ded02c4c391c.jpg.296x216.jpg
20200208,宝山,淞宝,经典一室一厅，朝南大阳台，小区门口就是宝杨菜市场必看好房,135万,1室1厅 | 39.59平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gP7HbG4TS.jpg.296x216.jpg
20200208,宝山,淞宝,小户型 总价低 适于刚需客户 楼层低必看好房,177万,1室1厅 | 38.61平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mS5szctcy.jpg.296x216.jpg
20200208,宝山,淞宝,南北两房 满5年简单装修 小区位置不靠马路离进口近必看好房,190万,2室1厅 | 57.84平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q2ocHxcBh.jpg.296x216.jpg
20200208,宝山,淞宝,中间楼层，南北两房，边套全明。必看好房,183万,2室1厅 | 49.76平米 | 南 北 | 毛坯 | 中楼层(共5层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PlKsdN1DC.jpg.296x216.jpg
20200208,宝山,淞宝,宝林一村非顶楼 1梯2户  户型正 靠地铁宝龙城宝乐汇必看好房,275万,2室1厅 | 53.97平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CnjPTEE0B.jpg.296x216.jpg
20200208,宝山,淞宝,宝山三村 中间楼层 00年房龄 主卧朝南 采光佳必看好房,445万,2室2厅 | 102.99平米 | 南 北 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a6b6df16-cf64-4949-978a-ed6d71bff607.jpg.296x216.jpg
20200208,宝山,淞宝,满五唯一，楼层好省力，前面遮挡少，精装修。必看好房,235万,2室1厅 | 50.45平米 | 南 | 精装 | 低楼层(共6层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8FNnSINUV.jpg.296x216.jpg
20200208,宝山,淞宝,海滨二村，中间楼层，有诺亚商场，出行方便。必看好房,123万,1室0厅 | 29.67平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bc542d06-de30-4251-9b66-0bfe039038a0.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢三村 满五唯一 简单装修 低楼层 业主诚心出售必看好房,215万,2室0厅 | 48.4平米 | 南 北 | 简装 | 低楼层(共5层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ASaydMRpn.jpg.296x216.jpg
20200208,宝山,淞宝,近地铁，总价低，采光好，拎包入住！必看好房,108万,1室0厅 | 36.37平米 | 北 | 精装 | 中楼层(共5层) | 1959年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m8ykZk3qO.jpg.296x216.jpg
20200208,宝山,淞宝,一梯两户 南北两房 全明户型 满五唯一 自住看房方便必看好房,240万,2室1厅 | 58.38平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_51GQ0BaUr.jpg.296x216.jpg
20200208,宝山,淞宝,永清二村精装修一房  拎包入住,150万,1室1厅 | 40.62平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8a2927d2-f97b-44d9-817c-630199c0854e.jpg.296x216.jpg
20200208,宝山,淞宝,宝山二村、经典一居、温馨小窝、全明通透采光好得房高,152万,1室1厅 | 40.49平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-09d20c4d-571c-4c71-98fd-15adcd4b1723.jpg.296x216.jpg
20200208,宝山,淞宝,房子满五唯一，产权一个人，免个税，方便看房,213万,2室1厅 | 58.48平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9a3cc66a-27fc-49e8-8633-cfcca0b91098.jpg.296x216.jpg
20200208,宝山,淞宝,永清二村，简装南北两房，西边套，采光充足，南北通风,220万,2室1厅 | 56.45平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53c6d2a1-6012-449a-97a3-dfcb26346ea7.jpg.296x216.jpg
20200208,宝山,淞宝,客厅明亮正气，卧室宽大舒心，好房等你来哦,408万,2室2厅 | 105.69平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hofheWJVD.jpg.296x216.jpg
20200208,宝山,淞宝,宝山八村 大A户型 经典三房 采光好,445万,3室2厅 | 99.99平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8y3yX7Wwm.jpg.296x216.jpg
20200208,宝山,淞宝,双南三房 采光佳 保养好 一梯两户 无个税,310万,3室1厅 | 72.52平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JLgJgRXr4.jpg.296x216.jpg
20200208,宝山,淞宝,三个阳台 非顶楼 采光佳 一梯两户 新三村房主自荐,410万,2室2厅 | 90.64平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-10735058-9cd4-4b15-a082-4022e160644c.jpg.296x216.jpg
20200208,宝山,淞宝,非顶楼 精装修 满五唯一 前后无遮挡,375万,2室1厅 | 84.86平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UCRvDWfda.jpg.296x216.jpg
20200208,宝山,淞宝,新！！满五唯一，一梯两户，全明户型，出入方便,160万,1室1厅 | 42.82平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oSYP0PfYd.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 简装一室一厅  满五唯一 诚意出售,150万,1室1厅 | 43.4平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_un6jr5Gbr.jpg.296x216.jpg
20200208,宝山,淞宝,厨卧朝南 全明户型 采光佳 看房方便！,150万,1室1厅 | 41.64平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YMQOEBZ52.jpg.296x216.jpg
