20200208,宝山,通河,地铁1号线+小区中间位置+南北通+满五年+我有钥匙必看好房,255万,2室1厅 | 55.89平米 | 南 北 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a20121a3-0001-47d5-8a4a-edb8fee85e93_1000.jpg.296x216.jpg
20200208,宝山,通河,精装一房中间楼层，配套齐全，税费低，总价低必看好房,186万,1室1厅 | 42.28平米 | 南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a86eabfe-c932-49b5-a5e9-44acd699f26e.jpg.296x216.jpg
20200208,宝山,通河,小区配套成熟，近地铁一号线，中间楼层三楼，户型正气必看好房,169万,1室1厅 | 35.73平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QyYYawML3_1.jpg.296x216.jpg
20200208,宝山,通河,宝山万达 轨交双南两房 满五年唯一 诚心出售必看好房,239万,2室1厅 | 60.75平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8cd3fe97-bba7-4909-a75e-f0e8880e268f.jpg.296x216.jpg
20200208,宝山,通河,一梯两户精装修，税费各付，有钥匙看房随时，近地铁。必看好房,203万,1室1厅 | 44.36平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/20e8a639-1fa1-45b1-8548-cd84689e7adb_1000.jpg.296x216.jpg
20200208,宝山,通河,通河二村 1室1厅 186万必看好房,186万,1室1厅 | 38.17平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5W62KD9Oa_1.jpg.296x216.jpg
20200208,宝山,通河,全明南北两房一厅，视野好，采光佳，精装，拎包入住必看好房,218万,2室1厅 | 57.65平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5b1f46bb-ef75-4d1f-93b4-23f631e26179.jpg.296x216.jpg
20200208,宝山,通河,楼层好 婚房装修 近地铁 拎包入住  配套齐全必看好房,185万,1室1厅 | 42.62平米 | 南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KJKosSXKW.jpg.296x216.jpg
20200208,宝山,通河,楼层佳 前无遮挡采光好 精装修 近通河新村站,465万,2室2厅 | 95.71平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-41f984d1-5576-4514-b995-0fd20a5e167c.png.296x216.jpg
20200208,宝山,通河,正气双南户型，小区位置好，业主诚意度。,305万,2室1厅 | 70.27平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9801f43e-848b-4f65-9e19-0f84808ef978.jpg.296x216.jpg
20200208,宝山,通河,三房加天井搭一房，宝山万达轨交旁配套齐东边套诚售,320万,3室1厅 | 74.02平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HTSkDtlO4_1.jpg.296x216.jpg
20200208,宝山,通河,正气三房，两房朝南，楼层好，钥匙房，随时可看,372万,3室1厅 | 85.78平米 | 南 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/7b93a150-8fe8-4e0e-a434-39058392b055_1000.jpg.296x216.jpg
20200208,宝山,通河,出门就是地铁一号线，房东诚意出售，看房随时,270万,2室1厅 | 58.94平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0ae5ae1e-126f-46e0-a87e-194d4b520d15.jpg.296x216.jpg
20200208,宝山,通河,满五年唯一，视野、采光好，专属委托，看房随时方便。,225万,2室1厅 | 60.85平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bbba0abf-9678-47d5-91e0-2d44a5ca5fa6.jpg.296x216.jpg
20200208,宝山,通河,新通河六村， 三房，满五年唯一，产权清晰，房型正。房主自荐,340万,3室1厅 | 94.48平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5155f121-7922-482d-bd44-7634e188d018.jpg.296x216.jpg
20200208,宝山,通河,共江小区大三房户型好，满五唯一税费少房东人好诚心卖,450万,3室1厅 | 92.06平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-57ab3ec9-7e32-47b3-8c0d-e9a6a8d37d00.jpg.296x216.jpg
20200208,宝山,通河,家乐福 万达近 1T2H 98年商品房 小区唯一在售两房户型房主自荐,318万,2室1厅 | 68.89平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vDW6IYBpW.jpg.296x216.jpg
20200208,宝山,通河,满五唯一，双南户型，业主置换，诚意出售！！！,245万,2室1厅 | 63.81平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OUyBJPu77_1.jpg.296x216.jpg
20200208,宝山,通河,中间楼层，采光好，交通方便，业主诚心卖房主自荐,198万,1室1厅 | 45.16平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XkKQworkQ_1.jpg.296x216.jpg
20200208,宝山,通河,银河家园 满五唯一 近地铁 全明户型 业主诚售,209万,1室1厅 | 47.94平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5Z73kGoIT_1.jpg.296x216.jpg
20200208,宝山,通河,非顶楼，总价低，采光好，无个税,190万,1室1厅 | 45.12平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fmWnHy99U_1.jpg.296x216.jpg
20200208,宝山,通河,新四村 精装修 近地铁 拎包入住 配套齐全,280万,2室1厅 | 59.2平米 | 南 | 精装 | 高楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MEeDPEXHM_1.jpg.296x216.jpg
20200208,宝山,通河,满五唯一，双南户型，业主诚售，位置好，采光好！！！,320万,2室1厅 | 80.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RCq3iqNWO_1.jpg.296x216.jpg
20200208,宝山,通河,银和家园 3室1厅 410万,410万,3室1厅 | 94.33平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6ea8b0b0-98db-4cf0-b831-78a29001e588_1000.jpg.296x216.jpg
20200208,宝山,通河,复式楼 带双南大露台 满五唯一 2012年装修 一直自住。房主自荐,578万,3室2厅 | 132.62平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-58524f3f-0178-408e-b96f-6b2b1fee9cee.jpg.296x216.jpg
20200208,宝山,通河,通河六村一楼带天井 满五唯一 业主诚心出售,240万,2室1厅 | 57.15平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-90ea81b6-6538-434f-a93f-0c04c120fc3e.jpg.296x216.jpg
