20200208,宝山,杨行,满二唯一，看房方便。简约装修，采光好，视野开阔。必看好房,328万,2室2厅 | 87.66平米 | 南 北 | 精装 | 高楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7aef1b12-f097-4e10-89d9-7f3357fbbf7b.jpg.296x216.jpg
20200208,宝山,杨行,中高楼层采光好，房东居住的装修，满五年税费少必看好房,313万,2室2厅 | 89.6平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DGFsjCZaZ_1.jpg.296x216.jpg
20200208,宝山,杨行,精装修，2改3，全明采光好，开放式厨房必看好房,255万,2室2厅 | 73.86平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-49a054d5-6954-45b0-a6f6-eb5e855b6984.jpg.296x216.jpg
20200208,宝山,杨行,天馨一梯一户的经典三房飞机户型必看好房,390万,3室2厅 | 109.16平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y8wkwW1MD_1.jpg.296x216.jpg
20200208,宝山,杨行,全南户型 精装修 采光充足 装修保养好必看好房,322万,2室2厅 | 84.5平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HOx2cggyx_1.jpg.296x216.jpg
20200208,宝山,杨行,万业紫辰苑 大平层 一梯一户 景观好 楼层佳 带车位！必看好房,798万,4室2厅 | 195.47平米 | 南 | 精装 | 中楼层(共26层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_owwzxiQmJ.jpg.296x216.jpg
20200208,宝山,杨行,香逸湾二期经典两房户型，满五年，楼层好，视野开阔必看好房,306万,2室2厅 | 69.19平米 | 南 | 简装 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sHe9TorjS_1.jpg.296x216.jpg
20200208,宝山,杨行,动迁 税费低 看房方便 房龄新必看好房,320万,2室2厅 | 79.23平米 | 南 | 简装 | 低楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SdZExWSa8_1.jpg.296x216.jpg
20200208,宝山,杨行,空间布局有致,和谐有序,清新空气自由穿行必看好房,305万,2室2厅 | 92.3平米 | 南 北 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nzycycMaJ_1.jpg.296x216.jpg
20200208,宝山,杨行,业主诚心出售柏丽两房，户型方正，满5唯1，位置好。必看好房,420万,2室2厅 | 101.79平米 | 南 | 简装 | 中楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_maakc8vyQ.jpg.296x216.jpg
20200208,宝山,杨行,地铁一号线800米 电梯房  采光好 配套齐全必看好房,357万,2室2厅 | 89.41平米 | 南 北 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d5ddf913-869f-44e1-99c8-68957f30a7e6.jpg.296x216.jpg
20200208,宝山,杨行,此房满五 有钥匙 免增值税 产权干净清晰必看好房,216万,1室1厅 | 60.58平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_863VhSLOv_1.jpg.296x216.jpg
20200208,宝山,杨行,满五唯一，南北通，得房率高，精装修直接拎包入住必看好房,350万,2室2厅 | 91.92平米 | 南 北 | 精装 | 中楼层(共4层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MxwLv9hjF_1.jpg.296x216.jpg
20200208,宝山,杨行,香逸湾经典小三房，满五唯一，采光好必看好房,370万,3室1厅 | 88.81平米 | 南 | 精装 | 中楼层(共12层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tqLwUzVeZ_1.jpg.296x216.jpg
20200208,宝山,杨行,此房户型正气，拎包入住，前后无遮挡，采光好。必看好房,385万,2室2厅 | 105.55平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HJELuYFeK_1.jpg.296x216.jpg
20200208,宝山,杨行,天馨花园两房朝南，满五唯一，总价低，税费少。必看好房,279万,2室1厅 | 74.93平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9WSvqrwvu_1.jpg.296x216.jpg
20200208,宝山,杨行,万业两房 楼层好 视野开阔  户型正气必看好房,313万,2室2厅 | 70.35平米 | 南 | 精装 | 中楼层(共32层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rPhJgz2j5_1.jpg.296x216.jpg
20200208,宝山,杨行,2017年婚房装修 全南二房  诚意出售 看房方便必看好房,230万,2室2厅 | 75.43平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DM3BhGkt2_1.jpg.296x216.jpg
20200208,宝山,杨行,地铁口，高楼层，前排无遮挡，精装修，满二年，必看好房,435万,3室2厅 | 103.86平米 | 南 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2CCLi3v4h_1.jpg.296x216.jpg
