20200208,宝山,张庙,链家vip优选，全明户型精装修小户型，看房子联系小田必看好房,160万,1室1厅 | 38.68平米 | 南 北 | 精装 | 中楼层(共5层) | 1979年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ade54423-74f9-4f4d-870a-4969ae2417fa_1000.jpg.296x216.jpg
20200208,宝山,张庙,通河一村全明户型，中间楼层，税费少，看房提前预约必看好房,312万,3室1厅 | 61.07平米 | 东南 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/44246d2c-b80b-4fa0-88c9-5f01ca7e22a5_1000.jpg.296x216.jpg
20200208,宝山,张庙,钻石3楼 一梯两户 精装  满五唯一 业主诚心出售！必看好房,238万,2室1厅 | 55.04平米 | 南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zBCLkJ0Tz_1.jpg.296x216.jpg
20200208,宝山,张庙,精装大两房！满五唯一，东边套全明户型，拎包入住！必看好房,310万,2室1厅 | 61.07平米 | 东南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kaDBlxtEN_1.jpg.296x216.jpg
20200208,宝山,张庙,边套全明户型来了，很干净。具体情况联系维护人哦~必看好房,210万,2室1厅 | 51.42平米 | 南 北 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1y3UozGvp.jpg.296x216.jpg
20200208,宝山,张庙,一梯两户＋全明户型 ＋花园旁 采光充足必看好房,178万,1室1厅 | 43.12平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/713382eb-223d-43f2-972c-8b5e0111d2ef_1000.jpg.296x216.jpg
20200208,宝山,张庙,必看好房，中间楼层，全明双南两居室，业主诚售！必看好房,256万,2室1厅 | 61.48平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jx2K7pxTX.jpg.296x216.jpg
20200208,宝山,张庙,边套南北两房，全明户型，低层非底楼老少皆宜。必看好房,215万,2室1厅 | 53.02平米 | 南 北 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nYQRtthCc.jpg.296x216.jpg
20200208,宝山,张庙,双南两房 厨卫朝北 客厅有窗  带一个大露台 诚意出售必看好房,290万,2室1厅 | 72.61平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-df9be608-655e-4f13-baea-b3025827f3f0.jpg.296x216.jpg
20200208,宝山,张庙,满5年唯一， 楼层好，南北通，随时看房，看中价格可谈必看好房,227万,2室1厅 | 52.92平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c9582ed7-ed5f-4d72-8b50-05f56ab56dea_1000.jpg.296x216.jpg
20200208,宝山,张庙,链家优选 专属委托 泗塘三村 边套房源  中间楼层必看好房,155万,1室0厅 | 33.81平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kjnkeDKDu_1.jpg.296x216.jpg
20200208,宝山,张庙,双南户型位置好采光佳，区内设有红星幼儿园读书方便必看好房,270万,2室1厅 | 64.34平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2ef4f840-fb6c-4c05-bde8-1ac9e285c2c4.jpg.296x216.jpg
20200208,宝山,张庙,小两房  满五唯一，精装，非顶楼，全明户型必看好房,178万,2室0厅 | 48.01平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/43b72647-d719-42b3-bb92-7599987e1744_1000.jpg.296x216.jpg
20200208,宝山,张庙,通河一村 1室2厅 275万必看好房,275万,1室2厅 | 57.38平米 | 东 东南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/56add70f-ba79-47c2-80eb-0603adff74d3_1000.jpg.296x216.jpg
20200208,宝山,张庙,朝南一室前后开阔，业主全权委托，看房约维护人必看好房,155万,1室0厅 | 32.89平米 | 南 | 毛坯 | 中楼层(共5层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/01c3152c-6a0c-4d79-a37a-c6e404f5fd39_1000.jpg.296x216.jpg
20200208,宝山,张庙,链家优选：泗塘三村，边套朝南一房，低总价，全明！必看好房,143万,1室0厅 | 36.09平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8f87fd2e-db8e-4558-a4a9-41217f44f44b_1000.jpg.296x216.jpg
20200208,宝山,张庙,呼玛五村二楼一房，近地铁出行方便，小区花园位置必看好房,175万,1室1厅 | 41.75平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5ZbyNMDIO_1.jpg.296x216.jpg
20200208,宝山,张庙,链家优选，专属委托，钻石三楼，全明户型，诚意出售。必看好房,238万,2室1厅 | 52.48平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2Wli6Jjdl_1.jpg.296x216.jpg
20200208,宝山,张庙,地铁出行+上学方便+南北直通正气户型,520万,2室2厅 | 98.75平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1423b7cc-eb67-4fdd-8872-3899d458e971.jpg.296x216.jpg
20200208,宝山,张庙,泗塘五村 非顶楼 南北全明两房 有钥匙看房方便,220万,2室1厅 | 62.05平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4fa3e51b-fff8-4a97-a24e-cb2c324fcbbc.png.296x216.jpg
20200208,宝山,张庙,通河一村 大一房可一改二 满五唯一 中间楼层,268万,1室1厅 | 57.08平米 | 南 | 简装 | 中楼层(共15层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-41986d8e-566c-4185-a140-c10af9573723.jpg.296x216.jpg
20200208,宝山,张庙,链家优选，南北两房+天井实用面积大+钥匙房,265万,2室1厅 | 57.72平米 | 南 北 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4c1c3929-d197-46fb-9f02-af52090831bd_1000.jpg.296x216.jpg
20200208,宝山,张庙,精装装修一梯两户03年的商品房,630万,3室2厅 | 116.69平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s8iZCIWTX_1.jpg.296x216.jpg
20200208,宝山,张庙,单价总价双低的温馨两房，南北朝向户型正气，交通便利,229万,2室1厅 | 55.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-43626a98-7007-4bff-973e-25244ca572b6.jpg.296x216.jpg
20200208,宝山,张庙,独栋双南正气两房 全明户型 中间楼层 满五年唯一,244万,2室1厅 | 55.65平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f090b9cb-1e0f-4ba5-8d0b-6ddc980942c4.png.296x216.jpg
20200208,宝山,张庙,武警公寓复式3房，6楼复7楼，整体朝南，拥抱阳光,450万,3室2厅 | 101.57平米 | 南 北 | 其他 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b72bcb88-d4e4-44d2-abbb-648d8dc5b3b5.jpg.296x216.jpg
20200208,宝山,张庙,近地铁电梯房，看房方便，房东诚意出售,360万,2室1厅 | 71.29平米 | 南 | 简装 | 低楼层(共13层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-2b545b1d-974f-4a8e-8b26-30946f4eae68.jpg.296x216.jpg
20200208,宝山,张庙,满五年唯一，两房朝南户型，户型方正，近呼兰路地铁。,251万,2室1厅 | 66.59平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36f5c583-a393-46d3-8a17-f2d9856746f0.jpg.296x216.jpg
20200208,宝山,张庙,买个房子带大花园闲来时候养养花沐浴阳光，挺好！,510万,3室2厅 | 112.6平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_inVYCwbT8_1.jpg.296x216.jpg
20200208,宝山,张庙,房东诚心出售，房型全明户型正气，出入方便，产权清晰,182万,1室1厅 | 42.22平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8fad05fd-4632-4277-8389-10dffc43b88d.jpg.296x216.jpg
20200208,宝山,张庙,泗塘五村-一梯四户，非顶楼，诚意出售,235万,2室1厅 | 62.05平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-437451d4-f0f1-42a7-8712-2714c5b4a45e.png.296x216.jpg
20200208,宝山,张庙,民悦苑 2室1厅 350万,350万,2室1厅 | 72.77平米 | 南 | 精装 | 低楼层(共13层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/dc32c955-b830-4c50-8af8-3b94aca1199b_1000.jpg.296x216.jpg
20200208,宝山,张庙,楼层好，一梯两户，全明，钥匙房，婚房，养老房,193万,1室1厅 | 42.49平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_biOlkbmva_1.jpg.296x216.jpg
20200208,宝山,张庙,一梯两户，户型方正好改动，楼层好采光好,237万,2室1厅 | 55.41平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3a3c2251-2ed7-429a-aca7-903c090e9d3e_1000.jpg.296x216.jpg
20200208,宝山,张庙,泗塘四村 1室1厅 175万,175万,1室1厅 | 41.15平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6a113331-d2eb-4790-a4d0-b759675d71f3_1000.jpg.296x216.jpg
20200208,宝山,张庙,金三银四 楼层  双南正气户型 装修好 房东诚意出售,245万,2室1厅 | 57.51平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cVfGdnHm1.jpg.296x216.jpg
20200208,宝山,张庙,链家优选：厨卫朝北+一梯三户+一楼带天井+价格可谈,215万,1室1厅 | 47.97平米 | 南 | 简装 | 低楼层(共5层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/990df991-f35e-4ad4-8d58-42406b7cd05b_1000.jpg.296x216.jpg
20200208,宝山,张庙,强势来袭！！！！低楼层总价最少的两房,400万,2室2厅 | 83.47平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2dEiMefMb_1.jpg.296x216.jpg
20200208,宝山,张庙,此房满5年唯一，产权清晰没有户口，近地铁交通方便,250万,2室1厅 | 59.37平米 | 北 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3ff6daf3-e651-4f52-833a-89e94b2e0613.jpg.296x216.jpg
20200208,宝山,张庙,中间楼层，采光无遮挡，阳光充足,650万,3室2厅 | 116.17平米 | 南 | 毛坯 | 中楼层(共15层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7657991-2b95-4990-a8ec-16e99894cd8c.jpg.296x216.jpg
20200208,宝山,张庙,一楼带大花园 舒适温馨 看房方便 价可谈,368万,2室1厅 | 79.5平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0b362403-ab40-405c-b5e8-f92510724418.jpg.296x216.jpg
20200208,宝山,张庙,精装修小两房，单价低，直筒南北通户型好，客厅带窗,188万,2室1厅 | 47.26平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-38f9690a-a2ec-4854-a363-f38ac4ec852e.jpg.296x216.jpg
20200208,宝山,张庙,诚心出售，钥匙房采光无限好，户型全明满五唯一税费低,235万,2室1厅 | 59.17平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2aa934e2-e30e-4894-9f45-beb4dec2dd55.png.296x216.jpg
20200208,宝山,张庙,民悦苑 电梯房 双南2房  业主诚心出售,396万,2室1厅 | 84.22平米 | 南 | 简装 | 低楼层(共13层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/a50f592d-9479-458c-abec-d566bed19881_1000.jpg.296x216.jpg
20200208,宝山,张庙,好品质小区，好户型，好单价，你值得拥有,420万,2室2厅 | 87.57平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/57dd79c2-225d-40a2-b776-d7cb380bb802_1000.jpg.296x216.jpg
20200208,宝山,张庙,泗塘三村，朝南一房，厨卫朝北，全明带露台，采光佳！,225万,1室1厅 | 50.13平米 | 南 | 简装 | 中楼层(共5层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_W8O53ixoz.jpg.296x216.jpg
20200208,宝山,张庙,99年房龄 双南 精装 钻石4楼 业主诚心出售！房主自荐,293万,2室1厅 | 68.34平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/021a0934-0114-4b80-9bb4-ea8238ad231b_1000.jpg.296x216.jpg
20200208,宝山,张庙,呼玛四村 1室1厅 176万,176万,1室1厅 | 43.72平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_btZX2INV5_1.jpg.296x216.jpg
20200208,宝山,张庙,呼玛一村 2室1厅 235万,235万,2室1厅 | 55.42平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c8674bc9-3862-4ce6-9bcc-a03280614d7b_1000.jpg.296x216.jpg
20200208,宝山,张庙,此房（满五年唯一）+产权清晰无风险+楼层好+户型正气房主自荐,412万,2室2厅 | 85.89平米 | 南 北 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7R4hrKc6u.jpg.296x216.jpg
20200208,宝山,张庙,盛达家园 4室2厅 598万房主自荐,598万,4室2厅 | 136.65平米 | 南 | 毛坯 | 低楼层(共7层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vz7430Uag.jpg.296x216.jpg
20200208,宝山,张庙,呼玛二村 2室1厅 258万,258万,2室1厅 | 56.84平米 | 西南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/79a055cf-f51b-4664-b1ca-26719287c4f2_1000.jpg.296x216.jpg
20200208,宝山,张庙,两南一北三房 一梯两户的 诚意出售,280万,3室1厅 | 71.8平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cK0NFWCLq.jpg.296x216.jpg
20200208,宝山,张庙,非顶楼 一梯两户 三房朝南带阳台 满五年 无浪费面积,290万,3室1厅 | 67平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-66f35498-30c6-4ff5-977f-41d663661610.jpg.296x216.jpg
20200208,宝山,张庙,中间楼层 温馨两房 双南户型 近地铁1号线房主自荐,260万,2室1厅 | 57.24平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A2vHcHJPD.jpg.296x216.jpg
20200208,宝山,张庙,泗塘五村 南北全明两房  采光好 视野开阔 有钥匙,240万,2室1厅 | 65.11平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f27bde2a-3e0e-4f43-bd57-8f6e4947108f.jpg.296x216.jpg
20200208,宝山,张庙,南北通，直筒套朝西带窗，满5年唯一，面积大总价低,180万,1室1厅 | 47.26平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5359045e-7e48-46f7-a78b-46adcb177349.png.296x216.jpg
20200208,宝山,张庙,盛达家园 2室2厅 365万,365万,2室2厅 | 78.66平米 | 南 | 其他 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4f65b52d-c7fd-4cc0-8379-420b57613543_1000.jpg.296x216.jpg
20200208,宝山,张庙,03年次新房 稀有双南 附三阳台,430万,2室2厅 | 91.82平米 | 南 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36c233c5-ed3f-4bbf-b3e4-abc2af380d60.jpg.296x216.jpg
20200208,宝山,张庙,高品质小区顶复，南北露台，户型方正，看房联系维护人,630万,4室2厅 | 153.93平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a81f9545-ffd5-45b5-bcaa-191b76121cd9.jpg.296x216.jpg
20200208,宝山,张庙,民悦苑， 近地铁，满五唯一，三室两厅。,650万,3室2厅 | 130.17平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7583b578-ea3b-4279-b087-09fb5077fad6.jpg.296x216.jpg
20200208,宝山,张庙,南北错层大三房+1梯2户+楼层好+自住精装修+户型正气,630万,3室2厅 | 133.4平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ad7b0a95-51a5-4ce2-835b-49b4f8f4c3fe.jpg.296x216.jpg
20200208,宝山,张庙,呼玛二村 2室1厅 220万,220万,2室1厅 | 54.68平米 | 南 | 其他 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5CtfiDn0T_1.jpg.296x216.jpg
20200208,宝山,张庙,呼玛五村 2室1厅 283万,283万,2室1厅 | 64.85平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gvBxiY8Qv_1.jpg.296x216.jpg
20200208,宝山,张庙,满五唯一+非顶楼+正气三房=买买买,525万,3室2厅 | 111.64平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KbD4ahfBe_1.jpg.296x216.jpg
20200208,宝山,张庙,呼玛二村 2室1厅 215万,215万,2室1厅 | 53.29平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/13cd5c88-9f0e-4fef-bcbd-928619dc0319_1000.jpg.296x216.jpg
20200208,宝山,张庙,呼玛四村 2室1厅 283万,283万,2室1厅 | 65.86平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H3h76Vvp7_1.jpg.296x216.jpg
20200208,宝山,张庙,双南户型，中间楼层，双南采光面。,205万,2室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层) | 1979年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-202dc8a4-cbf3-4796-8f8c-5a8bf52a1170.jpg.296x216.jpg
20200208,宝山,张庙,房子是比较少有的复式房，楼上楼下各70平，带超大露台,650万,3室2厅 | 141.2平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-92524299-cb0b-4aff-a5f1-452a93ed6c1b.jpg.296x216.jpg
20200208,宝山,张庙,稀有复式+四房两厅+附三个大露台+诚意出售,698万,4室2厅 | 181.58平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-60ad098b-51bf-4104-9e2c-bba792e0e10f.jpg.296x216.jpg
20200208,宝山,张庙,此房一梯两户 得房率高 售后公房无增值税 非顶楼,430万,3室1厅 | 89.7平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rETluRpHa_1.jpg.296x216.jpg
20200208,宝山,张庙,婚房装修+使用面积大+小区正中位置+价格好谈,750万,4室2厅 | 171.8平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ea411779-48c5-4c24-ab33-dd2a6983a456_1000.jpg.296x216.jpg
20200208,宝山,张庙,通河一村大户型，大两房，精装修，两卫,470万,2室2厅 | 92.44平米 | 东南 | 精装 | 中楼层(共15层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_oElG9FO7k_1.jpg.296x216.jpg
20200208,宝山,张庙,精装三房+采光好+视野好+配套齐全+交通便利,400万,3室1厅 | 91.23平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JZlKZF1C5.jpg.296x216.jpg
20200208,宝山,张庙,温馨大两房+大花园=赶紧抢购吧,430万,2室2厅 | 91.98平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e0DddgVKy.jpg.296x216.jpg
20200208,宝山,张庙,采光好+视野好+位置好+有钥匙+近地铁+诚意卖,180万,1室1厅 | 40.96平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-56f6c9e0-0c47-4878-9213-1860cd0d44a7.jpg.296x216.jpg
20200208,宝山,张庙,呼玛二村，楼层好，一梯两户，卫生间全明，南北通,183万,1室1厅 | 42.2平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4900415a-ec06-4e2d-869b-ac114acfbdc1_1000.jpg.296x216.jpg
20200208,宝山,张庙,精装修，采光好， 业主诚心出售,368万,2室1厅 | 81.04平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/42485105-3cd1-45a8-9ec5-554279d57617_1000.jpg.296x216.jpg
20200208,宝山,张庙,金三银四楼层  房东诚意出售  ！,250万,2室1厅 | 57.29平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/23fda052-1f9e-4462-99e5-281127991e10_1000.jpg.296x216.jpg
20200208,宝山,张庙,近一号线 商品房 双南两房 功能间均带窗,348万,2室1厅 | 68.65平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9a363d5e-1a4b-4c66-a5ba-859c3daeec4e.jpg.296x216.jpg
20200208,宝山,张庙,南北 2房出入方便房东诚心出售，看房提前预约就行。,208万,2室1厅 | 53平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d4efb47c-9091-494a-9727-18153b94548c.png.296x216.jpg
20200208,宝山,张庙,南北通两房 带采光天井 上下楼方便 看房方便,222万,2室1厅 | 52.92平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2ce06631-1cdc-40f6-b1c3-242342bc3a00.jpg.296x216.jpg
20200208,宝山,张庙,呼玛一村 2室1厅 245万,245万,2室1厅 | 62.68平米 | 南 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KKqTlaCbY_1.jpg.296x216.jpg
20200208,宝山,张庙,呼玛一村 1室1厅 183万,183万,1室1厅 | 42.04平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9bc54e2f-622b-4fe2-ad4b-4d2fe25d5f2f_1000.jpg.296x216.jpg
20200208,宝山,张庙,双南两房 户型正气 得房率高 近地铁1号线,323万,2室1厅 | 69.34平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y30NLit0z_1.jpg.296x216.jpg
20200208,宝山,张庙,满五唯一，采光好。位置安静每天睡到自然醒,180万,1室1厅 | 47.53平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/825e7c95-f90c-40ba-8b86-0f1ea2a7b3c5_1000.jpg.296x216.jpg
20200208,宝山,张庙,一梯两户，双南户型，楼层好，满5年，近地铁公园超市,235万,2室1厅 | 54.71平米 | 南 北 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/66302d4b-c9ef-42a9-8731-fb7fa49df4de_1000.jpg.296x216.jpg
20200208,宝山,张庙,呼玛二村 2室1厅 265万,265万,2室1厅 | 60.67平米 | 南 | 毛坯 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3df8d793-56b3-49c6-9be3-d1e9b49e0421_1000.jpg.296x216.jpg
20200208,宝山,张庙,一梯两户+原始3房+南北直通+随时看房,315万,3室1厅 | 76.12平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/436aef4e-e30e-4a16-a770-2db0d73aa09a_1000.jpg.296x216.jpg
20200208,宝山,张庙,精装修双南两房，单价总价低，随时能看，地铁近在咫尺,245万,2室1厅 | 62.46平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d8a328c8-dcd4-4531-ba15-0def64d843f9.jpg.296x216.jpg
