20200208,闵行,春申,五楼非顶楼，两房朝南，南北通，三阳台，预约可看必看好房,418万,3室2厅 | 100.94平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-683d9c29-3451-4c9c-b857-7e8430702b34.jpg.296x216.jpg
20200208,闵行,春申,【2+1经典大两房】【位置好楼层优采光棒】随时看房必看好房,360万,2室2厅 | 85.61平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b46e6cfb-fcb9-4ce2-8632-d4704fb25ae0.jpg.296x216.jpg
20200208,闵行,春申,白玉兰户型，园中园位置安静，深得业主信任，看房方便必看好房,778万,3室2厅 | 138.37平米 | 南 | 精装 | 中楼层(共9层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Pz232AkFC_1.jpg.296x216.jpg
20200208,闵行,春申,新出独特户型，双南两房，全明户型必看好房,332万,2室1厅 | 67.14平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8iybIhFZF_1.jpg.296x216.jpg
20200208,闵行,春申,位置安静，户型方正，全面格局，房东诚售必看好房,570万,3室2厅 | 118.01平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OtJULzS1B_1.jpg.296x216.jpg
20200208,闵行,春申,免增值税，中区楼层，视野无阻，业主诚售，全明2卫必看好房,500万,3室2厅 | 120.16平米 | 南 北 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3jGIrgOpK_1.jpg.296x216.jpg
20200208,闵行,春申,中间楼层，满五年唯一 税费少，车位充足，诚意出售！必看好房,335万,2室1厅 | 87.29平米 | 南 北 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kGaImSPUc_1.jpg.296x216.jpg
20200208,闵行,春申,就读闵实小~莘松 无户口 新房源 户型方正 位置安静必看好房,416万,2室1厅 | 77.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6iC9hmZ9o_1.jpg.296x216.jpg
20200208,闵行,春申,南北通两房 客厅大阳台 采光棒  精装 诚意出售必看好房,305万,2室1厅 | 66平米 | 南 北 | 精装 | 高楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5c218453-faa5-4af9-8f97-ce546d85bd1b.png.296x216.jpg
20200208,闵行,春申,银河新都，采光好，视野开阔，精装修，生活方便必看好房,329万,2室1厅 | 67.57平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6UGoB1e7O_1.jpg.296x216.jpg
20200208,闵行,春申,高区带三个阳台大一房  业主出国急售 看房方便 税少必看好房,252万,1室1厅 | 54.28平米 | 南 | 简装 | 高楼层(共13层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZpZeKx0VC_1.jpg.296x216.jpg
20200208,闵行,春申,小区高层一梯两户视野开阔价格低诚意出售必看好房,238万,1室1厅 | 59.77平米 | 南 | 简装 | 高楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0lzJok3pn_1.jpg.296x216.jpg
20200208,闵行,春申,小区位置安静，房型南北通，精装修两年的婚房装修必看好房,440万,2室2厅 | 88.86平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HpdyfSQNu_1.jpg.296x216.jpg
20200208,闵行,春申,独栋双南+稀有户型+中间楼层+有民额+急售必看好房,340万,2室1厅 | 67.14平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ec782c48-7213-44df-9d75-b7ab23a02fc5.jpg.296x216.jpg
20200208,闵行,春申,银泰苑新挂两房 动迁且只有一套 税费少 装修好 诚意必看好房,343万,2室2厅 | 84.9平米 | 南 北 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gZ7REoibT_1.jpg.296x216.jpg
20200208,闵行,春申,非顶楼，原始南北两房，位置不靠路，诚意出售必看好房,199万,2室1厅 | 49.35平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OJcy0eW89_1.jpg.296x216.jpg
20200208,闵行,春申,满五年+全明+税少+到价签字+看房方便必看好房,275万,1室1厅 | 47.56平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_a6Y3A8v0d_1.jpg.296x216.jpg
20200208,闵行,春申,虹景苑 1室1厅 235万必看好房,235万,1室1厅 | 59.51平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sFqaLWy3k_1.jpg.296x216.jpg
20200208,闵行,春申,安静位置，两房朝南，孝心楼层，满五唯一，诚意出售必看好房,265万,2室1厅 | 66.78平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PNeW0Y1PX_1.jpg.296x216.jpg
20200208,闵行,春申,税费少，拎包入住，业主诚意，户型正气必看好房,269万,3室1厅 | 73.56平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s1RbngqXz_1.jpg.296x216.jpg
20200208,闵行,春申,（链家好房）独栋大户型带车库 一楼老人房 无地下室必看好房,1690万,4室2厅 | 291.68平米 | 南 | 毛坯 | 2层 | 2005年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/310000-inspection/895eb2f4-82f5-4d8b-9e16-7d0d656bb086.jpg.296x216.jpg
20200208,闵行,春申,店长主推+精装中空带地暖+价格含车位+户型好双南房主自荐,735万,2室2厅 | 108.7平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170505/51ec4664-80da-4bf5-81d6-b9bf29cf69b9.jpg.296x216.jpg
20200208,闵行,春申,虹景苑 3室1厅 475万,475万,3室1厅 | 115.57平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5dcc4c30-2881-4a41-b896-0160533d85ad.png.296x216.jpg
20200208,闵行,春申,园林式小区精装大三房+税费少+拎包入住+高档品质,990万,3室2厅 | 144.76平米 | 南 | 精装 | 低楼层(共30层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ac5b0766-13f5-4e5c-b32f-9e705f68f12c.jpg.296x216.jpg
20200208,闵行,春申,上海春城顶楼复式，房型正气，采光很好。,1250万,4室2厅 | 193.94平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bfa73333-f4d7-465f-8c9f-2ac66ae475c1.jpg.296x216.jpg
20200208,闵行,春申,春申景城MIDTOWN 3室2厅 1115万房主自荐,1115万,3室2厅 | 159.89平米 | 南 | 精装 | 低楼层(共30层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-183733be-8c8e-4927-873a-bad7b8705404.jpg.296x216.jpg
20200208,闵行,春申,顶楼挑空复式附露台 出国诚意售 满五唯一视野开阔房主自荐,650万,4室2厅 | 211.85平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-313f6e94-b2a2-4e1c-9de5-7b46a9a0329f.jpg.296x216.jpg
20200208,闵行,春申,双南两房，户型方正，少税，目测30平花园，随时看房房主自荐,358万,2室1厅 | 63.27平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8981a1cb-615a-4f9a-b9a9-600e6b9dafa0.jpg.296x216.jpg
20200208,闵行,春申,上海春城 新装修复式 两年新装 位置安静 品质住宅房主自荐,1190万,4室2厅 | 197.9平米 | 南 | 精装 | 低楼层(共9层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2c8636c4-e758-4f6a-81e6-476baa807368.jpg.296x216.jpg
20200208,闵行,春申,新出四房，诚意出售，到价可签字，中间楼层采光好。房主自荐,998万,4室2厅 | 151.62平米 | 南 | 精装 | 中楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eefc3690-e540-40f8-a13a-8cfd64521b21.jpg.296x216.jpg
20200208,闵行,春申,《好房推荐》景城南北户型+双卫，精装拎包入住+税少房主自荐,683万,2室2厅 | 106.82平米 | 南 北 | 精装 | 中楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2f0d4343-940f-4edb-9eb0-ea8e7397e56e.jpg.296x216.jpg
20200208,闵行,春申,银泰苑动迁房两房，户型正气。楼层位置好,355万,2室2厅 | 84.9平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Et9sCVfhk_1.jpg.296x216.jpg
20200208,闵行,春申,精装大四房+使用面积260平顶楼复式+满五唯一+产权车位,998万,4室2厅 | 130.35平米 | 南 | 精装 | 高楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f36e4e07-b0fa-409f-943a-a4e9504f67bb.png.296x216.jpg
