20200208,闵行,古美,正气复式 景观房 中间位置 客厅挑空5.2米 带露台 急售必看好房,820万,5室3厅 | 168.1平米 | 东南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-80571244-746a-4efd-ac19-3b217b65f547.jpg.296x216.jpg
20200208,闵行,古美,古龙城一期好楼层精装修三房含带产权车位春节大放血必看好房,949万,3室2厅 | 145.02平米 | 南 | 精装 | 中楼层(共16层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WclMpwONV_1.jpg.296x216.jpg
20200208,闵行,古美,电梯房 次顶楼 采光视野好 带产权车位必看好房,688万,2室2厅 | 100.81平米 | 南 北 | 简装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-37468bbf-bc57-4ec0-a091-6b977f133751.jpg.296x216.jpg
20200208,闵行,古美,新上架好房+高区景观楼层+带2个产权车位+诚心售必看好房,1580万,4室2厅 | 238.51平米 | 南 | 精装 | 中楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ff1b6909-a6d7-45f2-a556-57d9c99bde5c_1000.jpg.296x216.jpg
20200208,闵行,古美,四楼！！12号虹梅路地铁口+近百万装修设计+店长推荐！必看好房,1285万,4室2厅 | 161.82平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_c6WUuevE9_1.jpg.296x216.jpg
20200208,闵行,古美,双南户型，大花园，配套成熟，交通便利，诚意出售必看好房,320万,2室2厅 | 67.86平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce560454-2452-49f7-b19a-829b5b68e69c.jpg.296x216.jpg
20200208,闵行,古美,栋距开阔，采光充足，户型方正，南北通透，位置安静必看好房,829万,3室2厅 | 125.98平米 | 南 北 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f2530f92-8bca-4f57-845e-d7259aaed122_1000.jpg.296x216.jpg
20200208,闵行,古美,江南一期临湖位置两房，楼层2楼，期待有缘人！必看好房,578万,2室2厅 | 90.8平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qbnwE5x6D_1.jpg.296x216.jpg
20200208,闵行,古美,新梅公寓+楼层好+全明户型+有车位+交通便利必看好房,432万,2室1厅 | 86.42平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_I39CMdz49_1.jpg.296x216.jpg
20200208,闵行,古美,次新房  双南户型 中间楼层  装修保养好   带产权车位必看好房,835万,2室2厅 | 102.93平米 | 南 | 精装 | 中楼层(共22层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cb400346-9e2f-4d31-906a-5c3f81d41fbb.jpg.296x216.jpg
20200208,闵行,古美,1号线地铁口，全明户型，交通出行便利，生活配套齐全必看好房,295万,2室1厅 | 62.38平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oUwwctbBa_1.jpg.296x216.jpg
