20200208,闵行,航华,宝丽花苑 中间楼层双南临河景观 全新精装修 随时看必看好房,348万,2室1厅 | 76.18平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TQvu4EoMb_1.jpg.296x216.jpg
20200208,闵行,航华,新装修,地铁口的万科次新房，公园门口，带车位出售必看好房,720万,3室2厅 | 118.62平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BD7RUcp9G_1.jpg.296x216.jpg
20200208,闵行,航华,精致两房 中间楼层 位置好 近71路无轨电车 交通方便必看好房,243万,2室1厅 | 57.28平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3959746b-d858-4966-9e70-b352863a119e_1000.jpg.296x216.jpg
20200208,闵行,航华,满五年 自住装修 中间楼层 小钻石户型 房东诚意出售必看好房,258万,2室1厅 | 61.77平米 | 东南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-65928259-e834-442c-83ce-ff8f11939eb8.jpg.296x216.jpg
20200208,闵行,航华,小桥里 电梯房 全明格局 配套齐全 拎包入住必看好房,498万,2室2厅 | 89.7平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QiAkwlNrX_1.jpg.296x216.jpg
20200208,闵行,航华,拎包入住，居家之选，精装3改2,全明格局，户型方正必看好房,380万,3室1厅 | 86.3平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9c92ae4a-ea7d-476f-8f90-81c9b88a8631_1000.jpg.296x216.jpg
20200208,闵行,航华,中间楼层，全明户型、一房的价格买两房，租金4500元必看好房,228万,2室1厅 | 55.85平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RkJMLMoc5_1.jpg.296x216.jpg
20200208,闵行,航华,一梯两户 一楼带花园 喝下午茶 养养花草 商品房必看好房,240万,1室1厅 | 52.95平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kNzi5a1ll_1.jpg.296x216.jpg
20200208,闵行,航华,满五唯一 飞机户型 看房方便 业主诚意出售,575万,3室1厅 | 127.08平米 | 南 | 精装 | 中楼层(共5层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a9c63fee-8202-44d6-8f78-139b77417a6f.png.296x216.jpg
20200208,闵行,航华,七韵美地苑 1室1厅 358万,358万,1室1厅 | 57.36平米 | 南 | 其他 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nV2BttbFn_1.jpg.296x216.jpg
20200208,闵行,航华,华景花苑 3室2厅 530万,530万,3室2厅 | 118.45平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bKEom308Y_1.jpg.296x216.jpg
20200208,闵行,航华,东边套全明，非顶楼，满五年，钥匙房，诚意出售！,255万,2室1厅 | 60.65平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e344cd7-dda3-4ef1-a339-14b07af05ed4.jpg.296x216.jpg
20200208,闵行,航华,十号线地铁500米，小区中间位置，一房一厅诚意出售,255万,1室1厅 | 57.03平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-2131514c-794e-49b1-b744-4f128a2cb6c1.png.296x216.jpg
20200208,闵行,航华,航华高档社区，地势优越，景观好房，采光视野上游。房主自荐,465万,3室2厅 | 95.08平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dbfe2e6d-d40f-4b87-bfce-fa3fcd5007b6.jpg.296x216.jpg
20200208,闵行,航华,品质丹桂 精装小三房 中间楼层 优质小区 房东诚意出售房主自荐,410万,3室1厅 | 86.3平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-27995512-da53-4ce7-818c-15b59351f2bf.png.296x216.jpg
20200208,闵行,航华,满五唯一，看房方便，顶楼复式，高品质小区房主自荐,690万,4室2厅 | 192.95平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cd9f33e1-ded3-4f2b-9ae1-1f6c8bfffcaf.jpg.296x216.jpg
20200208,闵行,航华,满五年唯一，周末可看，南北通透，全明户型，简约装修房主自荐,616万,3室2厅 | 115.9平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53f9411a-a160-4b07-89ef-2bd01016e53a.jpg.296x216.jpg
20200208,闵行,航华,新明星花园景观好房，户型方正，美景直线瞭望，急售,510万,3室2厅 | 124.58平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e4cc09e9-ab75-48aa-9ad3-c6ff5ffc82a5.jpg.296x216.jpg
20200208,闵行,航华,电梯顶楼复式，景观好房，5年前品质装修，可拎包入住,930万,4室2厅 | 169.84平米 | 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-772df895-1397-4ec7-b771-b24e94e033d6.jpg.296x216.jpg
20200208,闵行,航华,新苑03年商品房，一梯一户，采光好，带车位，近地铁,550万,3室2厅 | 114.22平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CpSgtRtWF_1.jpg.296x216.jpg
20200208,闵行,航华,鸿禧顶楼复式，挑空客厅，带露台，税费低,850万,4室2厅 | 162.6平米 | 南 | 简装 | 高楼层(共8层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GWn7ZCJB6_1.jpg.296x216.jpg
20200208,闵行,航华,满五唯一，景观大三房带阁楼，客厅餐厅南北通透,620万,3室2厅 | 123.28平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pvRysneUn_1.jpg.296x216.jpg
20200208,闵行,航华,中间楼层，无增值税，近地铁，满五年，诚意出售！,390万,3室1厅 | 88.2平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ewCjUgzMi_1.jpg.296x216.jpg
20200208,闵行,航华,03年电梯高层，自带一个25平车库，满五唯一！,700万,3室2厅 | 116.3平米 | 南 北 | 简装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oWq15xk2W_1.jpg.296x216.jpg
20200208,闵行,航华,总价低，采光通风好，温馨小户型，享受无限阳光生活房主自荐,181万,1室1厅 | 44.71平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-58952b8d-46fe-4294-afe7-9bcca5621b21.jpg.296x216.jpg
20200208,闵行,航华,店长推荐：楼层好户型正，配套好诚意卖，看房方便,436万,2室2厅 | 94.62平米 | 南 北 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6mYdwEGxB_1.jpg.296x216.jpg
20200208,闵行,航华,丹桂花园 精装明亮大三房 户型正气 近地铁 有钥匙房主自荐,505万,3室2厅 | 137.71平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i6yBQFgW0_1.jpg.296x216.jpg
20200208,闵行,航华,满五唯一 小区唯一一套东边套 精装修 附带家具家电全房主自荐,263万,2室1厅 | 61.83平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8AoSuE3uK_1.jpg.296x216.jpg
20200208,闵行,航华,满五年 税费少 看房方便有钥匙 房东诚意出售房主自荐,290万,2室1厅 | 75.23平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1b851025-2c03-4042-87dc-ecab47766836.jpg.296x216.jpg
20200208,闵行,航华,店长推荐 中间楼层 房东一年自住精装修 满五唯一,458万,2室2厅 | 87.93平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XdhOMAGUg_1.jpg.296x216.jpg
20200208,闵行,航华,此房满五唯一，楼层好，双南两房,360万,2室1厅 | 99.4平米 | 南 | 简装 | 中楼层(共14层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_TXmkebgED_1.jpg.296x216.jpg
