20200208,闵行,静安新城,上郡仅有8套此户型，5年才出来一套，带产权车位必看好房,472万,1室1厅 | 59.92平米 | 南 | 简装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XgzP2Wapx_1.jpg.296x216.jpg
20200208,闵行,静安新城,悉尼园好楼层三房，南北通带双阳台，满五唯一税少必看好房,740万,3室2厅 | 131.84平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_g0aSocK6V_1.jpg.296x216.jpg
20200208,闵行,静安新城,全南户型 景观楼层视野好采光好 税费少总价低必看好房,550万,2室1厅 | 75.89平米 | 南 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MRw5YA9NE_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城优质大两房 售后公房 满五年唯一 看房随时必看好房,399万,2室1厅 | 71.55平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WcOTyvVWx_1.jpg.296x216.jpg
20200208,闵行,静安新城,好房难寻 汝家之府甚华，皆有所，不但美，且不失韵。必看好房,540万,2室2厅 | 83.8平米 | 南 北 | 精装 | 中楼层(共13层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7rOShvc8S_1.jpg.296x216.jpg
20200208,闵行,静安新城,户型正气，楼层好采光佳，小区门口就是星辰幼儿园必看好房,280万,1室1厅 | 51.55平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vyxkpds0y_1.jpg.296x216.jpg
20200208,闵行,静安新城,产权清晰 无抵押 随时看房 采光好无遮挡 价格可谈必看好房,265万,1室1厅 | 45.52平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EDKKL5gPm_1.jpg.296x216.jpg
20200208,闵行,静安新城,房东诚意出售，一楼带天井，满五唯一，全新装修。必看好房,300万,2室1厅 | 59.41平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9bb353cd-4a42-47a8-bff7-fd3c704823a4.jpg.296x216.jpg
20200208,闵行,静安新城,近九号线地铁，中间楼层，边套全明户型，房东已看好房必看好房,330万,2室1厅 | 61.48平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ec233272-b876-4299-bc94-f485729c90ef.jpg.296x216.jpg
20200208,闵行,静安新城,房改售房！边套明厅朝南！满五唯一！只交契税！首付少必看好房,325万,2室1厅 | 65.72平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QGfiawBO9_1.jpg.296x216.jpg
20200208,闵行,静安新城,次新房，房东诚意出售，看房方便，满五税少。房主自荐,688万,3室2厅 | 103.97平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9a92902d-0be9-4a6d-99b6-f293aa2b4746.png.296x216.jpg
20200208,闵行,静安新城,店长主推：双露台 标准复式全明 安静位置 税费极低,790万,5室2厅 | 171.01平米 | 南 | 毛坯 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2edbdaa8-0a1c-4825-a944-93127579325d.jpg.296x216.jpg
20200208,闵行,静安新城,大上海经典户型，南北通，前边采光无遮挡，有钥匙,468万,2室2厅 | 84.68平米 | 南 北 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c3e5b9af-7cba-49d4-ac4d-4e61f450a656.jpg.296x216.jpg
20200208,闵行,静安新城,9号线地铁口，看房方便，全明户型，接受置换,310万,1室1厅 | 53.9平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-041b29f3-c0dc-4a46-869e-8ad5894d7001.jpg.296x216.jpg
20200208,闵行,静安新城,近九号线，房东诚售，全明户型，采光视野好随时看房。,360万,2室1厅 | 75.83平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d7cb435e-31db-4d15-9842-52fabb6b88e2.png.296x216.jpg
20200208,闵行,静安新城,近地铁9号线，中楼层采光好，户型正气，房东诚意出售房主自荐,745万,3室2厅 | 131.11平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-826572ff-ad1e-4f2d-aadf-baa7adb6a1cc.jpg.296x216.jpg
20200208,闵行,静安新城,边套户型+正对小区花园无遮挡+04年电梯房+随时看房房主自荐,830万,3室2厅 | 127.89平米 | 南 | 精装 | 低楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-436a6ca8-3a12-468e-9fb2-2957ea8a0111.png.296x216.jpg
20200208,闵行,静安新城,优质四区、2楼双南大两房、附露台22平、满五唯一房主自荐,472万,2室1厅 | 78.79平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3f6cccc1-b414-4754-8b2b-b9ee35ba302a.jpg.296x216.jpg
20200208,闵行,静安新城,电梯大一房，三年装修，干净清爽，地铁口，诚意出售,279万,1室1厅 | 56.93平米 | 南 | 简装 | 低楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-7f8319b6-9bc1-4272-b253-936b60b7c683.jpg.296x216.jpg
