20200208,闵行,金虹桥,视野开阔 交通便利 毛坯交付 看房方便必看好房,375万,1室1厅 | 61.57平米 | 南 | 毛坯 | 低楼层(共11层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EApt4GkrP_1.jpg.296x216.jpg
20200208,闵行,金虹桥,2011年次新房！24小时看房！一手纯毛坯！带地下车库！必看好房,580万,2室2厅 | 91.96平米 | 南 | 毛坯 | 低楼层(共13层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dcc0acd0-ab8d-4c86-9cf1-f4d07e7d9322.jpg.296x216.jpg
20200208,闵行,金虹桥,湘府花园 中区视野好 房型正气 精装 拎包入住必看好房,880万,3室2厅 | 129.31平米 | 南 | 精装 | 中楼层(共18层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4eoEoxKmf_1.jpg.296x216.jpg
20200208,闵行,金虹桥,二期中间位置双南两房诚意出售拎包入住必看好房,545万,2室2厅 | 94.46平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8YF7SYndg_1.jpg.296x216.jpg
20200208,闵行,金虹桥,沿河位置南北两房附大花园得房率高主要是业主诚意出售必看好房,530万,2室2厅 | 80.96平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0irUeph0p_1.jpg.296x216.jpg
20200208,闵行,金虹桥,97年竣工的商品房，一梯两户，拎包入住，固定租赁车位必看好房,368万,2室2厅 | 74.57平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ISTckM9vp_1.jpg.296x216.jpg
20200208,闵行,金虹桥,虹桥花苑稀有高区三房，近老外街地铁10号线，看房随时必看好房,890万,3室2厅 | 147.1平米 | 南 | 精装 | 中楼层(共16层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eUIgeUP9k_1.jpg.296x216.jpg
20200208,闵行,金虹桥,有钥匙，随时看，业主诚意出售，户型正气，价格可谈必看好房,485万,3室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jCD9GYaGz_1.jpg.296x216.jpg
20200208,闵行,金虹桥,店长推荐！自住婚房装修！采光通风好！年底诚意出售！必看好房,251万,2室1厅 | 54.56平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KyNWijHnp_1.jpg.296x216.jpg
20200208,闵行,金虹桥,诚意出售 面宽4.5米 满五年唯一 视野宽阔采光充足必看好房,550万,2室2厅 | 105.43平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-720628b9-a9ba-4e4e-9dac-b137a5d106a2.jpg.296x216.jpg
20200208,闵行,金虹桥,位置安静，复式带两个露台，房型正气，适合多口之家必看好房,635万,4室2厅 | 137.28平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ab31c33d-0745-4324-ba92-40d65f99d00b.jpg.296x216.jpg
20200208,闵行,金虹桥,位置安静，阳光好，前面无任何遮挡，南北通透很值得看必看好房,640万,2室2厅 | 105.12平米 | 南 北 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PkXUR6GD1_1.jpg.296x216.jpg
20200208,闵行,金虹桥,中环内 低总价一房 正气户型 诚意出售必看好房,255万,1室1厅 | 52.41平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5nDFYGmOZ_1.jpg.296x216.jpg
20200208,闵行,金虹桥,05年古北虹苑三期，正气的2房，精装修好楼层可看房必看好房,580万,2室2厅 | 83.89平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P6rAepGZj_1.jpg.296x216.jpg
20200208,闵行,金虹桥,中环旁小2房。 位置好不吵。 售后公房满五年唯一必看好房,221.9万,2室1厅 | 44.41平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1c0b1ddc-0805-488f-884d-a8111f188c94.jpg.296x216.jpg
20200208,闵行,金虹桥,古北虹苑（一期） 1室1厅 345万必看好房,345万,1室1厅 | 53.07平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1cd8c6a1-63ab-4fbb-950f-acfab6bcc867.jpg.296x216.jpg
20200208,闵行,金虹桥,中高层电梯房，采光好税费少，业主诚意卖，价格有空间必看好房,633万,3室2厅 | 120.94平米 | 南 | 简装 | 中楼层(共20层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_iAoKcsSGa.jpg.296x216.jpg
20200208,闵行,金虹桥,板式户型，一梯两户，一房南一房北，采光好居住舒适必看好房,410万,2室1厅 | 76.71平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/3daa2089-c926-48b8-8606-480af9cb8dfb_1000.jpg.296x216.jpg
20200208,闵行,金虹桥,满五唯一  电梯房三房两卫 错层设计 南北通透,850万,3室2厅 | 144.73平米 | 北 南 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mmy4Q8Mft_1.jpg.296x216.jpg
20200208,闵行,金虹桥,金虹桥板块的两房 位置安静 户型正气 楼层好 看房方便,495万,2室1厅 | 76.61平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-eb0d1168-3bd3-4439-a9d7-ad2439d97752.png.296x216.jpg
20200208,闵行,金虹桥,位置好楼层佳，满五唯一带车位，税费少，有钥匙随时看,1550万,3室2厅 | 163.85平米 | 南 | 毛坯 | 高楼层(共16层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e50pYua8s_1.jpg.296x216.jpg
20200208,闵行,金虹桥,位置不错的3房看房方便得房率高主要是业主诚意出售,715万,3室1厅 | 119.4平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QA2GZkqz9_2.jpg.296x216.jpg
20200208,闵行,金虹桥,两房朝南 金三银四楼层 采光好 视野好 看房方便,480万,2室2厅 | 81.6平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IP2q35ZOT.jpg.296x216.jpg
20200208,闵行,金虹桥,满五唯一个税免征，大露台，固定车位，有钥匙，急售,2750万,5室2厅 | 292.66平米 | 南 | 毛坯 | 高楼层(共14层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-239fb12f-1e11-4bab-be95-b72cda713edc.jpg.296x216.jpg
20200208,闵行,金虹桥,三期唯一在售，中间位置，全明南北通，诚售有钥匙,950万,3室2厅 | 144.24平米 | 南 | 简装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xKsCmSzIu.jpg.296x216.jpg
20200208,闵行,金虹桥,高区采光好，看房方便，满五唯一税费少，价格可沟通！房主自荐,750万,3室2厅 | 121.72平米 | 南 | 精装 | 高楼层(共18层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-f00eb03c-1c9e-4068-8537-e3376b63225a.jpg.296x216.jpg
20200208,闵行,金虹桥,古北商圈电梯，好楼层，地铁双规，业主诚意出售，可看,550万,2室1厅 | 89.25平米 | 西南 | 简装 | 中楼层(共18层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_HpolyAjVh_1.jpg.296x216.jpg
