20200208,闵行,金汇,满五唯一税少，南北板式，格局好位置安静，近十号线必看好房,825万,3室2厅 | 125.08平米 | 南 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GOTINkdGt_1.jpg.296x216.jpg
20200208,闵行,金汇,少有的一楼带花园，金汇品质小区，看房方便业主诚售。必看好房,485万,2室2厅 | 81.63平米 | 南 | 精装 | 低楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LDXPJOPAt_1.jpg.296x216.jpg
20200208,闵行,金汇,双规交9、10号线  协和双语旁  锦绣品质社区 业主急售必看好房,880万,4室2厅 | 142.02平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WGQyI9tx9_1.jpg.296x216.jpg
20200208,闵行,金汇,满五唯一，近地铁，精装地暖南北通双天井  看房方便.必看好房,645万,3室2厅 | 115.63平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-efb9227d-b262-460d-af72-bc90fb55d1f8.jpg.296x216.jpg
20200208,闵行,金汇,小区顶楼复式 单价低 面积大 利用率高 诚意出售必看好房,550万,4室2厅 | 125.68平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d2fd9c60-0a2b-44e9-b37c-194bc351720a.jpg.296x216.jpg
20200208,闵行,金汇,不靠马路，位置安静，露台20平米，可塑空间大必看好房,375万,2室2厅 | 80.3平米 | 东南 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8FiQF6sPq_1.jpg.296x216.jpg
20200208,闵行,金汇,近地铁高区三房 全明边套满五年  产权车位 诚意出售必看好房,735万,3室2厅 | 115.76平米 | 南 | 精装 | 高楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TUDykuQaL_1.jpg.296x216.jpg
20200208,闵行,金汇,位置好，低总价的电梯一室户，交通便捷！房主自荐,164万,1室1厅 | 30平米 | 西 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-378d89a8-ac17-4063-aeb2-ca632cbc0941.png.296x216.jpg
20200208,闵行,金汇,好楼层，好装修，采光充足，近10号线，三站到虹桥机场,375万,1室1厅 | 57.88平米 | 南 | 精装 | 高楼层(共11层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-387fdcb3-81d5-4432-b344-03d52a25d12a.png.296x216.jpg
20200208,闵行,金汇,必看好房：全明户型，通风流畅，满五唯一税少，随时看,825万,2室2厅 | 116.31平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-491c0171-c6b6-4a43-86bf-d29067aa041c.jpg.296x216.jpg
20200208,闵行,金汇,此房满五年，南北通好格局，高区在售，看房方便房主自荐,719万,3室2厅 | 116.89平米 | 南 | 精装 | 高楼层(共10层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PIiR8H3ya_1.jpg.296x216.jpg
20200208,闵行,金汇,可做四房使用 实用性高，基本随时看房 业主诚意出售房主自荐,830万,3室2厅 | 118.38平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f0a0047f-7dc8-4c7d-8e82-10b74edd93a4.jpg.296x216.jpg
20200208,闵行,金汇,户型正气，诚意出售，满五年税少，采光很棒,840万,3室1厅 | 135.92平米 | 南 | 精装 | 低楼层(共9层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5YBvvlh05_1.jpg.296x216.jpg
20200208,闵行,金汇,耕读园平层 80平地下室  使用性强 满五唯一 看房方便房主自荐,1020万,4室2厅 | 159.91平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4f960243-ef89-4acb-8db2-964564d40ac6.jpg.296x216.jpg
20200208,闵行,金汇,紧凑小三房，户型正气，南北直通，诚意出售。,600万,3室2厅 | 107.2平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/72ee4981-8f10-4a84-98b5-f8e9717ba48b_1000.jpg.296x216.jpg
20200208,闵行,金汇,耕读园标准三房 总价低  业主诚意出售 看房方便房主自荐,860万,3室2厅 | 141.91平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f7e4cfdd-8464-4ce4-a706-2f885c2d9554.jpg.296x216.jpg
20200208,闵行,金汇,20平入室花园+ 45平米室外大花园+朝南百米无遮挡,1079万,3室2厅 | 155.36平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0ZLpeHzB4_1.jpg.296x216.jpg
20200208,闵行,金汇,带花园+自主装修地暖加空调+业主诚意急售+看房方便,780万,2室2厅 | 117.61平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pPIHgj3gw_1.jpg.296x216.jpg
20200208,闵行,金汇,锦绣江南品质社区，高层复式，沿河景观，视野开阔,1590万,4室2厅 | 229.05平米 | 南 | 精装 | 高楼层(共10层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32b6f586-cd54-4312-afbf-e95fe5382776.jpg.296x216.jpg
20200208,闵行,金汇,正三房，满五唯一、近韩国街万象城、临水景观好！！！房主自荐,1060万,3室2厅 | 140.09平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a51177c4-08fa-403e-bf7d-014de021107b.jpg.296x216.jpg
20200208,闵行,金汇,出门就是10号线，金汇品质小区，看房方便业主诚售。房主自荐,730万,3室2厅 | 130.66平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bd6e7171-84c6-456e-ba3f-82b2a6353009.jpg.296x216.jpg
20200208,闵行,金汇,满五唯一，总价低，买大三房，好地段房主自荐,658万,3室2厅 | 146.8平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9kNM0f5xy_1.jpg.296x216.jpg
20200208,闵行,金汇,精装+地暖【阳光好，西边套视野好】随时看房,786万,3室2厅 | 111.23平米 | 南 北 | 精装 | 低楼层(共9层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YShTvKxvC_1.jpg.296x216.jpg
20200208,闵行,金汇,2015年次新小区，近10号线，南花园25平米，钥匙房房主自荐,760万,2室2厅 | 101.81平米 | 南 | 精装 | 低楼层(共7层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dfa3b412-f696-462a-8030-33a601849b7c.jpg.296x216.jpg
20200208,闵行,金汇,风度罕见大房型 错卧室 三年精装修带地暖 税费少,1172万,3室2厅 | 159平米 | 南 | 精装 | 中楼层(共10层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eGu2vfxY6_1.jpg.296x216.jpg
