20200208,闵行,老闵行,双南户型，简单装修，通透格局好，采光好，近地铁必看好房,188万,2室1厅 | 67.15平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e37079e-e096-45da-a2ac-77d6d2c88048.jpg.296x216.jpg
20200208,闵行,老闵行,位置好，出行方便，生活便利，近大门必看好房,550万,4室2厅 | 121.42平米 | 南 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7c05b7f6-e7ab-45f6-a399-6b498d92ab71.png.296x216.jpg
20200208,闵行,老闵行,南北户型，中间楼层，采光好，视野开阔必看好房,242万,2室2厅 | 79.18平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f2a344e4-3445-465c-9ee0-bce66cf7da7a.jpg.296x216.jpg
20200208,闵行,老闵行,全明全透 光线好 通风强 居家保养  有地下车位（租）必看好房,360万,2室2厅 | 90.9平米 | 南 北 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PMruLQCb3_1.jpg.296x216.jpg
20200208,闵行,老闵行,满5年唯一，税少，中间楼层，装修花30万，保养的好必看好房,415万,2室2厅 | 102.76平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3qp8XP82U_1.jpg.296x216.jpg
20200208,闵行,老闵行,夏朵园 精装大两房+户型方正+看房方便必看好房,315万,2室2厅 | 106.26平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-70327f13-4728-4b8f-a56a-61ef7347681d.jpg.296x216.jpg
20200208,闵行,老闵行,急卖，精装南北通两房，前后无遮挡，位置安静舒适必看好房,288万,2室2厅 | 88.79平米 | 南 北 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4WFVksBSz_1.jpg.296x216.jpg
20200208,闵行,老闵行,小区景观位置南朝南一房 全明户型 居住舒适度高必看好房,125万,1室1厅 | 42.83平米 | 南 | 精装 | 中楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kM2Q19M8P_1.jpg.296x216.jpg
20200208,闵行,老闵行,小区唯一在卖的三房，位置好，楼层好！必看好房,279万,3室2厅 | 88.81平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zFFuuboZq_1.jpg.296x216.jpg
20200208,闵行,老闵行,满五年税费低，两房朝南采光充足，单价新低！必看好房,325万,2室2厅 | 97.94平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-abfb8dfe-3479-4926-a7e9-3aa1e9963540.jpg.296x216.jpg
20200208,闵行,老闵行,绿地森林氧吧大房型，居家必备。必看好房,520万,4室2厅 | 128.74平米 | 南 北 | 精装 | 低楼层(共27层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Z8zs6hY87_1.jpg.296x216.jpg
20200208,闵行,老闵行,小户型，宝钢型的一房，全明户型必看好房,134万,1室1厅 | 42.21平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mKyoYYbI4_1.jpg.296x216.jpg
20200208,闵行,老闵行,合生城邦四街坊三房精装修，诚意出售，欢迎咨询必看好房,500万,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HEIMZvjtI_1.jpg.296x216.jpg
20200208,闵行,老闵行,鹤北新村精装修三房，满五唯一，好楼层必看好房,315万,3室1厅 | 83.7平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nrpR3xJ16_1.jpg.296x216.jpg
20200208,闵行,老闵行,双南空壳房，买入价高，税费少，房东急售，价格可谈必看好房,255万,2室1厅 | 63.59平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tQfbCZMjT_1.jpg.296x216.jpg
20200208,闵行,老闵行,房子满五唯一，双南户型，楼层好，采光好，交通便利。必看好房,159万,2室1厅 | 54.4平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DfC2nzn6b_1.jpg.296x216.jpg
20200208,闵行,老闵行,本小区抢手户型 满五唯一 售后公房 税费少必看好房,255万,2室1厅 | 68.69平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F4BFOBcl8_1.jpg.296x216.jpg
20200208,闵行,老闵行,总价实惠非顶楼，两房朝南，户型正气，刚需两房近地铁必看好房,151万,2室1厅 | 47.14平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b2a25460-47bd-4313-8661-f99dfcbedd23.jpg.296x216.jpg
20200208,闵行,老闵行,万科城南北两房，房东诚心出售。必看好房,320万,2室2厅 | 78.29平米 | 南 | 精装 | 低楼层(共28层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qXWNosRZc_1.jpg.296x216.jpg
20200208,闵行,老闵行,2+1小三房，中间楼层，边套采光好，看房方便必看好房,246万,3室1厅 | 83.33平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WJOlCnT3P_1.jpg.296x216.jpg
20200208,闵行,老闵行,满五年，单价低，诚心出售，主卧带阳台，白银楼层必看好房,148万,2室1厅 | 59.67平米 | 西南 | 毛坯 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-258b0e33-2781-4a19-9510-e359addb2787.jpg.296x216.jpg
20200208,闵行,老闵行,万科小三房 中间位置 采光好 通风好 看房联系必看好房,385万,3室1厅 | 90.93平米 | 南 | 精装 | 高楼层(共28层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d4890329-3187-4cb2-a2cc-a3a4b1f6518a.jpg.296x216.jpg
20200208,闵行,老闵行,高华小区 1室1厅 150万必看好房,150万,1室1厅 | 45.09平米 | 南 | 精装 | 低楼层(共1层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bmKOXlTF5_1.jpg.296x216.jpg
20200208,闵行,老闵行,5号线江川路、满五年唯一、南北2房、配套全、带花园必看好房,197万,2室1厅 | 54.87平米 | 南 北 | 精装 | 低楼层(共4层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TwjIlc6gS_1.jpg.296x216.jpg
