20200208,闵行,龙柏,六村独有钥匙房随时看 景观楼层 采光通风尚佳 近地铁必看好房,348万,2室1厅 | 67.12平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_etro2Xm4R_1.jpg.296x216.jpg
20200208,闵行,龙柏,设计师精装 刚需小两房 3楼 定制家具家电 一梯两户。必看好房,309万,2室1厅 | 51.77平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_a3A324UtT_1.jpg.296x216.jpg
20200208,闵行,龙柏,店长推荐：花园位置 户型方正  中间楼层 采光视野nice必看好房,380万,1室1厅 | 59.47平米 | 南 | 精装 | 中楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wgf2q1sIQ_1.jpg.296x216.jpg
20200208,闵行,龙柏,地铁口50米小区 景观楼层 南北两房 采光通风佳 诚意卖必看好房,365万,2室1厅 | 66.38平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6RA5JioJ7_1.jpg.296x216.jpg
20200208,闵行,龙柏,低总价 双南两房 一梯两户 位置好 无增值税 交通便利必看好房,269万,2室1厅 | 54.29平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d86196d0-681f-4b92-9fd7-f35e49880ed4_1000.jpg.296x216.jpg
20200208,闵行,龙柏,中康公寓 双南大两房 地铁10号线30米 产权清晰随时签必看好房,380万,2室1厅 | 72.94平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TMv03C5OO_1.jpg.296x216.jpg
20200208,闵行,龙柏,小区品质好 有固定产权车位 采光好 户型方正必看好房,900万,4室2厅 | 146.29平米 | 南 | 精装 | 低楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OTAGX3n0Y_1.jpg.296x216.jpg
20200208,闵行,龙柏,税费各付客厅朝南 厨房和卫生间朝北 房间一南一北必看好房,380万,2室2厅 | 72.69平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,
20200208,闵行,龙柏,10号线龙柏新村站+一梯两户+ 全明户型 +毛坯房！房主自荐,252万,1室1厅 | 50.85平米 | 南 | 毛坯 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cf52da41-c016-468a-92f1-d19ce12d2b44.jpg.296x216.jpg
20200208,闵行,龙柏,龙柏西郊公寓 3室2厅 758万,758万,3室2厅 | 133.11平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gdJeI3pkY_1.jpg.296x216.jpg
20200208,闵行,龙柏,店长主推：前排百米无遮挡采光视野棒 满五唯一税费少,628万,3室2厅 | 112.93平米 | 东南 | 精装 | 低楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rfIEdA1TQ_1.jpg.296x216.jpg
20200208,闵行,龙柏,03年电梯 顶楼复式  百万装修 全屋地暖  满五唯一房主自荐,1088万,6室2厅 | 214.92平米 | 南 | 精装 | 高楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-37fa18be-ef90-43e5-a140-89af3f2bfc29.jpg.296x216.jpg
20200208,闵行,龙柏,精装电梯两房，全明户型，业主诚意出售房主自荐,565万,2室2厅 | 90.58平米 | 南 北 | 精装 | 低楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0c72844b-ea7b-4dbf-abc9-b7fd4c9646c4.jpg.296x216.jpg
20200208,闵行,龙柏,三开间朝南好户型，户型好，采光佳，随时看房,780万,3室2厅 | 131平米 | 南 | 简装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1YQHPwY28_1.jpg.296x216.jpg
20200208,闵行,龙柏,商品房、满五唯一、1梯1户飞机户型、地铁站口200米,620万,3室2厅 | 115.49平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3Ij2Qfz7h_1.jpg.296x216.jpg
20200208,闵行,龙柏,2015年次新房，带60平花园+100平地下室，精装带地热,1380万,4室2厅 | 165.93平米 | 南 | 精装 | 低楼层(共6层) | 2016年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/prod-66de6633-7236-470c-9ca3-36d9654f121d.jpg.296x216.jpg
20200208,闵行,龙柏,高档装修 税费低 全明无遮挡 拎包入住 看房随时,593万,2室2厅 | 91.45平米 | 南 | 简装 | 高楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-622b7195-5be2-474a-99bd-d8716a0a9f9c.jpg.296x216.jpg
20200208,闵行,龙柏,龙柏三村 2室1厅 345万,345万,2室1厅 | 64.1平米 | 西 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GvPN3CgBf_1.jpg.296x216.jpg
20200208,闵行,龙柏,龙柏七村 近地铁  双南大两房 业主诚意出售,369万,2室2厅 | 76.29平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c4d46f81-5cf1-43a5-bd88-c1a84c05ebb7.jpg.296x216.jpg
20200208,闵行,龙柏,好·无增值税 采光好，诚意的房东诚意的价格 总价低！房主自荐,330万,2室1厅 | 67.13平米 | 南 西 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-289c9daa-23e9-4a92-8e7e-a44b427cf9d3.jpg.296x216.jpg
20200208,闵行,龙柏,精装两平层 一梯两户 纯商品房小区 园林绿化 附带露台,828万,5室3厅 | 204.87平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3fd6f378-c94e-4022-b621-e5d2a62f179a.jpg.296x216.jpg
20200208,闵行,龙柏,满五年唯一，无个税；二南一北户型，带28平大花园。房主自荐,410万,3室1厅 | 76.8平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/56e95c1b-5015-4acb-b99b-88a4cd75af5c_1000.jpg.296x216.jpg
20200208,闵行,龙柏,2015年次新小区  南北通 带产权车位 附百万精装修,1150万,3室2厅 | 120.3平米 | 南 | 精装 | 中楼层(共6层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QEoT9bvQk_1.jpg.296x216.jpg
20200208,闵行,龙柏,出门10号线 商品房 花园位置 采光刺眼 南北通 附露台房主自荐,455万,2室2厅 | 88平米 | 南 | 精装 | 6层 | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VDUrgWTEC_1.jpg.296x216.jpg
20200208,闵行,龙柏,国际社区，顶楼复式房，南北二个露台，买进价高少税,1050万,3室2厅 | 159.99平米 | 南 | 精装 | 高楼层(共9层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_k3oWNG7DY_1.jpg.296x216.jpg
20200208,闵行,龙柏,龙柏三村小先锋公寓，精装两房  带地暖  到地铁200米,420万,2室2厅 | 74.46平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-86d9b443-466c-48d5-8df5-937f92bb0ab4.jpg.296x216.jpg
20200208,闵行,龙柏,业主回国处理房产  着急出售  满五年唯一免征个税,350万,1室1厅 | 64.36平米 | 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-29fedef6-3bb0-4b36-9de8-737b932e2214.jpg.296x216.jpg
20200208,闵行,龙柏,2010年总高八楼电梯洋房+双南户型+万象城10号线,499万,2室1厅 | 80.84平米 | 南 | 精装 | 低楼层(共8层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oRsX84HpM_1.jpg.296x216.jpg
20200208,闵行,龙柏,精装修三房，电梯中高区，满五年买入价高房主自荐,828万,3室2厅 | 128.3平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9639bcd4-e34f-48b8-9b28-dc02fa60ae87.jpg.296x216.jpg
