20200208,闵行,浦江,浦江丽都，两房电梯,房型方正，南北通户型必看好房,230万,2室2厅 | 71.82平米 | 南 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e48a7a62-9be7-42da-9044-b92f250cece9.png.296x216.jpg
20200208,闵行,浦江,目前景舒苑就一套一房带阁楼，税费低必看好房,265万,2室1厅 | 57.55平米 | 南 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8UWcNRYsO_1.jpg.296x216.jpg
20200208,闵行,浦江,品质小区 精装修 带地暖 诚心出售 带电梯必看好房,875万,3室2厅 | 156平米 | 南 | 精装 | 中楼层(共5层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b8674d83-bee0-4630-9e18-2433aead42c4.jpg.296x216.jpg
20200208,闵行,浦江,房龄新，一手动迁税费少，近8号线浦航路地铁站必看好房,318万,2室2厅 | 90.02平米 | 南 北 | 精装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wr2GJcsOC.jpg.296x216.jpg
20200208,闵行,浦江,户型正气，景观楼层，位置很好，环境好，出门浦江线必看好房,272万,2室2厅 | 76平米 | 南 北 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9d483994-0c69-4263-8810-ee24e6d2fe34.png.296x216.jpg
20200208,闵行,浦江,世博家园十一街坊 1室1厅 280万必看好房,280万,1室1厅 | 61.58平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kcPds7rfV_1.jpg.296x216.jpg
20200208,闵行,浦江,别墅小区密度低，楼层好，通风好，精装修，小三房必看好房,606万,3室2厅 | 96.54平米 | 南 | 精装 | 中楼层(共8层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-44120b97-b311-4e9c-bd3c-1be4417ce670.jpg.296x216.jpg
20200208,闵行,浦江,此房多层楼梯房 户型正 南北双阳台 通风必看好房,426万,3室2厅 | 114.66平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CR96hhr4W.jpg.296x216.jpg
20200208,闵行,浦江,大两房 得房率高 税少 地铁口700米 配套全 看房有钥匙必看好房,370万,2室2厅 | 94.32平米 | 南 | 毛坯 | 低楼层(共5层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4hS3Nkekl_1.jpg.296x216.jpg
20200208,闵行,浦江,2013年次新房，精装三房，电梯景观楼层，采光毫无遮挡必看好房,295万,3室2厅 | 96.75平米 | 南 北 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d60d072e-e20f-4ea2-9249-3e761e3cd067.jpg.296x216.jpg
20200208,闵行,浦江,14年次新+户型好+近地铁+电梯房+原动迁必看好房,238万,2室1厅 | 78.95平米 | 南 北 | 毛坯 | 低楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v2fVH7StQ.jpg.296x216.jpg
20200208,闵行,浦江,金硕河畔景园南区 1室1厅 168万必看好房,168万,1室1厅 | 55.73平米 | 南 | 毛坯 | 高楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1NpUEGyQo.jpg.296x216.jpg
20200208,闵行,浦江,次新房，南北通透，得房率超高。。。。必看好房,210万,2室1厅 | 71.03平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0bd689a0-5392-4bbf-994b-7c75b50b6fd6.jpg.296x216.jpg
20200208,闵行,浦江,南北通一室户，高得房率，位置好，无个税，看房有钥匙必看好房,166万,1室1厅 | 51平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d95af0a5-c39f-4e6f-8c39-ca53325f1f8f.jpg.296x216.jpg
