20200208,闵行,吴泾,有车位，房子价格便宜，保养好，看中价格可以谈！必看好房,618万,3室1厅 | 96.13平米 | 南 | 精装 | 高楼层(共15层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZUERWrK5j_1.jpg.296x216.jpg
20200208,闵行,吴泾,店长推荐 品质小区 一楼带花园 位置佳 随时可看必看好房,330万,3室1厅 | 88.42平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tfJryosv8_1.jpg.296x216.jpg
20200208,闵行,吴泾,满五年唯一，中间楼层，户型正气，生活很方便！必看好房,315万,2室2厅 | 92.15平米 | 北 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UiXpOiHAK_1.jpg.296x216.jpg
20200208,闵行,吴泾,此房一手动迁，交易免增值税，业主自住，采光充足.必看好房,500万,3室2厅 | 123.43平米 | 南 北 | 其他 | 低楼层(共14层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Pre1E6xrW_1.jpg.296x216.jpg
20200208,闵行,吴泾,塘泾南苑 1室1厅 270万必看好房,270万,1室1厅 | 68平米 | 南 | 其他 | 低楼层(共14层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pMscOrQi8_1.jpg.296x216.jpg
20200208,闵行,吴泾,通海2小区 正规三房 诚意出售价格可谈 一楼双院子必看好房,330万,3室2厅 | 110.51平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d70ccc03-63fb-48f5-870e-512fe1744f13.jpg.296x216.jpg
20200208,闵行,吴泾,永德双南两房，房龄新，比较少的户型必看好房,182万,2室1厅 | 57.7平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_a5KyoPOrl_1.jpg.296x216.jpg
20200208,闵行,吴泾,虹梅新苑电梯一房+高楼层+采光好必看好房,225万,1室1厅 | 55.55平米 | 南 | 精装 | 高楼层(共15层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Qx9AJIEGu_1.jpg.296x216.jpg
20200208,闵行,吴泾,品质小区，精装大两房，南北朝向，中间楼层必看好房,315万,2室2厅 | 79.44平米 | 南 | 精装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4b8de476-e039-4252-bdc5-0d7d3896c44f.jpg.296x216.jpg
20200208,闵行,吴泾,采光充裕两房，老装修，户型好。必看好房,155万,2室1厅 | 55.55平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-565f1c3d-2330-4c3b-95b0-cb37fca94ac3.jpg.296x216.jpg
20200208,闵行,吴泾,万科小三房 全明户型 视野好 精装修 房屋保养好必看好房,365万,3室2厅 | 89.86平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4b43a7c1-922e-433b-9481-927f7b3fefb7.jpg.296x216.jpg
20200208,闵行,吴泾,双南小户型 楼层好 采光充足 配套齐全 交通便利必看好房,230万,1室1厅 | 63.98平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vnY6zEACR_1.jpg.296x216.jpg
20200208,闵行,吴泾,万科阳光苑 3室2厅 369万必看好房,369万,3室2厅 | 88.4平米 | 南 | 精装 | 高楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PWgF2ERSw_1.jpg.296x216.jpg
20200208,闵行,吴泾,龙吴路5599弄 精装一房 诚意出售 看房方便必看好房,180万,1室1厅 | 60.63平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8iUcOyFSx_1.jpg.296x216.jpg
20200208,闵行,吴泾,双柏小区 3室1厅 230万必看好房,230万,3室1厅 | 72.57平米 | 南 | 其他 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dzOAxZXFO_1.jpg.296x216.jpg
20200208,闵行,吴泾,塘泾北苑 1室1厅 258万必看好房,258万,1室1厅 | 66.38平米 | 南 | 毛坯 | 中楼层(共13层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WrhUOnw1B_1.jpg.296x216.jpg
20200208,闵行,吴泾,一手动迁，精装修，采光充足，看房方便必看好房,525万,3室2厅 | 123.35平米 | 南 | 精装 | 中楼层(共13层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ybYItjSSo_1.jpg.296x216.jpg
