20200208,闵行,莘庄,此房为精装修，一楼大花园，带地暖，业主诚意卖必看好房,310万,2室1厅 | 72.19平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b7206646-d7d5-488f-b1c7-73e56a6abf1d_1000.jpg.296x216.jpg
20200208,闵行,莘庄,满五年唯一全明精装户型二手买进税少必看好房,450万,3室2厅 | 132.92平米 | 南 | 精装 | 中楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8f4f650e-ecc4-4dc5-a0af-e51d42d5e82c.png.296x216.jpg
20200208,闵行,莘庄,宝安新苑两房，楼层棒，房型正气，采光好，满五唯一必看好房,395万,2室2厅 | 90.53平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-223a4c17-b0f6-46c2-8049-5c96129eedbd.png.296x216.jpg
20200208,闵行,莘庄,绿梅一村 2室1厅 225万必看好房,225万,2室1厅 | 40.3平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WNKJWjbSp_1.jpg.296x216.jpg
20200208,闵行,莘庄,西环公寓，南北通大两房，不沿街，不靠高架，诚售必看好房,410万,2室2厅 | 95.95平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sipMynidj_1.jpg.296x216.jpg
20200208,闵行,莘庄,2004年车位充足 接受置换 户型方正 看房随时必看好房,461万,2室2厅 | 98.26平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iITMcbw0V_1.jpg.296x216.jpg
20200208,闵行,莘庄,莘庄大两房，满五唯一，单价3万3千8！等你咨询必看好房,258万,2室1厅 | 76.27平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zuEDkJfFB_1.jpg.296x216.jpg
20200208,闵行,莘庄,名都新城（一期、二期） 3室2厅 695万必看好房,695万,3室2厅 | 125.61平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kxkRUPkRI_1.jpg.296x216.jpg
20200208,闵行,莘庄,名都新城一期三房两卫业主自住装修保养如新看房有钥匙必看好房,598万,3室2厅 | 105.08平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bIE2BB66c_1.jpg.296x216.jpg
20200208,闵行,莘庄,就读闵实小 近地铁 高层电梯 边套全明 俯瞰春申视野好必看好房,580万,2室2厅 | 98.35平米 | 南 | 简装 | 高楼层(共13层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ArsUdGJUp_1.jpg.296x216.jpg
20200208,闵行,莘庄,万科稀有三房 户型好 全飘窗 二手买入 满五唯一税少必看好房,729万,3室2厅 | 117.56平米 | 南 北 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pTHQddURa_1.jpg.296x216.jpg
20200208,闵行,莘庄,满五唯一，精装修拎包入住，带飘窗，视野采光无遮挡必看好房,356万,2室2厅 | 95.47平米 | 南 | 精装 | 低楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-43f4fd6e-17f4-4b73-93a3-63ed6b2ecbd2.jpg.296x216.jpg
20200208,闵行,莘庄,精装修，诚意出售，看房方便。。。。。。。。必看好房,495万,3室1厅 | 93平米 | 北 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0K2JA6xdh_1.jpg.296x216.jpg
20200208,闵行,莘庄,莘庄南北通，电梯房，配套成熟，交通方便，精装必看好房,615万,2室2厅 | 96.52平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FkiziVpVs_1.jpg.296x216.jpg
20200208,闵行,莘庄,莘松九村,简单一房，可做普宅，看房方便必看好房,318万,1室1厅 | 42.27平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6eu6VWEsS_1.jpg.296x216.jpg
20200208,闵行,莘庄,柏林春天（一期） 2室2厅 510万必看好房,510万,2室2厅 | 93平米 | 南 | 简装 | 高楼层(共14层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SxOcEN2Zu_1.jpg.296x216.jpg
20200208,闵行,莘庄,上海莘城，南广场地段，1号线5号线，出行方便诚意出售必看好房,538万,3室2厅 | 103.69平米 | 南 北 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b0ec645c-a6e4-489a-a265-cd7cee4fdf3a.jpg.296x216.jpg
20200208,闵行,莘庄,莘城苑原始一房户型，妙手改成南北2房，业主诚意出售必看好房,255万,2室1厅 | 68.32平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/27c02883-4d2f-41ca-ae28-90df56f0987a_1000.jpg.296x216.jpg
20200208,闵行,莘庄,水清三村小两房，满五唯一，小区中间位置，配套成熟必看好房,283万,2室1厅 | 56.89平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eSIZsssof_1.jpg.296x216.jpg
20200208,闵行,莘庄,报春经典南北大两房，满五年唯一，楼层好，采光足必看好房,265万,2室1厅 | 71.51平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pYdqMJHdj_1.jpg.296x216.jpg
20200208,闵行,莘庄,南北户型  满五年唯一 税费少 诚意出售必看好房,306万,2室2厅 | 75.93平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/c04fea54-855c-405f-8b09-be18857ca8b5_1000.jpg.296x216.jpg
20200208,闵行,莘庄,精装保养好 满五唯一 生活配套超方便的三房必看好房,465万,3室2厅 | 133.27平米 | 南 | 精装 | 低楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XzwGYZQZD_1.jpg.296x216.jpg
20200208,闵行,莘庄,景观电梯三房 南北通 精装 带产权车位 金地物业必看好房,529万,3室2厅 | 112.34平米 | 南 | 精装 | 高楼层(共13层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OV1z8XRoV.jpg.296x216.jpg
20200208,闵行,莘庄,南北通南北双阳台景观楼层业主诚意出售专属委托必看好房,475万,2室2厅 | 98.17平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fc289f4e-9ce0-4fc6-a6f0-307812af29c6_1000.jpg.296x216.jpg
20200208,闵行,莘庄,地铁电梯大一房，楼层佳，税费少必看好房,255万,1室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共20层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Cf0ekgQyg_1.jpg.296x216.jpg
20200208,闵行,莘庄,低楼层南北小两房    带院子   总价低！！！必看好房,200万,2室0厅 | 50.76平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VvBmlonda_1.jpg.296x216.jpg
20200208,闵行,莘庄,满五唯一 中间楼层 精装修 诚意卖必看好房,150万,1室1厅 | 38.21平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mFkAGLKhj_1.jpg.296x216.jpg
20200208,闵行,莘庄,中间楼层+售后公房+小户型居家装修+看房方便必看好房,195万,1室1厅 | 35.32平米 | 南 | 简装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rAvONYzCE_1.jpg.296x216.jpg
20200208,闵行,莘庄,小区里面位置：经典复式，房型正气，附带约80平大露台必看好房,875万,4室2厅 | 170.61平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ROrF8oDNo_1.jpg.296x216.jpg
20200208,闵行,莘庄,绿梅三村 1室1厅 246万必看好房,246万,1室1厅 | 50.68平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-08743b9f-9fd9-4895-89fe-33fd1e23641d.png.296x216.jpg
