20200208,闵行,颛桥,5号线龙湖天街旁，正气3房，满五唯一，景观位置，急售必看好房,299万,3室1厅 | 81.89平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bb07236f-91fd-4332-9b5b-cfcb27688091.jpg.296x216.jpg
20200208,闵行,颛桥,近地铁800米 中间楼层 诚心出售必看好房,310万,2室2厅 | 80.22平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ed98a3ab-4a4e-4de4-8d68-49e0d9ef8790.jpg.296x216.jpg
20200208,闵行,颛桥,君莲小区 中间位置三房 房型正气 飞机户型 看房方便必看好房,365万,3室2厅 | 107平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VNOw4YS5k_1.jpg.296x216.jpg
20200208,闵行,颛桥,君莲小区 优质三房 房型正气 飞机户型 看房方便必看好房,378万,3室2厅 | 108.59平米 | 南 | 简装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DFgmjMKuf_1.jpg.296x216.jpg
20200208,闵行,颛桥,电梯商品房，房龄新楼层好，精装修必看好房,335万,2室2厅 | 94.83平米 | 南 北 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MYiRBNMkL_1.jpg.296x216.jpg
20200208,闵行,颛桥,都市富苑 温馨之家 阳台风景美丽 神仙位置 出入方便必看好房,480万,3室2厅 | 131.29平米 | 南 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JHPKu03LQ_1.jpg.296x216.jpg
20200208,闵行,颛桥,复地北桥城(都市路399弄)(公寓) 2室1厅 255万必看好房,255万,2室1厅 | 67.86平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4cgz43s9V_1.jpg.296x216.jpg
20200208,闵行,颛桥,万达边，新挂牌大两房附带chao大花园，看房方便！必看好房,479万,2室1厅 | 97.75平米 | 南 | 精装 | 低楼层(共8层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_74JCuE23G_1.jpg.296x216.jpg
20200208,闵行,颛桥,满五唯一，有阁楼有楼台，税费低，近地铁必看好房,335万,3室2厅 | 114.64平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mgNzdI3KB_1.jpg.296x216.jpg
20200208,闵行,颛桥,一手动迁，楼层位置好，南北户型，得房率高，产权清晰必看好房,369万,2室2厅 | 84.8平米 | 南 | 毛坯 | 低楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hhUcyrpiZ_1.jpg.296x216.jpg
20200208,闵行,颛桥,静享魔都之繁华，闹市中取静谧，生活就是享受的过程必看好房,258万,3室1厅 | 81.35平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5jMIGHUP9_1.jpg.296x216.jpg
20200208,闵行,颛桥,精装修，南北通，房子就等一个你必看好房,380万,2室2厅 | 90.56平米 | 南 | 精装 | 中楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J495bAeTg_1.jpg.296x216.jpg
20200208,闵行,颛桥,精装修  业主诚意出售  楼层好  配套齐全 采光好必看好房,349万,2室1厅 | 76.65平米 | 南 北 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OfCuRragH_1.jpg.296x216.jpg
20200208,闵行,颛桥,电梯房 房龄新 房型正气 新毛坯 诚心卖看房方便必看好房,243万,2室1厅 | 73.26平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_L1WroDxfU_1.jpg.296x216.jpg
20200208,闵行,颛桥,此房满五年  南北户型格局 楼层好 采光充足 近地铁必看好房,349万,2室2厅 | 83.46平米 | 南 | 毛坯 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7ZL3Y0D6Y_1.jpg.296x216.jpg
20200208,闵行,颛桥,低总价，将来地铁口，出行方便 动迁房 近地铁 急售必看好房,270万,1室2厅 | 73.31平米 | 南 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nMLW02Nbq_1.jpg.296x216.jpg
20200208,闵行,颛桥,房子户型两南一北 总价低 原值高 税费少必看好房,320万,3室1厅 | 77.24平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GdCoEU4K7_1.jpg.296x216.jpg
20200208,闵行,颛桥,金都三居室 非顶层5楼 业主自住 接受面谈必看好房,375万,3室2厅 | 87.61平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EyYmP1bQU_1.jpg.296x216.jpg
20200208,闵行,颛桥,电梯大两房 满五年唯一 中间位置必看好房,435万,2室2厅 | 97.82平米 | 南 | 精装 | 中楼层(共8层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_so367USAd_1.jpg.296x216.jpg
20200208,闵行,颛桥,户型正气，视野好，采光充足，交通便利必看好房,258万,2室2厅 | 83.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4wkN1vzgU_1.jpg.296x216.jpg
20200208,闵行,颛桥,满五唯一，少税，精装修，次新房必看好房,250万,2室2厅 | 69.32平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dmQMPIGaf_1.jpg.296x216.jpg
20200208,闵行,颛桥,楼层好，采光好，动迁房，业主诚意出售必看好房,259万,1室1厅 | 59.18平米 | 南 | 简装 | 中楼层(共17层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7UxUvlqFV_1.jpg.296x216.jpg
20200208,闵行,颛桥,店长推荐精装两房。南北通全明户型满五唯一随时可看必看好房,255万,2室1厅 | 63.12平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CUaKcoMLg_1.jpg.296x216.jpg
20200208,闵行,颛桥,爱庐两房 价格低 位置好 地铁口 居家装修必看好房,306万,2室2厅 | 82.69平米 | 北 | 简装 | 低楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-27b83c70-c03b-4985-ad82-29025e60d6d5.jpg.296x216.jpg
20200208,闵行,颛桥,银都新村(1至7区) 2室1厅 265万必看好房,265万,2室1厅 | 70.1平米 | 东南 | 毛坯 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WT5tyGa9A_1.jpg.296x216.jpg
20200208,闵行,颛桥,精装修+万达广场+五号线颛桥地铁站+小区环境优美必看好房,242万,2室1厅 | 62.24平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A2OPPmazZ_1.jpg.296x216.jpg
20200208,闵行,颛桥,君莲幸福苑高楼层一房 动迁税费少必看好房,236万,1室1厅 | 61.86平米 | 南 | 毛坯 | 高楼层(共17层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GAFqmuIsW_1.jpg.296x216.jpg
20200208,闵行,颛桥,满五唯一精装修，视野开阔采光好，豆书机会未使用必看好房,255万,2室1厅 | 56.9平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C2lodsWdP_1.jpg.296x216.jpg
20200208,闵行,颛桥,日月华城+满五唯一+电梯高楼层+精装修+业主急售！必看好房,242万,1室1厅 | 59.38平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dVNvA7nnD_1.jpg.296x216.jpg
20200208,闵行,颛桥,刚挂3房，有钥匙，价格低，保养如新，前后景观必看好房,1388万,3室3厅 | 240.6平米 | 南 | 精装 | 高楼层(共30层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MugD3Y4gT_1.jpg.296x216.jpg
20200208,闵行,颛桥,双地铁，近颛桥万达，临龙湖天街 出入高架隧道必看好房,358万,2室2厅 | 98.96平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UvAzAqmba_1.jpg.296x216.jpg
20200208,闵行,颛桥,动迁房满五年唯一 精装修婚房 保养好位置佳采光棒！必看好房,439万,3室2厅 | 98.35平米 | 南 北 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kbWFoBJZs_1.jpg.296x216.jpg
20200208,闵行,颛桥,贵峰苑 三期02年 满五唯一 采光充足 边套双南户型必看好房,335万,2室1厅 | 76.39平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8f8eebb-4959-4181-a303-63ae17c267c2.jpg.296x216.jpg
20200208,闵行,颛桥,外地人，新上海人婚房，首套扎根的一步，从这里开始。必看好房,173万,1室1厅 | 46.61平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_y84DKcyq5_1.jpg.296x216.jpg
20200208,闵行,颛桥,南北通两房，一手动迁免增值税 高楼层必看好房,319万,2室1厅 | 84.85平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,https://image1.ljcdn.com/310000-inspection/prod-15ba5980-8f15-4806-a794-2131389f5174.jpg.296x216.jpg
20200208,闵行,颛桥,颛溪八村两房 简单装修 视野开阔，采光通风效果好。必看好房,225万,2室1厅 | 58.18平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QaTncjeiQ_1.jpg.296x216.jpg
20200208,闵行,颛桥,近地铁，商品房小区 安静 住户素质好，急卖必看好房,228万,2室1厅 | 64.93平米 | 南 | 精装 | 低楼层(共8层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-914f1406-8bb1-4d66-b12b-dac25ef1a91b.png.296x216.jpg
20200208,闵行,颛桥,银都新村(1至7区) 2室1厅 273万必看好房,273万,2室1厅 | 56.22平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4NI3GH5Zm_1.jpg.296x216.jpg
20200208,闵行,颛桥,满五年不唯一，简装修，朝南户型，业主诚意出售必看好房,213万,1室1厅 | 42.78平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c95d17db-1052-419b-b1a4-e40c9fe2f399.jpg.296x216.jpg
20200208,闵行,颛桥,位置安静带露台，有豆书机会，精装修拎包入住必看好房,227万,1室1厅 | 47.36平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-34ce22a1-6a71-455f-bf02-9cb02f255b01.jpg.296x216.jpg
20200208,闵行,颛桥,满五唯一！中间位置，600万装修可拎包入住，价格可谈必看好房,2130万,5室2厅 | 456.92平米 | 南 | 精装 | 2层 | 2009年建 | 板楼 | 独栋别墅,https://image1.ljcdn.com/310000-inspection/db0f4b1c-f629-486b-bfa1-e81922d7d0ae.jpg.296x216.jpg
20200208,闵行,颛桥,一手动迁 电梯三楼好楼层 靠草坪花园 不临街不靠路必看好房,298万,2室2厅 | 78.16平米 | 南 | 毛坯 | 低楼层(共9层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bab97229-b7d4-44db-9496-288776dd8a22.jpg.296x216.jpg
20200208,闵行,颛桥,二期新房，保养好可直接入住，可看泳池，价格可谈税少,1600万,3室2厅 | 240平米 | 南 | 精装 | 高楼层(共29层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/0098289d-ceda-4c41-a652-bcba5b00e7eb.jpg.296x216.jpg
20200208,闵行,颛桥,好世三期 不靠河 不靠路 楼层好 南北通 户型方正,535万,2室2厅 | 95.04平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a85e22da-255f-4516-8d07-8f4c260115df.jpg.296x216.jpg
