district,town_name,description,listed_price,layout,total_area,direction,decoration_rate,stairs,built_year,building_type,rooms,living_rooms,floor_height,total_floors,m5w1,near_facilities,historical,log_price,binned_total_floors,living_room_ratio
baoshan,zhangmiao,泗塘四村 1室1厅 175万,175.0,1室1厅 ,41.15, 南 , 简装 ,中楼层(共6层),1987-01-01, 板楼,1,1,中,6,不满五,False,False,5.1647859739235145,low,1.0
pudong,zhoupu,精致小两房，没有个税，南北通户型 看房方便房主自荐,350.0,2室1厅 ,72.8, 南 , 精装 ,高楼层(共6层),2006-01-01, 板楼,2,1,高,6,不满五,False,False,5.857933154483459,low,0.5
xuhui,changqiao,精装修南北两房、南北花园绿地！,680.0,2室1厅 ,90.59, 南 北 , 精装 ,12层,2008-01-01, 板楼,2,1,高,12,不满五,False,False,6.522092798170152,low,0.5
pudong,xinchang,东方冠郡 2室2厅 270万,270.0,2室2厅 ,90.96, 南 , 精装 ,中楼层(共6层),2007-01-01, 板楼,2,2,中,6,不满五,False,False,5.598421958998375,low,1.0
pudong,zhoupu,三轨交汇，中金二期精装小三房，带zhongyang空调,425.0,3室2厅 ,94.77, 南 北 , 精装 ,低楼层(共8层),2013-01-01, 板楼,3,2,低,8,不满五,False,False,6.052089168924417,low,0.6666666666666666
baoshan,dachangzhen,乾溪二村，看房方便，毛坯房，改动空间大,315.0,2室1厅 ,78.71, 南 , 毛坯 ,中楼层(共6层),1997-01-01, 板楼,2,1,中,6,不满五,False,False,5.752572638825633,low,0.5
pudong,jinyang,1楼带院子，一梯两户南北通透，近地铁6号线金桥路站必看好房,280.0,2室1厅 ,54.72, 南 北 , 简装 ,低楼层(共6层),1993-01-01, 板楼,2,1,低,6,不满五,True,False,5.634789603169249,low,0.5
baoshan,yanghang,房子满五唯一，税费少，精装修，有车位，业主诚意出售房主自荐,355.0,2室2厅 ,90.75, 南 , 精装 ,低楼层(共14层),2007-01-01, 板楼,2,2,低,14,满五唯一,False,False,5.872117789475416,low,1.0
pudong,kangqiao,满五年唯一，看房方便，2010年小区，S3高架，11号线房主自荐,259.0,2室2厅 ,72.2, 南 北 , 毛坯 ,低楼层(共6层),2010-01-01, 板楼,2,2,低,6,满五不唯一,False,False,5.556828061699537,low,1.0
minhang,gumei,满五唯一  楼层适中  得房率高  近地铁房主自荐,680.0,3室2厅 ,131.4, 南 , 简装 ,中楼层(共7层),1999-01-01, 板楼,3,2,中,7,满五唯一,True,False,6.522092798170152,low,0.6666666666666666
