20200208,浦东,北蔡,满五唯一税费少！单价低总价也低！房东诚意出售！必看好房,400万,3室1厅 | 118.69平米 | 南 | 简装 | 低楼层(共22层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_lDyJkmqzF_1.jpg.296x216.jpg
20200208,浦东,北蔡,小区后排+电梯高层+满五唯一+正房型+双地铁必看好房,620万,2室2厅 | 86.89平米 | 南 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oSBmYa1jZ_1.jpg.296x216.jpg
20200208,浦东,北蔡,13年次新房  东边套 满五唯一 3轨交2/7/16 业主诚售必看好房,1170万,3室2厅 | 122.32平米 | 南 北 | 精装 | 中楼层(共19层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BVdVD6cLn_1.jpg.296x216.jpg
20200208,浦东,北蔡,中间不靠路，全明通风采光好，出行便利，经典小错层必看好房,975万,3室2厅 | 133.96平米 | 南 北 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H9w3RYBQT_1.jpg.296x216.jpg
20200208,浦东,北蔡,中间楼层，不靠马路，全明三房朝南，一梯两户必看好房,435万,3室1厅 | 84.71平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7g0Vw9G23_1.jpg.296x216.jpg
20200208,浦东,北蔡,房子满五年 唯一 精装修 自住 户型正气 全明必看好房,435万,2室2厅 | 99.25平米 | 南 西 | 精装 | 中楼层(共7层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gaSFfIkuQ_1.jpg.296x216.jpg
20200208,浦东,北蔡,双南全明，看房方便，总价低，一梯两户，近七号线必看好房,297万,2室1厅 | 62.63平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zpaAsjOkO_1.jpg.296x216.jpg
20200208,浦东,北蔡,2013年小区、中环内、13号线地铁50米、户型正气必看好房,345万,1室1厅 | 58.11平米 | 南 | 精装 | 中楼层(共16层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-58d401ae-46ae-4d7a-84a5-c75157acdaa6.jpg.296x216.jpg
20200208,浦东,北蔡,本房子适合年轻小家庭居住，看房有钥匙随时方便必看好房,290万,2室1厅 | 61.78平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-69bd7c0e-bf17-441f-9a5f-94c94adebbdd.png.296x216.jpg
20200208,浦东,北蔡,首付96万，全明格局，南北户型，一梯两户，97年竣工必看好房,270万,2室1厅 | 66.04平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9f4fb49c-0027-4b11-9a64-91a5cbca6383.jpg.296x216.jpg
20200208,浦东,北蔡,花木街道+双南全明+婚房装修+视野宽阔+非顶楼近地铁必看好房,330万,2室1厅 | 67.34平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3yazDDRDq_1.jpg.296x216.jpg
20200208,浦东,北蔡,高区层高3.2米满五唯一，南北通装修保养好舒适温馨必看好房,916万,3室2厅 | 122.25平米 | 南 | 精装 | 高楼层(共11层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IE1mwHklq_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一，南北通格局好，阳光充足，老人孩子都适宜必看好房,926万,3室2厅 | 125.81平米 | 南 | 简装 | 低楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SonDrIC61_1.jpg.296x216.jpg
20200208,浦东,北蔡,位置安静 地铁7号线 边套全明 精装自住采光好内环边上必看好房,236万,1室1厅 | 48.24平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d1f01ef8-26a4-4449-8057-bfc56bbf90ce.jpg.296x216.jpg
20200208,浦东,北蔡,内中环商品房+一梯两户+中间位置+产权一人+无户口必看好房,305万,2室1厅 | 70.38平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3Gxf70YfG_1.jpg.296x216.jpg
20200208,浦东,北蔡,花木管辖，小区央座，售后公房，非底楼，总价低必看好房,213万,1室1厅 | 40.64平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XboXp9Va6_1.jpg.296x216.jpg
20200208,浦东,北蔡,小区央位双南采光好税费低近地铁必看好房,269万,2室1厅 | 58.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5Zz8rIOGA_1.jpg.296x216.jpg
20200208,浦东,北蔡,税费少+年底捡漏+一梯两户+南北正气+钥匙+诚意出售必看好房,245万,1室1厅 | 50.51平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VB9jwMJBs_1.jpg.296x216.jpg
20200208,浦东,北蔡,13号线陈春路站，一手动迁，房东置换，诚意出售。必看好房,492万,2室2厅 | 84.06平米 | 南 | 精装 | 低楼层(共17层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_elEfSNrRl_1.jpg.296x216.jpg
20200208,浦东,北蔡,精装电梯花园洋房，中区楼层，满五年唯一税费少有钥匙必看好房,790万,2室2厅 | 100.42平米 | 南 北 | 精装 | 中楼层(共5层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0cb32cba-ebc1-45fe-b2ed-6edab9fcae23.jpg.296x216.jpg
20200208,浦东,北蔡,锦绣前城=新小区+人车分流+精致小三房必看好房,1080万,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共24层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-abf0eb39-b0a9-4ff7-a87a-e52031e14d39.jpg.296x216.jpg
20200208,浦东,北蔡,一梯两户，双南户型，非顶楼，业主诚心出售。必看好房,289万,2室1厅 | 67.35平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lNw5PKpe0_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一没有增值税和个税，5楼，视野宽阔必看好房,350万,2室1厅 | 67.63平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jLVbMvtjX_1.jpg.296x216.jpg
20200208,浦东,北蔡,16年底新小区，开发商精装交付，电梯高层，视野好必看好房,600万,2室2厅 | 89.9平米 | 东 | 精装 | 高楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_X3VYoPJ3d_1.jpg.296x216.jpg
20200208,浦东,北蔡,98年房龄，四线交汇，卧室朝南客厅朝南，小区央座！必看好房,272万,1室1厅 | 54.09平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6a40c221-22d1-4e7d-a6e3-211f4ff529b1.png.296x216.jpg
20200208,浦东,北蔡,星河湾三期高区景观两房，已满2年，V IP房源诚意出售必看好房,1220万,2室2厅 | 110平米 | 南 | 精装 | 高楼层(共19层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6a7e93ff-3aa7-46b5-a255-77966a5382ce.jpg.296x216.jpg
20200208,浦东,北蔡,满五年唯一+近内环+2007年小区+位置安静河景房必看好房,450万,2室2厅 | 78.56平米 | 南 | 简装 | 低楼层(共7层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_31JsNlmWe_1.jpg.296x216.jpg
20200208,浦东,北蔡,满五唯一，五楼，采光充足，南北通风，诚意出售。必看好房,170万,1室1厅 | 42.09平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dAQSNf5x7_1.jpg.296x216.jpg
20200208,浦东,北蔡,新出房源，中间楼层，看房方便，总价低，户型方正必看好房,290万,2室1厅 | 61.44平米 | 东南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_acmvr6FGd_1.jpg.296x216.jpg
