20200208,浦东,碧云,户型方正明亮宽敞带花园，得房率高必看好房,1050万,3室2厅 | 122.54平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dcad1a8d-06c0-44be-ad27-add17978412e.jpg.296x216.jpg
20200208,浦东,碧云,新出精装2房，业主诚心出售，二手买进，税费少必看好房,415万,2室1厅 | 55.89平米 | 东南 | 精装 | 中楼层(共4层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HwVO7k9eq_1.jpg.296x216.jpg
20200208,浦东,碧云,碧云总价低的居家住宅  金童、上实未用  直观体育公园必看好房,435万,2室2厅 | 67.03平米 | 西北 | 精装 | 中楼层(共4层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VgHBVSIuJ_1.jpg.296x216.jpg
20200208,浦东,碧云,满五唯一且买入价高，高区位置，视线好，不靠高压线,2090万,4室2厅 | 246.89平米 | 南 | 精装 | 高楼层(共13层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-675b0175-d024-4f43-9f69-7387dffeb1e2.jpg.296x216.jpg
20200208,浦东,碧云,满五年+精装修+大两房+交通方便,545万,2室1厅 | 78.88平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce8e98c3-6356-4dce-a0fc-b066d3db4bc7.jpg.296x216.jpg
20200208,浦东,碧云,稀有顶复，客厅挑空，采光极好，意大利设计，精装3居,1690万,5室2厅 | 214.21平米 | 南 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ihW7y6dQ9_1.jpg.296x216.jpg
20200208,浦东,碧云,大户型顶复，地中海装修，碧云社区内，满五年省税,805万,2室2厅 | 85.14平米 | 南 | 精装 | 高楼层(共5层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_esT74UT3B.jpg.296x216.jpg
20200208,浦东,碧云,临平和国际、无遮挡、正对小区游泳池、带产权车位,1480万,3室2厅 | 175.81平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b3ebaeb5-d2cc-4f9b-bb93-5b45e8915870.jpg.296x216.jpg
20200208,浦东,碧云,精装3室，全明户型方正，宽阔双厅，满五年唯一无个税,1150万,3室2厅 | 145.38平米 | 南 | 精装 | 低楼层(共17层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jAEv7mfPa.jpg.296x216.jpg
20200208,浦东,碧云,双南户型，全屋光照多，有钥匙，学籍未占用,430万,1室1厅 | 63.09平米 | 南 | 精装 | 中楼层(共19层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a24d291b-cc48-4878-b005-6ad65e8ab909.jpg.296x216.jpg
20200208,浦东,碧云,看房方便，品质小区大三房，满五唯一税费少,1180万,3室2厅 | 145.01平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-257c6721-ca86-493c-b975-a0aee93888fe.jpg.296x216.jpg
20200208,浦东,碧云,此房满5年税少，楼层好，采光充足，交通9号线方便,1100万,3室2厅 | 147.75平米 | 南 | 精装 | 低楼层(共19层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dHlv9r7NX.jpg.296x216.jpg
