20200208,浦东,曹路,小巧的户型，温馨的家，采光充足，居住舒适。必看好房,219万,1室1厅 | 56.29平米 | 南 | 精装 | 中楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ea119e69-8eff-41f4-848a-3e783d52f7e8.jpg.296x216.jpg
20200208,浦东,曹路,温馨华丽三居室，婚房装修尽显品位，户型方正必看好房,420万,3室2厅 | 109.92平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2735ce6c-a1f8-49f2-ab03-5e41f5fec218.jpg.296x216.jpg
20200208,浦东,曹路,近地铁，温馨华丽两居室，婚房装修尽显品位，户型方正必看好房,300万,2室2厅 | 89.85平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0bd16086-2ecb-4b0e-8ecb-5c58f677e2ba.jpg.296x216.jpg
20200208,浦东,曹路,保养完好，精装一房，采光足，视野好，有钥匙必看好房,215万,1室1厅 | 54.3平米 | 南 | 简装 | 中楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-67e47033-c38b-4f74-9954-24101aed90e2.png.296x216.jpg
20200208,浦东,曹路,曹路优选两房 户型方正 看房方便 诚意出售必看好房,310万,2室2厅 | 82.84平米 | 南 | 精装 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GgyswXWjV_1.jpg.296x216.jpg
20200208,浦东,曹路,蝴蝶户型，三房精装，双落地阳台，房东诚心出售.必看好房,478万,3室2厅 | 127.73平米 | 南 北 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-22a50dc8-146e-4932-aa6f-1b5ce5d3af34.jpg.296x216.jpg
20200208,浦东,曹路,诚心出售 户型好 采光足 位置好 通风好 可以随意装修必看好房,321万,3室2厅 | 100.47平米 | 南 | 毛坯 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c3fbd96f-8141-47f3-8a9c-d22390a87a89.jpg.296x216.jpg
20200208,浦东,曹路,此房一手动迁，税少，楼层好，位置佳必看好房,296万,2室2厅 | 82.51平米 | 南 | 简装 | 低楼层(共24层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ec76a3b9-b307-4a17-9f23-51b1a1185c28.jpg.296x216.jpg
20200208,浦东,曹路,星颂家园 地铁两房 一手动迁 无增值税 随时看房必看好房,265万,2室1厅 | 72.63平米 | 南 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XXZ2amzLW_1.jpg.296x216.jpg
20200208,浦东,曹路,商场旁 南北两房 一手动迁税费少 总价低 诚意卖必看好房,247万,2室1厅 | 73.99平米 | 南 | 毛坯 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y4w1M8l5N_1.jpg.296x216.jpg
20200208,浦东,曹路,一手动迁房 税少 南北通户型 楼层好必看好房,298万,2室2厅 | 75.56平米 | 南 | 毛坯 | 高楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QiTOoU5kr_1.jpg.296x216.jpg
20200208,浦东,曹路,此房景观楼层，小区景观位置，业主诚意售，价格可谈。必看好房,264万,2室1厅 | 68.92平米 | 南 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AxVExwd8Q_1.jpg.296x216.jpg
20200208,浦东,曹路,热门小区  热门户型  出售诚意度十足  欢迎随时咨询必看好房,209万,1室1厅 | 52.36平米 | 南 | 毛坯 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZQwS7nYhY_1.jpg.296x216.jpg
20200208,浦东,曹路,楼层好，离大门近，采光充足，配套成熟，交通方便。必看好房,270万,2室1厅 | 69.55平米 | 南 | 简装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_b9DHPxqhc_1.jpg.296x216.jpg
20200208,浦东,曹路,满五唯一，无个税，采光充足户型方正必看好房,242万,2室1厅 | 69.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6137de9d-977d-4cd5-88b3-d6298f3b7c66.jpg.296x216.jpg
20200208,浦东,曹路,近地铁，两房带阁楼，税费少，双南户型必看好房,290万,2室2厅 | 87.27平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7cee51dc-0e92-4c26-8372-d66d2c868b16.jpg.296x216.jpg
20200208,浦东,曹路,新芳邻大两房，价格低，看房方便，业主诚心必看好房,330万,2室1厅 | 86.67平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6HRXSsgO5_1.jpg.296x216.jpg
20200208,浦东,曹路,A+房源  南北通户型  税少  品质小区  拎包入住必看好房,345万,2室1厅 | 71.65平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dqPh4Np8o_1.jpg.296x216.jpg
20200208,浦东,曹路,曹路新出 两房 佳伟景苑 一手动迁 配套成熟必看好房,260万,2室1厅 | 73.99平米 | 南 | 简装 | 低楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F7LzH5eF0_1.jpg.296x216.jpg
20200208,浦东,曹路,曹路金钻苑1房带装修一手动迁房税少好楼层看房随时必看好房,203万,1室1厅 | 53.5平米 | 南 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8an9TLzAc_1.jpg.296x216.jpg
