20200208,浦东,高行,楼梯房三楼，满五年唯一，小区中间位置必看好房,500万,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kwJTxIZnb_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑新出电梯小户型，精装修自住，诚意出售必看好房,270万,1室1厅 | 58.51平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c490dad8-7ba2-4a79-8f9f-201ac7583a94.jpg.296x216.jpg
20200208,浦东,高行,此房满五不唯一，格局好，采光充足，户型方正双朝南。必看好房,285万,2室1厅 | 74.12平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s3maVmOc4_1.jpg.296x216.jpg
20200208,浦东,高行,一手动迁税费少，万嘉广场，配套齐，近地铁，出行方便必看好房,460万,3室2厅 | 95.59平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MO0UiCILa_1.jpg.296x216.jpg
20200208,浦东,高行,充足采光 前无遮挡，带大花园，全明户型精装修三年必看好房,395万,3室1厅 | 90.82平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JtDLzx8mc_1.jpg.296x216.jpg
20200208,浦东,高行,绿地C7户型，满五年不唯一，楼层佳，南北通透必看好房,508万,2室2厅 | 97.82平米 | 南 北 | 精装 | 低楼层(共16层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cca16993-94e1-4a41-a165-5ffa4ec3e658.jpg.296x216.jpg
20200208,浦东,高行,崇明专线旁 模范中學 低总价一房 0税采光好随时看必看好房,255万,1室1厅 | 57.36平米 | 南 | 简装 | 低楼层(共18层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mDAaXSb4A_1.jpg.296x216.jpg
20200208,浦东,高行,满五唯一税费少，南北通透户型佳，自住装修诚意售必看好房,395万,2室2厅 | 77.61平米 | 南 北 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eN0wOEwC7_1.jpg.296x216.jpg
20200208,浦东,高行,新高苑精装一房满五唯一大阳台南北通必看好房,235万,1室1厅 | 51.11平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5kHyVuCY5_1.jpg.296x216.jpg
20200208,浦东,高行,楼层  采光好   业主诚心出售必看好房,438万,2室2厅 | 89.74平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-167be597-b9ce-4beb-9a32-e43bd0c88c08.jpg.296x216.jpg
20200208,浦东,高行,处于小区中间位置，房子采光好，房子朝南必看好房,255万,1室1厅 | 54.19平米 | 东南 南 | 毛坯 | 高楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NQRPwYh2W_1.jpg.296x216.jpg
