20200208,浦东,合庆,五年唯一 、位置佳、楼层好、 看房方便、采光好、必看好房,235万,3室1厅 | 81.71平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9756b810-606a-4efd-a60f-24664126cb80.jpg.296x216.jpg
20200208,浦东,合庆,急！急！急！186万买两房，楼层好产权清晰，速联系我必看好房,186万,2室2厅 | 66.01平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/163dc9e6-6a66-40cc-8a43-f987004c8d13.png.296x216.jpg
20200208,浦东,合庆,七十平米的阁楼.11年建造，交通便利，近卡园，税费少,390万,3室2厅 | 127.51平米 | 南 | 毛坯 | 高楼层(共6层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-95b2ba42-e904-4161-8f75-ab3528e0b2d4.jpg.296x216.jpg
20200208,浦东,合庆,新出2房 装修3年带空调兼地暖 产权车位可另出售,410万,2室2厅 | 90.1平米 | 南 | 精装 | 中楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd7ebe14-e404-4bff-b05b-33964cbbfc92.jpg.296x216.jpg
20200208,浦东,合庆,新小区，商品房刚满两年，税少，看房方便,378万,2室2厅 | 84.21平米 | 南 | 精装 | 中楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rE2nzq3WD_1.jpg.296x216.jpg
20200208,浦东,合庆,唐镇2016年次新房，开发商一手精装修，满两年税费少,560万,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1ecc234e-7eb5-4e5b-97d8-4de0a74a9665.jpg.296x216.jpg
20200208,浦东,合庆,无笋盘，不推荐，全明户型，待君归,489万,3室2厅 | 106.5平米 | 南 北 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-90d1edda-3c9b-48b5-81cd-bc68cd277493.jpg.296x216.jpg
20200208,浦东,合庆,此房精装修，满两年，带产权车位出售,390万,2室2厅 | 86.96平米 | 南 | 精装 | 中楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3vy4blZKh_1.jpg.296x216.jpg
20200208,浦东,合庆,唐镇壹号开发商精装大三房，楼层好，位置好，看房方便,566万,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U4PxxV0Ql_1.jpg.296x216.jpg
20200208,浦东,合庆,商品房高区楼层，视野开阔采光充足，随时看房拎包入住,410万,2室2厅 | 89.18平米 | 南 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sTTIlaKhn_1.jpg.296x216.jpg
20200208,浦东,合庆,急售！急售！业主看好房子了诚心出售，房子已清空,149万,1室1厅 | 49.63平米 | 南 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fbe9ca35-13b3-490c-9bbf-b515fc987c82.jpg.296x216.jpg
20200208,浦东,合庆,业主诚意出售，大一房，刚需型好房子,215万,1室1厅 | 63.79平米 | 南 | 简装 | 低楼层(共16层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_99KnzLJmh_1.jpg.296x216.jpg
20200208,浦东,合庆,一手动迁，看房方便，楼层视野开阔，采光充足,220万,1室2厅 | 63.84平米 | 南 | 精装 | 中楼层(共16层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HMPMVL0Ry_1.jpg.296x216.jpg
20200208,浦东,合庆,高品质商品房，开发商精装修空调加地暖，业主自住,293万,1室1厅 | 65.19平米 | 南 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_US8SDjuW5_1.jpg.296x216.jpg
20200208,浦东,合庆,环庆新苑精装3房丨业主急售丨好楼层无遮挡采光好,250万,3室1厅 | 81.71平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pMjc3kiYV_1.jpg.296x216.jpg
20200208,浦东,合庆,唐镇壹号开发商一手精装，空调带地暖，看房方便,298万,1室2厅 | 69.1平米 | 南 | 精装 | 低楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-51bd136b-d2f1-47c4-bbdb-985d97ec664f.jpg.296x216.jpg
20200208,浦东,合庆,唐镇壹号品质住房，开发商精装修自带空调和地暖，,300万,1室2厅 | 70平米 | 南 北 | 精装 | 中楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PcC4JuJGw_1.jpg.296x216.jpg
20200208,浦东,合庆,两房带阁楼，位置好，高关注度好房，业主诚意急卖！,200万,2室2厅 | 66.01平米 | 南 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_deDCVDvsG_1.jpg.296x216.jpg
20200208,浦东,合庆,楼层好，采光好，业主很诚意出售的,220万,1室1厅 | 64.19平米 | 南 | 简装 | 高楼层(共16层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iA5J35p7T_1.jpg.296x216.jpg
20200208,浦东,合庆,15年小区，开发商精装交付，业主诚售,520万,3室2厅 | 113.16平米 | 南 | 精装 | 中楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xvs3kGbn4_1.jpg.296x216.jpg
20200208,浦东,合庆,前面无遮挡 满五唯一税费少  自主装修  业主诚意出售,250万,3室1厅 | 81.73平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c9a48a4a-0530-4c3d-80be-4839db0d3872.png.296x216.jpg
20200208,浦东,合庆,小户型，总价低，楼层好，南北通。,196万,2室1厅 | 65.42平米 | 南 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7YeAoCcZi_1.jpg.296x216.jpg
20200208,浦东,合庆,位置好，楼层好，看房方便，精装小两房,210万,2室2厅 | 66.01平米 | 南 北 | 其他 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ECiQrtStd_1.jpg.296x216.jpg
20200208,浦东,合庆,楼层中上，边套，开发商精装，小区后排安静，双飘窗,405万,2室1厅 | 90.1平米 | 南 北 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/prod-a3d501a3-312b-404b-b2e8-fa359e52729c.png.296x216.jpg
20200208,浦东,合庆,环庆新苑 2室1厅 228万,228万,2室1厅 | 66平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OAE0op4FV_1.jpg.296x216.jpg
20200208,浦东,合庆,纯毛坯，南北双阳台，经典户型，诚心出售，楼栋位置佳,390万,3室2厅 | 127.34平米 | 南 | 毛坯 | 中楼层(共6层) | 2011年建 | 板楼,
