20200208,浦东,金桥,百步双轨地铁 品质小区+景观楼层带阁楼+ 随时拎包入住必看好房,439万,3室2厅 | 77.84平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rLbvUsYgR_1.jpg.296x216.jpg
20200208,浦东,金桥,约8米宽的客厅+满2年+双车位+无遮挡采光全明+看房方便必看好房,1420万,4室2厅 | 181.15平米 | 南 | 精装 | 中楼层(共5层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ymHNv7AfH_1.jpg.296x216.jpg
20200208,浦东,金桥,双轨交汇 配套成熟 环境优美 边套带窗全明必看好房,286万,2室1厅 | 64.17平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5e5b0f4e-76d9-4cfd-8bb5-2fe0c3253576.jpg.296x216.jpg
20200208,浦东,金桥,03年房龄  满五唯一 业主看好新房 诚意出售必看好房,590万,3室1厅 | 101.1平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2fc4d8fa-4852-428f-b975-c5303555bea1.jpg.296x216.jpg
20200208,浦东,金桥,新降价房源，价格可谈，有钥匙，6/12巨峰路站。急售！必看好房,289万,2室1厅 | 67.97平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b23d39fe-a12c-4ec5-bf22-7944cd753a67.jpg.296x216.jpg
20200208,浦东,金桥,五莲路站 低总价一房 楼层佳 有钥匙看房随时必看好房,155万,1室1厅 | 47.11平米 | 南 | 简装 | 中楼层(共5层) | 1953年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5a96bae3-7d84-4147-80cb-78d625af9e16.jpg.296x216.jpg
20200208,浦东,金桥,社区好位置，中楼层上下方便，诚意业主必看好房,275万,2室1厅 | 65.56平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-976b4e90-d060-4bae-b34f-093c90ce45b5.jpg.296x216.jpg
20200208,浦东,金桥,俯瞰森兰，满二税少，间间景色各不同，大露台仰望星空必看好房,1900万,5室3厅 | 281.24平米 | 南 | 精装 | 高楼层(共17层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1ecf2307-c099-4bb6-95c5-864dff1a24bb.jpg.296x216.jpg
20200208,浦东,金桥,电梯大面积正三房+客餐厅宽敞+双阳台飘窗+关键是2卫必看好房,787万,3室2厅 | 123.33平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U7hxHigxz_1.jpg.296x216.jpg
20200208,浦东,金桥,9号线金桥站地铁！满五唯一！中间楼层随时可看！必看好房,285万,2室1厅 | 65.37平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8lnpiME2W_1.jpg.296x216.jpg
20200208,浦东,金桥,清水苑必看两房 中间楼层采光好  满五少税 看房有钥匙必看好房,393万,2室1厅 | 69.46平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EVcMV4jcI_1.jpg.296x216.jpg
20200208,浦东,金桥,兰城小区，一梯两户双南，带飘窗暖气，竹园在用五年级必看好房,358万,2室1厅 | 66.08平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-231d90a0-ca07-4839-b8fa-1b1312fa3aeb.png.296x216.jpg
20200208,浦东,金桥,网红楼盘 急售 地铁口 小区花园位置必看好房,225万,1室1厅 | 49.68平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9ac49641-f10c-4133-bdad-6b50588a8973.jpg.296x216.jpg
20200208,浦东,金桥,高弘家苑 3室1厅 650万必看好房,650万,3室1厅 | 120.26平米 | 南 | 简装 | 中楼层(共15层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ok7zLrZIW_1.jpg.296x216.jpg
20200208,浦东,金桥,婚房装修带地暖+品牌家具家电+满五唯一必看好房,628万,2室2厅 | 88.18平米 | 南 北 | 精装 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KIo9lGrlA_1.jpg.296x216.jpg
20200208,浦东,金桥,浦东一梯队，让你的孩子真正的赢在起跑线上，高区急售必看好房,930万,3室2厅 | 107.43平米 | 西南 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-50f81e72-712f-4a30-91f7-d7257560569e.jpg.296x216.jpg
20200208,浦东,金桥,业主诚心出售 近地铁 房型正气 通风好 采光佳必看好房,238万,1室1厅 | 53.28平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a7c0aa92-5543-42e2-b1a5-51087690c489.jpg.296x216.jpg
20200208,浦东,金桥,新年到！好房来！地铁近！税费低！刚需好选择！必看好房,270万,2室1厅 | 61.07平米 | 东 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zyCop8dBc_1.jpg.296x216.jpg
20200208,浦东,金桥,不靠路，中楼层，全明户型，近菜场，业主诚意卖必看好房,260万,2室1厅 | 61.04平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jw8M4XxYV_1.jpg.296x216.jpg
20200208,浦东,金桥,满五年唯一 中间楼层 位置好 业主诚意出售 价格可谈必看好房,205万,1室1厅 | 46.82平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-95a3df28-0a5b-4bab-9730-5d6026b5e74c.png.296x216.jpg
20200208,浦东,金桥,房东诚心出售 电梯两房 居家装修看房方便必看好房,350万,2室1厅 | 73平米 | 南 | 精装 | 高楼层(共24层) | 2002年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-025d4c23-d335-442d-898e-0a73e841660d.jpg.296x216.jpg
20200208,浦东,金桥,税费低 业主诚意出售 地铁12号线 健身楼层必看好房,502万,3室2厅 | 98.57平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/1ec01e0b-2ed5-48b2-b3f1-9b9dae66508b_1000.jpg.296x216.jpg
20200208,浦东,金桥,唯一商品房三房，竹园，近地铁，户型方正，必看好房,699万,3室2厅 | 118.7平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/a6a9947f-f1b1-4d5d-8add-20ae73182685_1000.jpg.296x216.jpg
20200208,浦东,金桥,证大家园电梯大三房+户型正气业主诚意出售必看好房,888万,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FoQGaXFD4_1.jpg.296x216.jpg
20200208,浦东,金桥,中冶急售大一房，前无遮挡，虽然低区，但是光照充足必看好房,483万,1室2厅 | 73.6平米 | 南 | 精装 | 低楼层(共10层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QaPJV8VsA_1.jpg.296x216.jpg
20200208,浦东,金桥,金地洋房带地暖 改动合理 带南北两大露台 唯一税少必看好房,788万,3室2厅 | 89.93平米 | 南 | 精装 | 中楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1HbgmMfN6_1.jpg.296x216.jpg
20200208,浦东,金桥,双南户型+中高楼层+阳光充足+满五唯一必看好房,539万,2室2厅 | 89.15平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_g2EZwa9m8_1.jpg.296x216.jpg
20200208,浦东,金桥,入住一年多，和交房一样新。总价低，改善刚需都适宜必看好房,858万,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共16层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZFHxPLbDC_1.jpg.296x216.jpg
20200208,浦东,金桥,电梯高区，南北户型，毛坯好改动，一手动迁免增值税必看好房,370万,2室2厅 | 82.24平米 | 南 北 | 毛坯 | 高楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y53bwR7qu_1.jpg.296x216.jpg
20200208,浦东,金桥,精装修自住＋楼层好＋位置好＋动迁必看好房,328万,2室1厅 | 67.6平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_31nlctVje_1.jpg.296x216.jpg
20200208,浦东,金桥,三卧室朝南，非顶楼，南北通透，采光好，配套全必看好房,445万,3室1厅 | 94.69平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_R3mRguRkd_1.jpg.296x216.jpg
20200208,浦东,金桥,高弘家苑 2室2厅 550万必看好房,550万,2室2厅 | 88.8平米 | 南 | 精装 | 中楼层(共15层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kKqMFBb33_1.jpg.296x216.jpg
20200208,浦东,金桥,金桥一街坊&一手动迁&全明户型&正气三房&景观位置必看好房,330万,3室1厅 | 78.65平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wbC36nPvr_2.jpg.296x216.jpg
20200208,浦东,金桥,店长推荐，必看好房，南北通，全明户型，精装自住必看好房,262万,1室1厅 | 49.41平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6fB2KizPj_1.jpg.296x216.jpg
20200208,浦东,金桥,精准修+位置好+满五唯一+通风好+采光棒！必看好房,418万,2室2厅 | 78.76平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/57a59385-d952-4b67-90f0-a19ac59f9f51_1000.jpg.296x216.jpg
20200208,浦东,金桥,婚房装修，南北两房，不靠路，寻找有缘的你必看好房,318万,2室1厅 | 69.35平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3d2a0e19-bc40-4cfe-a40f-5b07caf64042.jpg.296x216.jpg
