20200208,浦东,金杨,正气三房 业主置换 诚意出售  满五唯一 产权清晰必看好房,992万,3室2厅 | 121平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1JcDFPE74.jpg.296x216.jpg
20200208,浦东,金杨,满五唯一+致远+双南双阳台+3楼+三地铁（6+9+14）+边套必看好房,425万,2室1厅 | 70.51平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IRbeJGMBv.jpg.296x216.jpg
20200208,浦东,金杨,景观楼层，主卧朝南，户型好，采光通风好必看好房,275万,2室1厅 | 57.04平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A9nZIxgGp.jpg.296x216.jpg
20200208,浦东,金杨,香山新村东南街坊 2室1厅 295万必看好房,295万,2室1厅 | 59.7平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cd79189a-d705-4e66-8c0b-7e8b95a437b2.jpg.296x216.jpg
20200208,浦东,金杨,→你要的它都有→→→随时看房+中间位置中间楼层双南必看好房,380万,2室1厅 | 67.77平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bb76cda-a0b1-4761-8535-5643aac04811.jpg.296x216.jpg
20200208,浦东,金杨,大平层四房 三房朝南  带空中花园 位置安静 户型正气必看好房,1088万,4室2厅 | 145.14平米 | 南 | 简装 | 高楼层(共5层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-3e9656ee-e885-4171-be89-5a8d28dd531e.png.296x216.jpg
20200208,浦东,金杨,诚心出售+婚房装修+地铁（14+6）+全明靠河+看房方便必看好房,320万,2室1厅 | 66.18平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fdc4259c-4120-4b15-9bdb-fd248bedfc97.jpg.296x216.jpg
20200208,浦东,金杨,房子满五，总高六楼的三楼采光视野好诚意出售看房方便必看好房,570万,2室2厅 | 75.57平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b0bdb786-3989-46e4-80c9-80a27081bb2c.jpg.296x216.jpg
20200208,浦东,金杨,满五年唯一顶楼复式精装花园位置诚意出售看房联系小许必看好房,758万,4室2厅 | 128.1平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ISqf0564f.jpg.296x216.jpg
20200208,浦东,金杨,此房纯商品房，双南一北双阳台，非楼板房，一梯一户必看好房,593万,3室2厅 | 100.82平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AfBqINtZg_2.jpg.296x216.jpg
20200208,浦东,金杨,地铁9号线+地铁14号线+中内环电梯房+动迁+碧云公园必看好房,334万,2室1厅 | 72.08平米 | 南 北 | 简装 | 高楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_XJJ5Mrgsg_1.jpg.296x216.jpg
20200208,浦东,金杨,位置好，不靠路，小户型低总价，随时看房必看好房,288万,2室1厅 | 51.66平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_t5Z7v6SWy.jpg.296x216.jpg
20200208,浦东,金杨,6号线 德平路 满五 双南两房 居家装修 看房随时必看好房,299万,2室1厅 | 63.29平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a6dc303d-78c8-4ea2-a404-b1ceedfd5b04.png.296x216.jpg
20200208,浦东,金杨,金杨新村五街坊 1室1厅 213万必看好房,213万,1室1厅 | 48.89平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HaRphzOhU_1.jpg.296x216.jpg
20200208,浦东,金杨,安静 优美的位置，非顶楼，精装两年未住过！户型赞赞必看好房,255万,1室1厅 | 43.78平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TmxJGek4v_1.jpg.296x216.jpg
20200208,浦东,金杨,小区央座，双南两房，看房方便，全明户型必看好房,350万,3室2厅 | 72.98平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_onBDIe64W_1.jpg.296x216.jpg
20200208,浦东,金杨,新上-位置安静-双南户型-楼间距开阔-装修保养好必看好房,596万,2室1厅 | 66.87平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C6W3K34uK_1.jpg.296x216.jpg
20200208,浦东,金杨,{专属业主维护}，中间楼层，边套全明户型必看好房,325万,2室1厅 | 64.12平米 | 南 | 简装 | 6层 | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0381616c-742b-4610-b150-9d61717b37c5.jpg.296x216.jpg
20200208,浦东,金杨,电梯次顶层，看江景和陆家嘴，无增值税和个税，精装修必看好房,208万,1室1厅 | 44.48平米 | 西北 | 精装 | 高楼层(共28层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-97d1bc8e-4cd2-4dba-bf0d-7c165c799b7c.jpg.296x216.jpg
20200208,浦东,金杨,金杨四街坊+全明户型+楼层好+可直接上必看好房,405万,2室1厅 | 60.53平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wyEdU6Us7_1.jpg.296x216.jpg
20200208,浦东,金杨,中环9号线满五唯一，金杨十一街坊急售两房，紧贴碧云必看好房,290万,2室1厅 | 66.17平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_F2ZoeCmKw_1.jpg.296x216.jpg
20200208,浦东,金杨,金杨三街坊南北通透一房，近地铁，一梯两户不靠马路必看好房,220万,1室1厅 | 46.19平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9815f4b7-e4da-4594-9e91-7d821956f36a.jpg.296x216.jpg
20200208,浦东,金杨,精装修，看房随时，全明户型，不靠路，非顶楼必看好房,235万,1室1厅 | 43.38平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xxiuqdFtp_1.jpg.296x216.jpg
20200208,浦东,金杨,1楼带院子，一梯两户南北通透，近地铁6号线金桥路站必看好房,280万,2室1厅 | 54.72平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lsWufYh6c_1.jpg.296x216.jpg
20200208,浦东,金杨,大面积，单价低，三轨地带，南北透气，小区位置好必看好房,449万,3室1厅 | 88.52平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s7OqSLu6a.jpg.296x216.jpg
20200208,浦东,金杨,精装小三房，全明户型，一手动迁税费少，随时看房必看好房,313万,3室1厅 | 64.7平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AgKWOnAFy_1.jpg.296x216.jpg
