20200208,浦东,康桥,城中花园，三房毛坯出售，高楼层 ，看房有钥匙必看好房,513万,3室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2d3e5d8c-a8f7-436f-baba-7310542a57d1.jpg.296x216.jpg
20200208,浦东,康桥,无增值税；全南户型；精装修；有钥匙必看好房,309万,2室2厅 | 80.13平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-405d277a-9201-4575-9d40-dde8f40c6849.jpg.296x216.jpg
20200208,浦东,康桥,景观楼层，总价低，业主置换，诚意出售，随时看房必看好房,259万,2室2厅 | 79.63平米 | 南 | 毛坯 | 高楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d4891df8-cb49-4dbb-b847-6c503aae0c25.jpg.296x216.jpg
20200208,浦东,康桥,汤巷馨村(二期) 1室1厅 242万必看好房,242万,1室1厅 | 60.81平米 | 南 | 精装 | 中楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_El8BCHdFU_1.jpg.296x216.jpg
20200208,浦东,康桥,海尚康庭 双南两居室   格局方正  小区位置佳必看好房,262万,2室1厅 | 74.09平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bU7y1LZTb_1.jpg.296x216.jpg
20200208,浦东,康桥,总价低，业主诚心出售，一手动迁必看好房,255万,2室2厅 | 79.96平米 | 南 | 毛坯 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2yJzdYJN1_1.jpg.296x216.jpg
20200208,浦东,康桥,满五唯一，诚心出售，高素质人群居住必看好房,260万,2室2厅 | 80.88平米 | 南 北 | 简装 | 中楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WixLLK7AX_1.jpg.296x216.jpg
20200208,浦东,康桥,电梯两房带阁楼和露台 满五年唯一 南北通透户型方正必看好房,440万,2室2厅 | 89.66平米 | 南 北 | 简装 | 高楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CHIJvSYFo_1.jpg.296x216.jpg
20200208,浦东,康桥,满四年唯一，全明户型，格局方正，无抵押，诚心出售必看好房,275万,2室1厅 | 75平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sDvHIM2ED_1.jpg.296x216.jpg
20200208,浦东,康桥,精装修带地暖  秀溪小两房温馨有爱  诚心出售必看好房,365万,2室1厅 | 68.8平米 | 南 | 精装 | 高楼层(共15层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9735137a-e8d1-40f0-b5c0-432e5b764c26.png.296x216.jpg
20200208,浦东,康桥,精装修 拎包入住 看房随时 有钥匙必看好房,365万,2室2厅 | 84.25平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2NsHpQN3m_1.jpg.296x216.jpg
20200208,浦东,康桥,满五唯一 业主自住保养好 省税费必看好房,505万,3室2厅 | 142.29平米 | 南 | 精装 | 中楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KXfUbjYn3_1.jpg.296x216.jpg
20200208,浦东,康桥,纯商品房，精装修，南北通户型，随时看房，买进价格高必看好房,280万,2室2厅 | 77.62平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_muVFhNfX7_1.jpg.296x216.jpg
20200208,浦东,康桥,康桥宝邸精装两房中间楼层满五唯一无个税必看好房,285万,2室2厅 | 75.37平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PtpvQYuOF_1.jpg.296x216.jpg
20200208,浦东,康桥,带固定车位 电梯高区 花园位置 满五唯一必看好房,420万,2室2厅 | 92.49平米 | 南 北 | 精装 | 高楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wuGVbpdQP_1.jpg.296x216.jpg
20200208,浦东,康桥,小面积三房，南北通透房型好，近地铁万达必看好房,430万,3室2厅 | 97.22平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kUdfVu8e3_1.jpg.296x216.jpg
20200208,浦东,康桥,小区中间位置，非顶楼，采光好，视野好，房东好必看好房,259万,2室2厅 | 72.54平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_X0WS2wc6t_1.jpg.296x216.jpg
20200208,浦东,康桥,业主急售 18号沪南站 南北通顶楼复式 央位可观湖景必看好房,374万,3室2厅 | 78.09平米 | 南 北 | 精装 | 高楼层(共7层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_52SLMtZ7f_1.jpg.296x216.jpg
