20200208,浦东,联洋,9号线+进才+南北双阳台+统装交付+地暖+空调必看好房,1350万,3室2厅 | 136.32平米 | 南 | 精装 | 低楼层(共26层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_So4PujBjX_2.jpg.296x216.jpg
20200208,浦东,联洋,会所旁带地暖，满五唯一有车位，三南一北，高区景观必看好房,2150万,4室2厅 | 197.91平米 | 南 | 精装 | 中楼层(共28层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OOk0Ym1gg_1.jpg.296x216.jpg
20200208,浦东,联洋,出国急售，二手买进税少，三房朝南，位置安静，带车位必看好房,1380万,4室2厅 | 164.53平米 | 南 | 精装 | 中楼层(共26层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xxL4bVsg2_1.jpg.296x216.jpg
20200208,浦东,联洋,三期精装带地暖+一眼河景+产权清晰带车位必看好房,1560万,3室2厅 | 151.53平米 | 南 | 精装 | 低楼层(共30层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1Fp8wM6Zp_1.jpg.296x216.jpg
20200208,浦东,联洋,二次装修地暖   好位置  好楼层   无个税   新上必看好房,1420万,3室2厅 | 150.1平米 | 南 | 精装 | 中楼层(共30层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3hZsPoAId_1.jpg.296x216.jpg
20200208,浦东,联洋,小户型，总价低，地铁，满五年，诚意卖，位置好必看好房,730万,1室2厅 | 76.17平米 | 南 | 精装 | 中楼层(共21层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hX131Cbdr_1.jpg.296x216.jpg
20200208,浦东,联洋,10米面宽大三房，南北通格局好，位置安静，楼层佳必看好房,1380万,3室2厅 | 151.8平米 | 南 | 精装 | 13层 | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eQKjYpYy2_1.jpg.296x216.jpg
20200208,浦东,联洋,靠景观大道 位置安静 大阳台满五年唯一 采光好 通透必看好房,1668万,3室2厅 | 171.54平米 | 南 | 精装 | 高楼层(共26层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CpgbGzHQw_1.jpg.296x216.jpg
20200208,浦东,联洋,客厅朝南，环境安静，房东诚意出售，随时可看必看好房,1600万,3室2厅 | 161.26平米 | 南 | 精装 | 中楼层(共17层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q23QoRT9I_1.jpg.296x216.jpg
20200208,浦东,联洋,世纪公园全景观顶复，满五年唯一税费少，带车位必看好房,2020万,4室2厅 | 228.73平米 | 南 | 精装 | 高楼层(共9层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/97ba5f7a-1592-48b9-bf5a-4e694d8495a9.png.296x216.jpg
20200208,浦东,联洋,双南大两房，户型方正，光线好，很安静，税费少,1040万,2室2厅 | 111.72平米 | 南 | 精装 | 23层 | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08dc04a4-8e99-4347-845a-b8b0244a0895.jpg.296x216.jpg
