20200208,浦东,梅园,梅园豪 宅仁恒品质电梯小复式，福外+建平，位置安静必看好房,838万,3室1厅 | 93.17平米 | 东 南 北 | 精装 | 高楼层(共18层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/9185219d-432b-4004-a923-a42a9b4c5c17_1000.jpg.296x216.jpg
20200208,浦东,梅园,有钥匙 看房方便 业主诚意出售 陆家嘴商圈必看好房,514万,1室1厅 | 36.83平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0575c7dd-c7d3-4aff-bc36-c1d611791e1b.jpg.296x216.jpg
20200208,浦东,梅园,厅高3.3 建平西 价格可谈 电梯必看好房,820万,3室2厅 | 162.27平米 | 南 北 | 简装 | 低楼层(共24层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_XmEOqLmJG_1.jpg.296x216.jpg
20200208,浦东,梅园,双楠全明格局+满五唯一+位置安静楼层好+vip钥匙房！必看好房,585万,2室1厅 | 61.82平米 | 南 | 简装 | 高楼层(共5层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VTXPX6POs_1.jpg.296x216.jpg
20200208,浦东,梅园,建平西门口，随时看房有车位，南北通户型总价低必看好房,1545万,3室2厅 | 166.3平米 | 南 | 精装 | 低楼层(共35层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2pA96f3b7_1.jpg.296x216.jpg
20200208,浦东,梅园,高区通透大三房，西看陆家嘴三件套景观，满五唯一必看好房,1585万,3室2厅 | 168.1平米 | 南 | 精装 | 高楼层(共36层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36a1793d-d628-4656-a0eb-5bbdbabb8c91.jpg.296x216.jpg
20200208,浦东,梅园,三卧室朝南 随时可看 大三房 北滨江必看好房,1020万,3室2厅 | 171.1平米 | 南 | 简装 | 中楼层(共24层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_nQXWOkxXw_1.jpg.296x216.jpg
20200208,浦东,梅园,总价低、普通住宅无增值税、出行方便，业主诚意出售必看好房,252万,1室1厅 | 39.08平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-caccab65-7e83-4f7f-8d9c-0d8aef3a5c93.jpg.296x216.jpg
20200208,浦东,梅园,70年产权住宅、满五年婚房精装 高区视野 边套全明采光必看好房,588万,1室1厅 | 68.87平米 | 南 西 | 精装 | 中楼层(共29层) | 2006年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_VnP1uNv3E_1.jpg.296x216.jpg
20200208,浦东,梅园,双南居家装修，中间楼层精装修，拎包入住，价格可谈必看好房,535万,1室1厅 | 42.7平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AhqiuZSlu_1.jpg.296x216.jpg
20200208,浦东,梅园,满五唯一  一梯三户 南北两房 边套全明 随时看房必看好房,453万,2室1厅 | 46.02平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0LWwnyWUv_1.jpg.296x216.jpg
20200208,浦东,梅园,未来双轨交会，三地铁线，小区中间位置，诚意出售必看好房,328万,2室1厅 | 49.51平米 | 南 | 精装 | 中楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OcofSAkyt_1.jpg.296x216.jpg
20200208,浦东,梅园,梅园三街坊 正气三房采光足 产权清晰 房东诚意售必看好房,630万,3室1厅 | 64.94平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e02a190f-6b1a-4a8f-a690-6b121ff48ecd.jpg.296x216.jpg
20200208,浦东,梅园,满五唯一，楼层佳，一室一厅，产权清晰，边套全明户型必看好房,500万,1室1厅 | 37.72平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NE83l9Beh_1.jpg.296x216.jpg
20200208,浦东,梅园,梅五不靠路南北两居，急卖置换，看房提前预约必看好房,588万,2室1厅 | 51.5平米 | 南 北 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e42b0174-d035-4da4-9e97-f55ce2ee39ef_1000.jpg.296x216.jpg
20200208,浦东,梅园,南北两房，楼层视野好，业主诚意，看房方便必看好房,420万,2室1厅 | 52.95平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_u8MyIxDYB_1.jpg.296x216.jpg
20200208,浦东,梅园,内环内标准一室户 高区景观楼层 户型方正必看好房,530万,1室2厅 | 68.93平米 | 西北 | 简装 | 高楼层(共28层) | 2006年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_3iGjtlOQ7_1.jpg.296x216.jpg
20200208,浦东,梅园,梅园新村 低总价 中间安静位置 采光好  房东诚售必看好房,390万,1室0厅 | 27.49平米 | 南 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9Jw6a9EOX_1.jpg.296x216.jpg
20200208,浦东,梅园,此房满五年 老业主挂牌 居家装修   随时可签必看好房,490万,1室0厅 | 29.42平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/bc842968-ced6-4d79-9fa9-94304eb251a0_1000.jpg.296x216.jpg
20200208,浦东,梅园,小区中间位置，双南两房，采光通风好，看房方便必看好房,533万,2室1厅 | 46.08平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,https://image1.ljcdn.com/310000-inspection/665980db-ed3a-4592-b726-16e405d1ec0a_1000.jpg.296x216.jpg
20200208,浦东,梅园,全明户型，诚意出售，非顶楼，产权清晰必看好房,519万,1室1厅 | 38.93平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_w5XtLDzXQ_1.jpg.296x216.jpg
20200208,浦东,梅园,满五唯一 双南两房 户型方正 中间楼层 诚意出售必看好房,572万,2室1厅 | 49.46平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MdApuFdbB_1.jpg.296x216.jpg
20200208,浦东,梅园,满五唯一，不靠马路，东边套南北通，2个卧室朝南必看好房,515万,3室1厅 | 61.11平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-671beaf0-b1f3-4256-aeb7-8f7faa3b8a36.jpg.296x216.jpg
20200208,浦东,梅园,大面积双南两房加双天井加附一个天井，只等你来！必看好房,679万,2室1厅 | 70.16平米 | 南 | 简装 | 低楼层(共5层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9a9a8b91-69c0-4398-8e24-67041eeab617.jpg.296x216.jpg
20200208,浦东,梅园,未用 房子位置好 诚售总价低 地铁交通2469号线必看好房,505万,1室0厅 | 36.8平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_prl9xU0Du_2.jpg.296x216.jpg
20200208,浦东,梅园,浦东刚需，电梯房，守望陆家嘴，邻近世纪大道房主自荐,596万,2室1厅 | 72.26平米 | 南 | 精装 | 低楼层(共18层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Lhg0vZr0u.jpg.296x216.jpg
