20200208,浦东,泥城镇,精装两房带地下室带花园，品质生活从这里开始！必看好房,208万,2室2厅 | 166平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0bfb0489-3404-465a-b253-add5b9fd716b.jpg.296x216.jpg
20200208,浦东,泥城镇,商品小区，精致小户型，有地下室，有花园必看好房,145万,1室2厅 | 66.69平米 | 南 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ig1XoaAmy_1.jpg.296x216.jpg
20200208,浦东,泥城镇,成熟商圈，房东自住两房，诚意出售必看好房,152万,2室2厅 | 84.58平米 | 南 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_itGwvVIBF.jpg.296x216.jpg
20200208,浦东,泥城镇,此房动迁房多层，大两房精装修，业主诚意出售南北通。必看好房,161万,2室2厅 | 87.65平米 | 南 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mzjk9iYHk.jpg.296x216.jpg
20200208,浦东,泥城镇,临港宝龙旁边，非顶楼非底楼，诚心出售，看房方便必看好房,126万,1室1厅 | 62.36平米 | 南 | 毛坯 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gynur3Qzp_1.jpg.296x216.jpg
20200208,浦东,泥城镇,云帆佳苑 大两房 小区花园位置，诚心出售，随时可签必看好房,162万,2室1厅 | 87.65平米 | 南 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d531ec85-ec60-44f9-8ad9-c4262bbbd9d9.png.296x216.jpg
20200208,浦东,泥城镇,临港新片区，70年产权住宅，精装修，诚意出售，可谈必看好房,159万,2室2厅 | 83.1平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6vIi3AgxP_1.jpg.296x216.jpg
20200208,浦东,泥城镇,临港新片区，70年产权住宅，精装修，诚意出售，可谈必看好房,222万,2室2厅 | 86.54平米 | 南 | 精装 | 低楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WyRO3ikh1.jpg.296x216.jpg
20200208,浦东,泥城镇,临港新片区  蓝色城邦一室一厅  中装修必看好房,118万,1室1厅 | 53.34平米 | 南 | 简装 | 低楼层(共12层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Qy03FFpql.jpg.296x216.jpg
20200208,浦东,泥城镇,临港新片区 荷风景庭 电梯房 户型方正 诚意出售！,195万,3室2厅 | 104.6平米 | 南 | 毛坯 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-60aaa2c4-0e43-4152-9269-79d8f7ffddab.jpg.296x216.jpg
20200208,浦东,泥城镇,泥城精装修复式两房，采光好，楼层好。,215万,2室2厅 | 88.82平米 | 南 | 精装 | 低楼层(共11层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8QpdzUJ85.jpg.296x216.jpg
20200208,浦东,泥城镇,蓝色城邦好地段，小区四周配套齐全,177万,2室1厅 | 87.56平米 | 东南 | 毛坯 | 低楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_12yqfXN22_1.jpg.296x216.jpg
20200208,浦东,泥城镇,临港云帆佳苑 中间楼层 两房好户型 精装修看房随时,171万,2室2厅 | 83.5平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2xnOmVjWg.jpg.296x216.jpg
