20200208,浦东,三林,近三林印象城，11号地铁沿线，电梯房景观楼层，满五年必看好房,457万,2室2厅 | 83.37平米 | 南 | 简装 | 中楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JcCGNzCLn_1.jpg.296x216.jpg
20200208,浦东,三林,满五唯一，小区靠河位置，精装修，税费少。必看好房,450万,2室2厅 | 83.33平米 | 南 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4hgvJJbtr_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁，无增值税，南北格局，户型好，采光无遮挡。必看好房,489万,3室1厅 | 88.82平米 | 南 | 毛坯 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e6pbx2zWr_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁 税费少 带花园  地铁口 出行便利必看好房,345万,2室2厅 | 79.21平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Glh4PKipA_1.jpg.296x216.jpg
20200208,浦东,三林,电梯复式，适合三代同堂，有产权车位！必看好房,1050万,4室2厅 | 88.43平米 | 南 | 精装 | 5层 | 2009年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_9nFleXMAv.jpg.296x216.jpg
20200208,浦东,三林,满五唯一税费少+采光好，少有三房户型正气+全明户型必看好房,518万,3室2厅 | 107.04平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ul9GWTgY4_1.jpg.296x216.jpg
20200208,浦东,三林,正宗电梯复式，视野开阔，位置安静+大露台必看好房,838万,4室2厅 | 176.64平米 | 南 北 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2qfuVJxSl_1.jpg.296x216.jpg
20200208,浦东,三林,三林新村468毛坯大两房 楼层好 面积大 小区中间位置必看好房,422万,2室2厅 | 83.93平米 | 南 | 简装 | 高楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KkuGZMlyu_1.jpg.296x216.jpg
20200208,浦东,三林,电梯高楼复式，拎包入住景观房，精装空关可随时入住必看好房,646万,3室2厅 | 85.97平米 | 南 北 | 精装 | 高楼层(共11层) | 2013年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_4IAuI0H1C_1.jpg.296x216.jpg
20200208,浦东,三林,新房源，满五年，总价低，高楼层视野好，业主诚心卖必看好房,454万,3室2厅 | 88.83平米 | 南 北 | 毛坯 | 高楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ph2ceaDAN_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁，小区中，心位置，南北户型，有花园必看好房,320万,2室1厅 | 61.98平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XprFfMLBM_1.jpg.296x216.jpg
20200208,浦东,三林,南北大两房 一梯两户 位置安静 得房率高 优选必看好房,310万,2室1厅 | 69.89平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-68e277b8-d72d-4f1a-acf4-70c3da5dbfde.png.296x216.jpg
20200208,浦东,三林,三林新村  一梯两户 满五唯一税费少有钥匙 看房随时必看好房,360万,2室1厅 | 70.75平米 | 南 | 简装 | 中楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-74a1a946-d3f8-4622-9e4a-e680a1c37ff1.jpg.296x216.jpg
20200208,浦东,三林,电梯高层，花园景观，低总价，大面积+高得房率,必看好房,510万,2室2厅 | 102.78平米 | 南 | 精装 | 中楼层(共12层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ftoVJ5C52_1.jpg.296x216.jpg
20200208,浦东,三林,Z央空调地暖，经典A户型，附15平，满五唯一，南北通必看好房,513万,3室2厅 | 91平米 | 南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e5ea4715-1b32-4bc6-acfe-329cd6483e69.jpg.296x216.jpg
20200208,浦东,三林,印象城旁，电梯两房，交通便利，采光好，税费少！！必看好房,445万,2室1厅 | 89.04平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_gqlOFyFzs_1.jpg.296x216.jpg
20200208,浦东,三林,东边套三房，中层，采光无遮挡，满五唯一，税费低必看好房,660万,3室1厅 | 102.17平米 | 南 | 精装 | 低楼层(共13层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cdMHXsVwb_1.jpg.296x216.jpg
20200208,浦东,三林,此房满五唯一，小区花园位置中间楼层，南北小两房必看好房,345万,2室1厅 | 63.9平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ffOJefRRa_1.jpg.296x216.jpg
20200208,浦东,三林,一手动迁税费少，一梯两户得房率高，非顶层，户型好必看好房,268万,1室1厅 | 53.55平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0mGtMr8dF_1.jpg.296x216.jpg
20200208,浦东,三林,2012年次新房小区+一手动迁+车位配比1：0.9户型方正必看好房,450万,3室1厅 | 94.22平米 | 南 北 | 简装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qyL11t1JX_1.jpg.296x216.jpg
