20200208,浦东,世博,视野宽阔，采光充足，交通便利，配套齐全必看好房,363万,3室0厅 | 66.41平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-291e8560-2904-41af-a71e-0cb192ddf755.jpg.296x216.jpg
20200208,浦东,世博,6号线7号线高科西路站，满五年不唯一南北通，采光好！必看好房,288万,2室1厅 | 52.69平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_lfFjLkk74_1.jpg.296x216.jpg
20200208,浦东,世博,昌七小区6/13号双轨400米距离3楼一梯两户精装修必看好房,369万,2室1厅 | 67.69平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uGWQb2zbr_1.jpg.296x216.jpg
20200208,浦东,世博,南北通两房，世博源，商品房社区，后滩商务区必看好房,565万,2室2厅 | 97.03平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3486e99d-1245-40b3-8323-712229db5eda.jpg.296x216.jpg
20200208,浦东,世博,新上优质好房 精装修 地段好 小区单价便宜的一房必看好房,220万,1室1厅 | 40.64平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jSnfOsjcC_1.jpg.296x216.jpg
20200208,浦东,世博,二手买进，精装修可以直接入住。房子上面有阁楼必看好房,215万,1室1厅 | 37.65平米 | 南 | 精装 | 高楼层(共5层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/da3243f5-76ab-46d6-affb-c822beec4bae_1000.jpg.296x216.jpg
20200208,浦东,世博,一手动迁满五唯一距离地铁6/13号线260米户型南北通必看好房,365万,2室1厅 | 62.59平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kMoN77J8p_1.jpg.296x216.jpg
20200208,浦东,世博,精装两房 配套齐全 房东诚心出售 看房方便必看好房,580万,2室1厅 | 88.9平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BhtN3Ofh5_1.jpg.296x216.jpg
20200208,浦东,世博,精装修的南北两房，看房方便，满五唯一必看好房,280万,2室1厅 | 56.18平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/21360883-1115-4781-bec4-9d3aa4ac5db8_1000.jpg.296x216.jpg
20200208,浦东,世博,全明边套小户型，楼栋位置好，采光佳，通风好必看好房,198万,1室1厅 | 40.56平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4fd3cd20-066e-473f-ad88-a19e3ae667dc.jpg.296x216.jpg
20200208,浦东,世博,惊！！！超广视野，地铁13+7号线，一路之隔，后滩板块必看好房,250万,2室1厅 | 52.6平米 | 南 北 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff6f2f56-a997-4035-b7e0-cf8a7edb7abb.png.296x216.jpg
