20200208,浦东,书院镇,品质装修，家具家电全不带走，买来直接入住必看好房,192万,3室2厅 | 103.83平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UQuoi6ehU.jpg.296x216.jpg
20200208,浦东,书院镇,大四房，南北户型，业主诚心卖，一楼抬高，视野好必看好房,253万,4室2厅 | 163.88平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aGnkqGUSU_1.jpg.296x216.jpg
20200208,浦东,书院镇,70年产权、中间楼层、房龄新、环境好，临河采光好必看好房,110万,1室1厅 | 52.14平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eec8c97f-b935-454c-8ab7-d22e75bb4b3b.jpg.296x216.jpg
20200208,浦东,书院镇,临港新城，电梯一房，南北户型，附带装修诚心出售！必看好房,136万,1室1厅 | 71.18平米 | 南 | 精装 | 中楼层(共13层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yBqcbfDpJ_1.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区 精装大2房，户型正气税费少，交通便利！必看好房,155万,2室1厅 | 80.18平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FOVa5nNVO.jpg.296x216.jpg
20200208,浦东,书院镇,新舒苑，中间楼层三房，南北户型，靠16号交通方便！必看好房,189万,3室2厅 | 103.57平米 | 南 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ifMEJJZVu_1.jpg.296x216.jpg
20200208,浦东,书院镇,精装修，中间楼层，业主诚心出售必看好房,157万,2室1厅 | 80.01平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LvZdEQHKQ_1.jpg.296x216.jpg
20200208,浦东,书院镇,书院小两房，简单装修，中间楼层，刚需好选择必看好房,133万,2室1厅 | 65.72平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_b45lnDqMs_1.jpg.296x216.jpg
20200208,浦东,书院镇,2009年的小区，楼层好，看房有钥匙，诚心出售！,215万,4室2厅 | 124.25平米 | 南 | 毛坯 | 中楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b1523bb5-4adf-41e0-902f-69632bed2f17.png.296x216.jpg
20200208,浦东,书院镇,浦东书院镇 2011次新小区，户型方正，总价低房主自荐,152万,2室2厅 | 82平米 | 南 | 毛坯 | 低楼层(共12层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8c75cb1a-9c66-4aa3-a088-a731ed7833fc.jpg.296x216.jpg
20200208,浦东,书院镇,临港新片区 新舒苑 钥匙房 精装大三房 满五,215万,3室2厅 | 124.13平米 | 南 北 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b9210bb6-4543-4ddf-9a37-8ffbd438daf2.png.296x216.jpg
