20200208,浦东,唐镇,户型正气 格局好 通透性佳 居住舒适必看好房,335万,2室2厅 | 87.15平米 | 南 | 简装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d9a6c138-b945-4e4e-9b4f-b2674710bd6a.jpg.296x216.jpg
20200208,浦东,唐镇,业主自住精装大平层，3+1房，满两年带车位必看好房,1350万,4室2厅 | 188.8平米 | 南 | 精装 | 中楼层(共4层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8fd8b505-f9d4-4521-959b-5000b4deb1c0.jpg.296x216.jpg
20200208,浦东,唐镇,满五唯一 税少 精装带阁楼 视野好 无遮挡必看好房,440万,3室2厅 | 122.01平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VOsR31IKy_1.jpg.296x216.jpg
20200208,浦东,唐镇,高楼层 看房随时 南北通 大飘窗 近菜场 交通便 好房必看好房,480万,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ce4a196c-c45e-4004-bfda-7130d0b7cdde.jpg.296x216.jpg
20200208,浦东,唐镇,金利公寓 环境优美 位置安静 精装大三房必看好房,415万,3室2厅 | 119.2平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a89e5fa4-58ed-4e37-b79d-172540dc281f.jpg.296x216.jpg
20200208,浦东,唐镇,高楼层 视野开阔 采光充足 公园景观一览无余 精装修必看好房,500万,2室2厅 | 93.34平米 | 南 北 | 精装 | 8层 | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8011c626-8d97-4bfd-8824-5f51d0a3c51f.jpg.296x216.jpg
20200208,浦东,唐镇,唐镇金唐，毛坯1房，中间楼层，金爵置业，诚意出售！必看好房,254万,1室1厅 | 60.59平米 | 南 | 毛坯 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_U0E59C738_1.jpg.296x216.jpg
20200208,浦东,唐镇,一手动迁 税费少  楼层好  位置佳 看房随时必看好房,215万,1室1厅 | 54.52平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_prC4hjDiO_1.jpg.296x216.jpg
20200208,浦东,唐镇,精装两房带阁楼带露台，视野开阔，拎包入住产权清晰必看好房,350万,2室2厅 | 96.83平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yfTZbh6JB_1.jpg.296x216.jpg
20200208,浦东,唐镇,此房满五年，税少，精装修，户型格局好必看好房,185万,2室1厅 | 59.11平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o3RUYrKdW_1.jpg.296x216.jpg
