20200208,浦东,外高桥,临自贸区 地铁站 景观楼层 瞭望东方明珠 看房随时必看好房,500万,3室2厅 | 126.25平米 | 东南 | 其他 | 高楼层(共19层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_wf8IZAnVr_1.jpg.296x216.jpg
20200208,浦东,外高桥,临自贸区 地铁站 双南户型 随时看房必看好房,405万,2室2厅 | 88.98平米 | 南 | 简装 | 低楼层(共15层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KuJISGgG2_1.jpg.296x216.jpg
20200208,浦东,外高桥,潼港八村 2室1厅 245万必看好房,245万,2室1厅 | 67.65平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CPlrWkDlv_1.jpg.296x216.jpg
20200208,浦东,外高桥,景观楼层，南北户型，精装修中间花园位置，看房方便。必看好房,377万,2室2厅 | 86.95平米 | 南 | 简装 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d1rT7yYGu_1.jpg.296x216.jpg
20200208,浦东,外高桥,和祥佳园 1室1厅 230万必看好房,230万,1室1厅 | 58.38平米 | 南 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BSvlf5JA3_1.jpg.296x216.jpg
20200208,浦东,外高桥,景观视野，非顶楼+低总价，诚意出售必看好房,158万,2室1厅 | 48.02平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_z0Hc34biE_1.jpg.296x216.jpg
20200208,浦东,外高桥,装修清新，拎包即住。光线充足！诚意出售，价格可谈！必看好房,228万,2室1厅 | 60.17平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zAlnJO5IR_1.jpg.296x216.jpg
20200208,浦东,外高桥,风信景苑 三复四带五 满五唯一 房东诚意出售房主自荐,900万,5室2厅 | 231.98平米 | 南 | 毛坯 | 低楼层(共3层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-abb60068-4634-4080-b51f-ac9818c9d242.jpg.296x216.jpg
20200208,浦东,外高桥,博捷名苑婚房精装修，南北户型2室,480万,2室1厅 | 96.67平米 | 南 | 精装 | 中楼层(共5层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-43492e21-9ec4-4438-9540-069d13a553e7.png.296x216.jpg
20200208,浦东,外高桥,地铁好房，古色古香，房东诚心出售，随时带您看房房主自荐,550万,3室2厅 | 141.49平米 | 西南 | 精装 | 中楼层(共19层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_FBbyn4ztz_1.jpg.296x216.jpg
20200208,浦东,外高桥,中外环之间2013年双南大一房，地铁近在咫尺房主自荐,218万,1室1厅 | 53.5平米 | 南 | 毛坯 | 高楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f1e346f6-d0c4-4131-abea-1eab391c9156.jpg.296x216.jpg
20200208,浦东,外高桥,一手动迁，电梯中间楼层，诚意出售。双轨交汇，诚心卖,344万,2室2厅 | 83.98平米 | 南 | 毛坯 | 中楼层(共10层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uCy92m9Oc_1.jpg.296x216.jpg
20200208,浦东,外高桥,潼港八村好房推荐，62.95平双南户型带装修，价格好谈,230万,2室1厅 | 62.95平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f5bff723-6404-4efc-83cf-1cdded2dc46d.jpg.296x216.jpg
20200208,浦东,外高桥,风信景苑 复式房 五层带电梯 楼层好 房东诚意出售,750万,3室3厅 | 161平米 | 东南 南 | 毛坯 | 中楼层(共5层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e46a2239-cb2b-4c62-94f0-a4ec40e20727.jpg.296x216.jpg
20200208,浦东,外高桥,原始三房  总价低 业主诚意出售   看房方便房主自荐,393万,3室1厅 | 107.39平米 | 南 北 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e897123e-e7a5-4e5d-8959-5b0750568d1a.jpg.296x216.jpg
20200208,浦东,外高桥,和龙新苑 南北正气2房  06年次新房 满五年,345万,2室2厅 | 84.22平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f4b284e1-c8b3-4d2a-9511-101df55a5701.jpg.296x216.jpg
20200208,浦东,外高桥,2000年商品房，顶楼复式带装修，附大露台~！！,610万,6室2厅 | 204.81平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cEksDnwuV_1.jpg.296x216.jpg
20200208,浦东,外高桥,南新东园 次新电梯房 房龄新 小区环境好,224万,1室1厅 | 53.58平米 | 南 | 简装 | 中楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_acW358PfI.jpg.296x216.jpg
20200208,浦东,外高桥,错过的，这次再来机会少有正南正北低总价三房两厅两卫,440万,3室2厅 | 107.53平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-161704e6-f193-46dd-9b20-943909132be7.png.296x216.jpg
20200208,浦东,外高桥,09年自住舒服，精装地暖，固定车位，满五唯一采光楼层房主自荐,299万,2室1厅 | 74.67平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xxeNe4wvW_1.jpg.296x216.jpg
