20200208,浦东,万祥镇,临港新片区，精装大三房，拎包入住必看好房,183万,3室2厅 | 120.58平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tKdFMAhIj.jpg.296x216.jpg
20200208,浦东,万祥镇,临港新片区，精装两房，品质小区带车位，物业管理好必看好房,168万,2室2厅 | 84平米 | 南 北 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fPD8rzMpn_1.jpg.296x216.jpg
20200208,浦东,万祥镇,楼层佳、毛坯房、南北通透户型正，楼龄新必看好房,156万,2室1厅 | 84.87平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H86ZzpZV0_1.jpg.296x216.jpg
20200208,浦东,万祥镇,清水毛坯六楼带阁楼，临港万祥大三房，小区位置好,200万,3室2厅 | 120.58平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_toZKVdr18_1.jpg.296x216.jpg
20200208,浦东,万祥镇,临港新城万祥社区，电梯三房，品质好，户型正,202万,3室2厅 | 126.58平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XGkq45PI4_1.jpg.296x216.jpg
20200208,浦东,万祥镇,临港自贸区，大三房，清水毛坯，楼层好，采光上佳,214万,3室2厅 | 104平米 | 南 | 毛坯 | 高楼层(共12层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gZyx50SrE_1.jpg.296x216.jpg
20200208,浦东,万祥镇,临港次新房，小区品质高，清水三房，想象空间十足。,235万,3室2厅 | 110.77平米 | 南 | 毛坯 | 中楼层(共12层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HpIaUk0Xy_1.jpg.296x216.jpg
20200208,浦东,万祥镇,一手买进没住过，享受买新房的感觉。。。,195万,2室2厅 | 86.83平米 | 南 | 精装 | 低楼层(共12层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WgrqkuZLG_1.jpg.296x216.jpg
20200208,浦东,万祥镇,满五税费少，采光充足、清水毛坯、看房提前预约就可,210万,3室2厅 | 119.31平米 | 南 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-278527fd-7045-4a6e-be3b-588e60355bbe.jpg.296x216.jpg
20200208,浦东,万祥镇,两房毛坯，电梯房高楼层，视野好，采光好,162万,2室2厅 | 75.89平米 | 南 | 毛坯 | 高楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_STPVKXne0_1.jpg.296x216.jpg
