20200208,浦东,新场,单价低，景观层，业主诚意卖，看房随时，满5唯一必看好房,265万,2室2厅 | 108.38平米 | 南 | 毛坯 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MF6oQSf9s.jpg.296x216.jpg
20200208,浦东,新场,精装修，满五唯一，中高楼层，视野佳必看好房,285万,3室2厅 | 89.97平米 | 南 北 | 精装 | 中楼层(共16层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_M5XggMIHP_1.jpg.296x216.jpg
20200208,浦东,新场,二期双南精装商品房，视野好，安静无遮挡，业主诚心卖必看好房,278万,2室2厅 | 88.74平米 | 南 | 精装 | 中楼层(共21层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yQZTjCJkS.jpg.296x216.jpg
20200208,浦东,新场,汇锦城一房+婚房装修+中高层采光视野好+会所免费使用必看好房,193万,1室1厅 | 52.48平米 | 南 | 精装 | 中楼层(共17层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZdHqVajwY_1.jpg.296x216.jpg
20200208,浦东,新场,一手动迁南北通毛坯房，高楼层采光无遮挡必看好房,275万,2室2厅 | 88.24平米 | 南 北 | 毛坯 | 高楼层(共21层) | 2015年建 | 板楼,
20200208,浦东,新场,汇锦城二期+看房随时+户型好+房东诚心,258万,3室1厅 | 90.95平米 | 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a87f8206-880b-4732-ae75-bfd9064e6f45.png.296x216.jpg
20200208,浦东,新场,万科品质，南北通三房，视野开阔无遮挡，满五年唯一,310万,3室1厅 | 94平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-121e39d8-989f-4bde-a4c2-42539cb83c08.png.296x216.jpg
20200208,浦东,新场,（顶楼带阁楼）（精装修）（诚意出售）（南北通）,290万,3室2厅 | 106.38平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-bfbd80a1-bba7-4238-b0f4-7872b6136ed5.png.296x216.jpg
20200208,浦东,新场,复式房边套， 毛坯房，满五年，采光充足，看房有钥匙,500万,4室2厅 | 177.35平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-43dd8fb6-6f61-4c28-838a-42c812ea41f4.png.296x216.jpg
20200208,浦东,新场,1梯1户高档小区，南北通户型，带空调带地暖。有钥匙！,337万,2室2厅 | 99.67平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-cb33b3f2-66bc-479a-864d-524cd4645a48.png.296x216.jpg
20200208,浦东,新场,丝庐雅苑 双南两房中上楼层采光通风好 看中价格可议,270万,2室2厅 | 88.77平米 | 南 | 毛坯 | 中楼层(共20层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5e42d5e1-9aca-4ada-a8e1-5b223e14b9a1.png.296x216.jpg
20200208,浦东,新场,靠河位置，视野好，户型很好 诚意出售 看房方便房主自荐,510万,5室3厅 | 203.59平米 | 南 | 毛坯 | 高楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ca679d85-0493-4f59-9b5a-71e601be3a9c.jpg.296x216.jpg
20200208,浦东,新场,东方冠郡 2室2厅 268万,268万,2室2厅 | 93平米 | 南 | 简装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-016524ec-787d-49a6-86e6-9c00faf03de5.jpg.296x216.jpg
20200208,浦东,新场,飞机户型+满2年+产权清晰+中间位置,275万,2室2厅 | 99.5平米 | 南 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3c37abf4-8b71-4858-85c0-4cd71b6300a7.jpg.296x216.jpg
20200208,浦东,新场,汇锦城三期 精装两房 中间楼层，中间位置，诚心出售,260万,3室2厅 | 80平米 | 南 | 精装 | 中楼层(共6层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-21300ab4-7514-4552-9822-44ab78bc2c03.jpg.296x216.jpg
20200208,浦东,新场,精装修30万大四房，14年新小区，环境很好  可看房/,400万,4室2厅 | 138.66平米 | 南 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P2Arzk4Ss_1.jpg.296x216.jpg
