20200208,浦东,宣桥,一首动迁税费少，业主诚意价格可谈户型正气采光通透必看好房,182万,2室2厅 | 94.16平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rpyJ8wo5t_1.jpg.296x216.jpg
20200208,浦东,宣桥,欣春苑毛坯两房，一手动迁，户型正气，看房方便有钥匙必看好房,190万,2室1厅 | 89.07平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RN6K8U2Ly_1.jpg.296x216.jpg
20200208,浦东,宣桥,店长推荐 温馨三房 附带阁楼 业主诚心售 价格好谈,240万,3室2厅 | 120.64平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1677fdf4-299d-4d83-8ed2-b4ba5e6030b1.jpg.296x216.jpg
20200208,浦东,宣桥,一手动迁，满五年唯一，没有增值税个税，业主诚心卖。,238万,3室2厅 | 117.1平米 | 南 北 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DBBgS9wA7_1.jpg.296x216.jpg
20200208,浦东,宣桥,欣松苑两房，简单装修满五年，房东诚意卖，看房方便,185万,2室2厅 | 93.97平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-81ad6ff0-77da-45eb-865d-8e80edee51ab.jpg.296x216.jpg
20200208,浦东,宣桥,精装修 拎包入住 使用面积大 6楼有阁楼，满五税费少,232万,3室2厅 | 116.9平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CY53YUmsp_1.jpg.296x216.jpg
20200208,浦东,宣桥,此房满两年税费少，清水毛坯顶楼带阁楼，看房有钥匙房主自荐,190万,2室2厅 | 93.4平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4dd02b14-1359-4e0b-8084-c2426b3ee1ee.jpg.296x216.jpg
20200208,浦东,宣桥,精装房，阁楼装修，业主置换程序出售 看房随时房主自荐,225万,3室2厅 | 105.3平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kpVSexyxf_1.jpg.296x216.jpg
20200208,浦东,宣桥,大三房，中间楼层，南北通，价格可谈，诚心出售,240万,3室2厅 | 121.39平米 | 南 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4o0OmxRli_1.jpg.296x216.jpg
20200208,浦东,宣桥,大两房，南北正通全明户型，纯毛坯，满3年，诚售！,182万,2室2厅 | 92.37平米 | 南 | 毛坯 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WZMoO3bSB_1.jpg.296x216.jpg
20200208,浦东,宣桥,婚房潮流装修 户型很好  有钥匙,239万,3室2厅 | 121.98平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2109bc3e-f56b-4a08-bee6-042e458e326c.jpg.296x216.jpg
