20200208,浦东,洋泾,税费少，带一楼储藏室12平有窗，一梯两户，位置安静必看好房,860万,3室1厅 | 109.96平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-197bac6b-483c-404e-9aba-6199da8be45f.png.296x216.jpg
20200208,浦东,洋泾,崮山南北大两房，装修很好，拎包入住，非顶楼视野好必看好房,550万,2室1厅 | 61.37平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zn7Er0WQZ_1.jpg.296x216.jpg
20200208,浦东,洋泾,【店长推荐】好房 电梯房 满五税少 带装修 处理资产必看好房,426万,2室1厅 | 64.17平米 | 东南 南 | 精装 | 中楼层(共25层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_pufBaBU7V_1.jpg.296x216.jpg
20200208,浦东,洋泾,品质小区，满五唯一，附带南花园一个，近地铁6/9号线必看好房,1400万,3室2厅 | 143.58平米 | 南 北 | 精装 | 低楼层(共7层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nd1RRhe81_1.jpg.296x216.jpg
20200208,浦东,洋泾,新！三房中间楼层不靠马路，看房方便，诚意出售必看好房,715万,3室2厅 | 86.38平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PgRvR7rQp_1.jpg.296x216.jpg
20200208,浦东,洋泾,内环内 正规电梯复式大三房 中间楼层 带四个阳台必看好房,950万,3室2厅 | 155.67平米 | 南 | 精装 | 中楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7rPPKo7pX_1.jpg.296x216.jpg
20200208,浦东,洋泾,内环内满五年唯一婚房装修正气一室一厅必看好房,198万,1室1厅 | 37.12平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-840f281c-a161-4da9-8bcc-62f96364df71.jpg.296x216.jpg
20200208,浦东,洋泾,洋泾板块品质小区 满五唯一 维护人 有钥匙方便看房必看好房,860万,2室2厅 | 105.48平米 | 南 北 | 精装 | 中楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uuJVDSIlZ_1.jpg.296x216.jpg
20200208,浦东,洋泾,动迁唯壹 没有孩子读书 一室价格买两室 诚心出售必看好房,480万,2室1厅 | 51.69平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-474d8e23-4fd0-4e0a-9331-744cfe828fa6.png.296x216.jpg
20200208,浦东,洋泾,内环内商品房大三房 视野好采光佳户型正必看好房,610万,3室2厅 | 96.95平米 | 南 北 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ada673aa-add3-4d57-bd42-f9e8c97be708.jpg.296x216.jpg
