20200208,浦东,杨思前滩,杨思前滩+南北通户型+满五唯一税费少+楼层好采光好必看好房,360万,2室2厅 | 67.15平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KvCNLSgDP_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩+CBD+三轨交汇+满五唯一+中间楼层+随时看房必看好房,610万,3室2厅 | 98.2平米 | 南 | 精装 | 中楼层(共5层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZHGMyx0TP_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩+CBD+三轨交汇+满五唯一+诚意出售必看好房,702万,3室2厅 | 108.22平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5LHTPWTfl_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩+南杨小区+8号线杨思+楼层佳+采光通风好必看好房,204万,1室1厅 | 41.89平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Lyoj48NMe_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩+近地铁+中环边+南北大两房+中间楼层+诚意卖必看好房,588万,2室2厅 | 96.13平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f27d5119-fca6-4759-ac2b-9052b19dbaeb.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩+门店主推房+满五唯一+小区中间位置必看好房,287万,1室1厅 | 61.09平米 | 南 | 毛坯 | 中楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4DWDuw6vF_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩＋中间楼层＋地铁口＋花园位置＋有钥匙必看好房,280万,2室1厅 | 55平米 | 南 | 其他 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bZo2liSnQ_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩 +8号线杨思+一梯两户+位置好+非顶楼+钥匙房必看好房,200万,1室1厅 | 39.93平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wqubrLNQB_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩＋2房朝南＋厅南北通＋不沿街＋楼层好＋靠河必看好房,642万,3室2厅 | 83.19平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aa7FHhhWK_1.jpg.296x216.jpg
20200208,浦东,杨思前滩,杨思前滩+精装两室+花园+位置好必看好房,557万,2室2厅 | 84.71平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BKyfT6yeI_1.jpg.296x216.jpg
