20200208,浦东,源深,高区3+1户型，小高层得房率高，客厅大面宽必看好房,1750万,3室2厅 | 161.2平米 | 南 | 精装 | 高楼层(共9层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4r8u467Gl_1.jpg.296x216.jpg
20200208,浦东,源深,房、好房！南、全南！位置、好位置！必看好房,760万,2室1厅 | 78.28平米 | 南 | 精装 | 低楼层(共9层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f566d981-7800-4ff6-8433-550d30df2fe0.jpg.296x216.jpg
20200208,浦东,源深,竹园新村精装一房，户型好通风采光号位置好，诚意出售必看好房,330万,1室1厅 | 39.88平米 | 南 | 精装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yVjJzaXLz_1.jpg.296x216.jpg
20200208,浦东,源深,竹园正规两房 满五唯一 业主诚售必看好房,424万,2室1厅 | 53.98平米 | 南 北 | 简装 | 中楼层(共7层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GhGAUFi4v_1.jpg.296x216.jpg
20200208,浦东,源深,房子是双南房，户型方正，电梯高层，采光无遮挡！必看好房,465万,2室1厅 | 64.56平米 | 南 | 精装 | 低楼层(共22层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_tolzx6VYq_1.jpg.296x216.jpg
20200208,浦东,源深,￥小三房看湖景，视野采光真不错必看好房,1150万,3室2厅 | 103.24平米 | 南 | 简装 | 低楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/ae18314b-cb1b-47d3-bb49-05edb640cdb6.png.296x216.jpg
20200208,浦东,源深,南北通小 三房，全明户型，有钥匙看房随时,1350万,3室2厅 | 133.83平米 | 南 | 精装 | 低楼层(共26层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PDT3fK18O_1.jpg.296x216.jpg
20200208,浦东,源深,新装拎包即住，满五唯一税费少，主楼位置采光好房主自荐,1720万,4室2厅 | 191.87平米 | 南 | 精装 | 高楼层(共27层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZsVoAWSym_1.jpg.296x216.jpg
20200208,浦东,源深,大4房，南北格局，采光楼层，景观位置，只在链家卖！房主自荐,1745万,4室2厅 | 154.93平米 | 南 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wxFO3JiIY_1.jpg.296x216.jpg
20200208,浦东,源深,正四房。三南看湖戏天鹅，一北观嘴赏繁华。景！咱都有,1950万,4室2厅 | 178.03平米 | 南 | 精装 | 高楼层(共24层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7f6f02b-508a-4e2b-8606-ff2cff4024d2.jpg.296x216.jpg
20200208,浦东,源深,高区景观大四房，有车位。位置安静保养好，随时看房,1930万,4室2厅 | 174.05平米 | 南 | 精装 | 高楼层(共32层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4718695f-718e-483a-9f74-4cc0d40310b2.jpg.296x216.jpg
20200208,浦东,源深,飞机户型+没有过道+业主诚意出售+抢手房源,1199万,3室2厅 | 137.8平米 | 南 | 精装 | 中楼层(共17层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-38f72ec8-7ae6-4837-b048-8a6b031b077a.jpg.296x216.jpg
20200208,浦东,源深,100米视野无遮挡+看喷泉、水景+一梯一户尽享私密空间,1683万,3室2厅 | 148.68平米 | 南 | 精装 | 高楼层(共18层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-490e7ceb-92b3-406f-92bd-9fa3c54f595e.jpg.296x216.jpg
20200208,浦东,源深,高区景观房 可俯瞰上海科技馆 满五年唯一房主自荐,1180万,2室2厅 | 109.58平米 | 南 | 精装 | 高楼层(共29层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-25a6fca5-def5-4f35-aedf-799dc26ee46b.jpg.296x216.jpg
20200208,浦东,源深,景观四房一览小区湖景，精致户型楼层好诚意卖！,1870万,4室2厅 | 174.02平米 | 南 | 精装 | 低楼层(共32层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Jop7i3Ec9_1.jpg.296x216.jpg
20200208,浦东,源深,地铁口600米，飞机户型满五唯一，看房方便。,1500万,3室2厅 | 135.71平米 | 南 北 | 精装 | 中楼层(共25层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tv3YU0oEp_3.jpg.296x216.jpg
20200208,浦东,源深,地铁口500米，福利分房无增值及附加税，户型正气,870万,2室2厅 | 107.33平米 | 南 | 简装 | 中楼层(共24层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_mDqUeNIXs_1.jpg.296x216.jpg
20200208,浦东,源深,小区中间，位置安静，业主诚心卖，看房方便，价格好谈,388万,2室1厅 | 53.16平米 | 南 | 毛坯 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-db5d5177-00d3-4ff9-88f8-cf3021757c3d.png.296x216.jpg
20200208,浦东,源深,源深标杆+120户享4000平会所+精装4房,2420万,4室2厅 | 292.85平米 | 南 | 精装 | 高楼层(共19层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8b85873c-e34d-4741-b9b9-3480c9d0b081.png.296x216.jpg
20200208,浦东,源深,中区大三房，户型好视野佳！小区环境优美，值得一看,880万,3室1厅 | 113.75平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_EKTG55f93_1.jpg.296x216.jpg
20200208,浦东,源深,陆一两房，两房朝南厅朝南，景观楼层，诚意出售,1070万,2室2厅 | 110.97平米 | 南 | 精装 | 低楼层(共27层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-79b014ef-5417-445c-8af3-c36307b86208.jpg.296x216.jpg
20200208,浦东,源深,好房推荐！大平层，一梯一户，看房方便！价格真美丽房主自荐,1870万,3室2厅 | 191.21平米 | 南 | 精装 | 低楼层(共12层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TVikGiZtT_1.jpg.296x216.jpg
20200208,浦东,源深,位置好，不靠路，采光好，看房方便，诚意出售房主自荐,1480万,3室2厅 | 147.41平米 | 南 | 精装 | 高楼层(共29层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TcWZ8xVXu_1.jpg.296x216.jpg
20200208,浦东,源深,桃林小区大三房，房满五唯一税费低，小区安静位置房主自荐,820万,3室2厅 | 119.69平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f534cd01-de3b-47e9-8a74-1c2a7fa92ad2.jpg.296x216.jpg
20200208,浦东,源深,急售好房，东边套户型，大阳台，无遮挡，采光好,1199万,3室2厅 | 161.09平米 | 南 | 简装 | 低楼层(共19层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dIXUJAL5R_1.jpg.296x216.jpg
20200208,浦东,源深,电梯朝南大两房 户型好 采光通风效果好 诚心出售,675万,2室2厅 | 116.56平米 | 南 | 简装 | 低楼层(共26层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0ff0966e-f37b-48f2-8c70-f20c96c45424.jpg.296x216.jpg
20200208,浦东,源深,大三房，飞机户型，2房朝南，满五唯一，单价低！,1250万,3室2厅 | 126.83平米 | 南 北 | 精装 | 低楼层(共11层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-80a14479-c2c4-4810-a33a-549c0ee849e1.jpg.296x216.jpg
20200208,浦东,源深,高区视野采光好 经典大三房 业主诚心售 看房随时,875万,3室2厅 | 153.12平米 | 南 | 精装 | 中楼层(共26层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kmnU4nAIW_1.jpg.296x216.jpg
20200208,浦东,源深,精装两房拎包住，高区楼层好，年轻喜欢钟爱的小区房主自荐,790万,2室2厅 | 89平米 | 西北 | 精装 | 高楼层(共20层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-340d4331-7e4c-4e4f-a915-b3a18811826c.jpg.296x216.jpg
20200208,浦东,源深,陆家嘴花园最小面积，满五又唯一，急售房主自荐,790万,1室2厅 | 79.84平米 | 南 | 简装 | 中楼层(共9层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_a59FmMJSK_2.jpg.296x216.jpg
20200208,浦东,源深,卧室空间大 使用率高 单价低 价格实惠,1180万,3室2厅 | 201平米 | 南 | 简装 | 低楼层(共19层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_njFLZK685_1.jpg.296x216.jpg
20200208,浦东,源深,采光充足，适合居住，产权清晰，诚意出售，中间位置。,400万,2室1厅 | 53.34平米 | 西南 西 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_j5hoH32q7_1.jpg.296x216.jpg
20200208,浦东,源深,09年小区+正气双南全明户型+双地铁400米房主自荐,840万,2室2厅 | 92.81平米 | 南 | 精装 | 中楼层(共21层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a91d01c2-48ce-40db-95e0-23b3b15ba1c0.jpg.296x216.jpg
20200208,浦东,源深,小区居中位置，不靠马路 ，户型正气 ，税费少，诚意卖,560万,2室1厅 | 69.42平米 | 南 | 简装 | 中楼层(共26层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_czEIr2WJz_1.jpg.296x216.jpg
20200208,浦东,源深,业主两年前自住精装修 房改售房税费少 小区中 心位置房主自荐,660万,2室1厅 | 62.25平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fdks9lXpf_1.jpg.296x216.jpg
20200208,浦东,源深,小区中间，带地下室，精装修，拎包入住，不担心甲醛！,1250万,4室2厅 | 201.98平米 | 南 | 精装 | 低楼层(共20层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-57cf4bf7-a9eb-4801-9b74-0e130684296e.jpg.296x216.jpg
20200208,浦东,源深,卧室空间大 使用率高 单价低 价格实惠,1200万,4室2厅 | 201平米 | 南 | 简装 | 低楼层(共19层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RXHoOGR8L_1.jpg.296x216.jpg
20200208,浦东,源深,中 央空调带暖气 中间楼层 90°圆弧阳台 满五年 唯 一,1230万,2室2厅 | 114.68平米 | 南 | 精装 | 中楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3eadcd43-c5d1-4ef5-952b-f54cf2762c4e.jpg.296x216.jpg
20200208,浦东,源深,大四房，小区仅有此套在售！新装修带地暖！,1420万,4室2厅 | 190.57平米 | 南 | 精装 | 低楼层(共32层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-df9ac1a7-97b3-43f4-a760-f169717eaae6.jpg.296x216.jpg
20200208,浦东,源深,小区高区景光房，奇缺小四房，急售,1400万,4室2厅 | 157.33平米 | 南 | 精装 | 高楼层(共25层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_X38jis1sa_1.jpg.296x216.jpg
20200208,浦东,源深,两房朝南，客厅朝北，一梯两户，采光好,450万,2室1厅 | 57.86平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q9KdzqKm8_1.jpg.296x216.jpg
20200208,浦东,源深,一梯两户朝南户型 中间位置不靠路 诚意出售,450万,2室1厅 | 58.21平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3LIAKRM3V_1.jpg.296x216.jpg
20200208,浦东,源深,不靠马路+业主重新装修+看花开花落+税费少,960万,2室2厅 | 104.5平米 | 南 | 精装 | 低楼层(共9层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7d3db67e-00df-48c9-a0d5-08b6acfab2fd.jpg.296x216.jpg
20200208,浦东,源深,到价签字，房东特爽快，喜欢和爽快人打交道。,820万,2室2厅 | 81.58平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a9fc19e2-3eb3-4da1-bd91-2e8eeb022aeb.jpg.296x216.jpg
20200208,浦东,源深,精装两房 业主诚售 看房随时 交通便利,428万,2室1厅 | 67.33平米 | 南 | 精装 | 低楼层(共26层) | 1989年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-0e654feb-b657-45c0-8755-dd4ad8e97d2e.jpg.296x216.jpg
20200208,浦东,源深,总价低+高区3房+通透采光好+有车位+随时看房,1180万,3室2厅 | 114.56平米 | 南 | 精装 | 中楼层(共25层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1kLXomhwR_1.jpg.296x216.jpg
20200208,浦东,源深,竹园新村  南北两房  中间楼层   不临街  诚意出售,430万,2室1厅 | 53.98平米 | 南 | 精装 | 低楼层(共7层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mn5oIz1OT_1.jpg.296x216.jpg
20200208,浦东,源深,新出高层 明竹公寓外销房  居家适宜 珀金地段,760万,2室2厅 | 123.99平米 | 南 | 精装 | 中楼层(共26层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9740f812-20f8-4831-9560-15ba6ac8b6dd.jpg.296x216.jpg
20200208,浦东,源深,新上：不靠路，中间楼层，南北两房，置换诚售！,438万,2室1厅 | 54.5平米 | 南 北 | 精装 | 中楼层(共7层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BwSCsc4kJ_1.jpg.296x216.jpg
