20200208,浦东,张江,一改两电梯房 房型好 使用率高无浪费精装修拎包住必看好房,275万,2室1厅 | 61平米 | 南 | 精装 | 中楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-6d39089a-0f27-4461-b2b5-85080ecbd6f2.png.296x216.jpg
20200208,浦东,张江,视野宽阔+采光好+户型方正+满五年+不靠路+业主诚售必看好房,290万,2室1厅 | 72.1平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6d60ad62-67db-429e-9150-f21ec872f4f4.jpg.296x216.jpg
20200208,浦东,张江,07年次新房+精装修+2号线+小区央座+诚意卖必看好房,962万,3室2厅 | 117.86平米 | 南 | 精装 | 低楼层(共16层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-02c14541-5da0-4f94-81a8-7e81cf4cfe5c.jpg.296x216.jpg
20200208,浦东,张江,大三房，带阁楼，位置好，小区环境优必看好房,585万,3室2厅 | 119.59平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Yupjf2rWN_1.jpg.296x216.jpg
20200208,浦东,张江,小区中间位置，带天井，院子做了房间必看好房,512万,3室2厅 | 96.73平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zB7GZoKwP_1.jpg.296x216.jpg
20200208,浦东,张江,建成年代2001年，中间位置，中间楼层，边套全明户型必看好房,285万,1室2厅 | 50.15平米 | 南 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f0ad67b0-14d6-4e75-9e4d-414f08f387c2.jpg.296x216.jpg
20200208,浦东,张江,2期居家装修好房，诚意出售 有穿堂风 临河 安静舒适必看好房,620万,2室2厅 | 88.75平米 | 南 | 精装 | 低楼层(共13层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d9e4b127-5e4d-4f5e-963c-a889e84f43e4.jpg.296x216.jpg
20200208,浦东,张江,业主换房急售，看房方便，三房朝南，带阁楼，采光充足必看好房,475万,3室1厅 | 107.04平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kOSFnc9WX_1.jpg.296x216.jpg
20200208,浦东,张江,楼层适中，满五唯一，看房随时，两卧室朝南，采光好必看好房,320万,2室1厅 | 64.81平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BlBRFU5Np_1.jpg.296x216.jpg
20200208,浦东,张江,13号线张江站+一手动迁+诚意出售+电梯3楼+户型方正必看好房,290万,1室2厅 | 57.93平米 | 南 | 简装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aDPVGDYuO_1.jpg.296x216.jpg
20200208,浦东,张江,户型方正，交通方便，配套成熟，诚意出售。必看好房,318万,2室1厅 | 80.39平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4rG331W7B_1.jpg.296x216.jpg
20200208,浦东,张江,满五年，中间楼层，户型正气，三房一厅，看房方便必看好房,303万,3室1厅 | 60.37平米 | 南 | 毛坯 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-94f8e87d-0755-4b08-94fa-ca4d8e40fbc1.png.296x216.jpg
20200208,浦东,张江,新上大3房，户型好，精装修，只有1%个税，诚意卖必看好房,548万,3室2厅 | 121.99平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b23dc0f1-ef0b-4dbe-a10f-4f2ef401d9a5.jpg.296x216.jpg
20200208,浦东,张江,中环内 业主自住装修 两房朝南 采光充足 拎包入住必看好房,385万,3室1厅 | 75.2平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1c3463ae-a7c1-4bef-a275-c87c6eeda255.jpg.296x216.jpg
20200208,浦东,张江,近轨交2号线+两房朝南+视野好+楼层好+采光好+有钥匙必看好房,325万,2室1厅 | 72.04平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_AN0DvPUp1_1.jpg.296x216.jpg
20200208,浦东,张江,高迪内部 近2号线  自住方便 税费低有露台必看好房,418万,1室1厅 | 62平米 | 南 | 精装 | 高楼层(共13层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-874ad46b-98e7-400e-b08f-5a1efb9366c4.png.296x216.jpg
20200208,浦东,张江,2号线+中环入口、南北通、全明户型、带花园、自住装修必看好房,339万,2室2厅 | 77.3平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FKrKfYVpk_1.jpg.296x216.jpg
