20200208,徐汇,漕河泾,产权车位 徐汇区2010年房龄 西位  9/15号线地铁必看好房,1350万,3室2厅 | 154.17平米 | 南 | 精装 | 中楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_n4jZHh2Uv_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,二期商品房，南北户型。近地铁，楼层好，采光无忧。,530万,2室2厅 | 82.06平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A1hF3I8pO_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,9号线地铁口，08年徐汇产权，两百大复式带装修,875万,4室2厅 | 154.9平米 | 南 | 精装 | 低楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_cZcvrObAw_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,满三年 可正常交易 无增值税 价格低房主自荐,860万,3室2厅 | 120.88平米 | 南 | 精装 | 低楼层(共34层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NWzFC74nU_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,此房为2014年房龄，12号线虹漕路地铁口，楼层佳,908万,3室2厅 | 120.87平米 | 南 | 精装 | 中楼层(共34层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fD2852ypc_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,店长推荐大两房（9号线、15号线地铁沿线）安静位置佳房主自荐,496万,2室1厅 | 83.35平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5d9ddbb7-ad61-4d39-94b3-398f91334e23.jpg.296x216.jpg
20200208,徐汇,漕河泾,一梯两户，看房方便，业主诚意出售,495万,2室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-abae056d-e20f-4185-978f-648c93754d4e.jpg.296x216.jpg
20200208,徐汇,漕河泾,漕河泾 近地铁 双南全明大两房 带花园,528万,2室2厅 | 93.18平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pgJgBIUND_1.jpg.296x216.jpg
20200208,徐汇,漕河泾,此房全明 厅南北通 采光不挡适宜居住地铁口 出行方便,920万,3室2厅 | 120.87平米 | 南 | 简装 | 中楼层(共34层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6b9ebd42-2f13-4083-9e65-d57860f27d7f_1000.jpg.296x216.jpg
20200208,徐汇,漕河泾,徐汇产权，漕河泾地铁口低总价两居，南北格局，税费少,360万,2室1厅 | 58.95平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fbc3b16a-880a-454e-9c70-eb823b8be8d3.jpg.296x216.jpg
20200208,徐汇,漕河泾,地铁口 厅南北通  卧室带飘窗 正规三房 全明户型,900万,3室2厅 | 119.68平米 | 南 | 简装 | 低楼层(共34层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e12a8555-7056-4a15-a003-17f30a2dad4a.jpg.296x216.jpg
