20200208,徐汇,长桥,新笋盘，小区内不靠马路，好楼层，拎包入住！必看好房,370万,1室1厅 | 41.96平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_58LEUoz6T_1.jpg.296x216.jpg
20200208,徐汇,长桥,正南正北，正规一房一厅，五一房，总价低，诚意出售必看好房,183万,1室1厅 | 43.58平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1e9d5a49-e6da-42c9-b86d-2549de47d136.jpg.296x216.jpg
20200208,徐汇,长桥,一梯两户+自住装修+双南大两居+高区采光好必看好房,288万,2室1厅 | 65.8平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SVuQJZZf6_1.jpg.296x216.jpg
20200208,徐汇,长桥,满五年不唯一 看房方便 位置好 诚心出售必看好房,158万,1室0厅 | 32.92平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FkoWJut73_1.jpg.296x216.jpg
20200208,徐汇,长桥,徐汇新城税费低，两房朝南客厅朝北，全明户型采光好。必看好房,579万,2室1厅 | 81.78平米 | 南 | 精装 | 15层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DWHgyTQ1h_1.jpg.296x216.jpg
20200208,徐汇,长桥,业主急急急售，中间楼层，难得四房户型，一级棒装修房主自荐,900万,4室2厅 | 139.37平米 | 南 | 精装 | 6层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_47KnEdRKm_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村电梯房，装修好，采光棒，有名、额房主自荐,515万,2室1厅 | 77.61平米 | 南 | 精装 | 高楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_j6UkIuiMC_1.jpg.296x216.jpg
20200208,徐汇,长桥,此房西边套 电梯房中区 看中可谈,830万,3室2厅 | 97.93平米 | 南 | 精装 | 高楼层(共10层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-675d4629-1294-443f-ada8-fc151de472d9.jpg.296x216.jpg
20200208,徐汇,长桥,长桥一村 经典小一房 一梯两户 诚意出售,385万,1室1厅 | 39.98平米 | 南 | 精装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BkbSgzWrh_1.jpg.296x216.jpg
20200208,徐汇,长桥,稀有房源！公房的价格买商品房！房主自荐,315万,2室1厅 | 57.59平米 | 南 | 精装 | 中楼层(共16层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-26d3fb28-57a1-4712-b726-3c9d1135dda1.jpg.296x216.jpg
20200208,徐汇,长桥,94年商品房，满五唯一，可以拎包入住,505万,2室1厅 | 71.69平米 | 南 | 精装 | 低楼层(共16层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_ysK5zmulR_1.jpg.296x216.jpg
20200208,徐汇,长桥,热门成交户型+两房朝南一房朝北+两个卫生间+双阳台房主自荐,810万,3室2厅 | 121.75平米 | 南 北 | 简装 | 7层 | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_W5OsmQwLF_1.jpg.296x216.jpg
20200208,徐汇,长桥,此房满五唯一.南北通透.楼层好阳光足.配套齐全,980万,3室2厅 | 126.57平米 | 南 北 | 简装 | 6层 | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b2138309-2369-41cb-8f06-020d9e959a93.png.296x216.jpg
20200208,徐汇,长桥,南北两房，低楼层，交通便利，看房方便,450万,2室0厅 | 52.08平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o6fQaLfp6_1.jpg.296x216.jpg
20200208,徐汇,长桥,长桥五村 售后公房 满五唯一 双南电梯两房 户型正气,480万,2室1厅 | 68.01平米 | 南 | 简装 | 中楼层(共24层) | 1990年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_IUOp2s1mt_1.jpg.296x216.jpg
20200208,徐汇,长桥,好房推荐 位置安静 两个房间朝南 诚意出售,280万,2室1厅 | 57.46平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a85c7f51-3471-43f3-bfcf-cc834866cabd.jpg.296x216.jpg
20200208,徐汇,长桥,稀有房源！公房的价格买商品房！房主自荐,290万,1室1厅 | 48.43平米 | 南 | 精装 | 中楼层(共16层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-e093889c-4eb7-4106-8248-4e53e7b41e24.jpg.296x216.jpg
