20200208,徐汇,华东理工,售后公房，满五年，中等装修，业主诚意卖！必看好房,310万,2室1厅 | 69.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8040a6f2-42b6-4a33-828a-59f2c58c0828.jpg.296x216.jpg
20200208,徐汇,华东理工,双南两房 全明户型 精装修 满五唯一 可直接拎包入必看好房,285万,2室1厅 | 61.56平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4a326c85-9e6e-4394-9d7d-ebc5a5bd1e1a.jpg.296x216.jpg
20200208,徐汇,华东理工,得房率88%，双天井精装修，一梯两户，西边套全明必看好房,358万,2室1厅 | 67.26平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jeZPNMEnN_1.jpg.296x216.jpg
20200208,徐汇,华东理工,售后公房，小区花园位置 中间楼层厨卫朝北南北通风好必看好房,252万,1室1厅 | 52.52平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tLQ3z4Rnn_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇十村 2室1厅 295万必看好房,295万,2室1厅 | 61.44平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QcJDSkcj3_1.jpg.296x216.jpg
20200208,徐汇,华东理工,东边套南北两房，全明户型，采光通风具佳，可拎包入住必看好房,258万,2室1厅 | 54.33平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zc2le3ElO_1.jpg.296x216.jpg
20200208,徐汇,华东理工,售后公房 满五唯一 双南全明户型必看好房,310万,2室1厅 | 66.07平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_oUTI6SaEj_1.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇六村 六楼边套全明 采光好 有钥匙 看房随时必看好房,177万,1室1厅 | 40.91平米 | 南 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-36bcff83-9d9c-4f13-bc14-12e98b3ac6d1.jpg.296x216.jpg
20200208,徐汇,华东理工,凌云新村 1室1厅 195万必看好房,195万,1室1厅 | 40.5平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZADq7bzG2_1.jpg.296x216.jpg
20200208,徐汇,华东理工,南北两室户，全明户型，通透性好，总价低，很适合刚需必看好房,239万,2室1厅 | 47.57平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XDxTSzLNv_1.jpg.296x216.jpg
20200208,徐汇,华东理工,精改小户型 全明 中间楼层 满五唯一 诚意出售必看好房,210万,1室1厅 | 44.75平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_5GgFpDvaU_1.jpg.296x216.jpg
