20200208,徐汇,华泾,徐汇滨江高区两房，南北通格局，户型正气，业主诚售！必看好房,788万,2室2厅 | 104.58平米 | 南 | 精装 | 中楼层(共33层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_meWg4xFuv_1.jpg.296x216.jpg
20200208,徐汇,华泾,钥匙房，看房方便，一手动迁房，税费少，业主诚心出售必看好房,255万,2室0厅 | 54.61平米 | 南 | 毛坯 | 中楼层(共7层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7cr9JsKTB_1.jpg.296x216.jpg
20200208,徐汇,华泾,诚意出售，税费少，单价低，采光好必看好房,355万,2室1厅 | 62.44平米 | 南 | 精装 | 低楼层(共29层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_GQ5enQObx_1.jpg.296x216.jpg
20200208,徐汇,华泾,华欣家园一室一厅，一楼带天井，房东诚意出售必看好房,225万,1室1厅 | 43.45平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jrBJl0V8o_1.jpg.296x216.jpg
20200208,徐汇,华泾,新年快乐！13年次新电梯房+位置好总价低+看房有钥匙必看好房,315万,1室1厅 | 68.27平米 | 南 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3Hlr6mEVw_1.jpg.296x216.jpg
20200208,徐汇,华泾,满五唯一，税费少，看房方便，房东诚意出售必看好房,243万,2室1厅 | 55.29平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ufYAFm1sC_1.jpg.296x216.jpg
20200208,徐汇,华泾,精装修+带阁楼+全明户型+不靠马路必看好房,324万,2室1厅 | 60.76平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_JsyfBU66o_1.jpg.296x216.jpg
20200208,徐汇,华泾,精装修，税费少，15号线朱梅站必看好房,375万,2室1厅 | 62.4平米 | 南 | 精装 | 高楼层(共29层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_AeCTwUuW7_1.jpg.296x216.jpg
20200208,徐汇,华泾,滨江正规小区精装小两房，朝南精致户型方正。必看好房,754万,2室2厅 | 89平米 | 南 北 | 简装 | 低楼层(共38层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-76012b64-0639-455d-8880-2e67477abb80.jpg.296x216.jpg
20200208,徐汇,华泾,单价低，总价低，楼层低，15号线朱梅路站必看好房,330万,2室1厅 | 62.28平米 | 南 | 简装 | 低楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_iotILXTw0_1.jpg.296x216.jpg
20200208,徐汇,华泾,到价即签，双南户型，楼层居中，采光无遮挡必看好房,258万,2室1厅 | 59.16平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ms7w4elkL_1.jpg.296x216.jpg
20200208,徐汇,华泾,盛华景苑 3室2厅 561万必看好房,561万,3室2厅 | 126.92平米 | 南 北 | 毛坯 | 中楼层(共29层) | 2013年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/a65c7b8a-3225-40c4-baf5-84471b323567.png.296x216.jpg
20200208,徐汇,华泾,明星楼盘 馨宁中区双南2房 一手动迁,348万,2室1厅 | 62.28平米 | 南 | 简装 | 中楼层(共24层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-53390f2d-d8ca-4565-8eae-28d03b692c16.png.296x216.jpg
20200208,徐汇,华泾,华欣家园双南二房，房东诚意出售,310万,2室1厅 | 61.46平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13985f7a-18a6-4912-9779-38008b4e05f8.jpg.296x216.jpg
20200208,徐汇,华泾,南北格局，飞机户型，楼层好，视野宽阔，采光充足,780万,2室2厅 | 109.22平米 | 南 北 | 精装 | 中楼层(共11层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LAvcpbGEN_1.jpg.296x216.jpg
20200208,徐汇,华泾,盛华景苑优质大三房，精装修全配，楼层好采光好,650万,3室2厅 | 133.88平米 | 南 | 精装 | 中楼层(共28层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sAQCkaL4e_1.jpg.296x216.jpg
20200208,徐汇,华泾,中间楼层   位置安静  业主诚心出售  看房方便。,309万,2室1厅 | 62平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZF5hJF1YV_1.jpg.296x216.jpg
20200208,徐汇,华泾,2011年小区 双南2房 一手动迁 税费少 生活便利,344万,2室1厅 | 62.4平米 | 南 | 简装 | 低楼层(共29层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_R7dusCbgD_1.jpg.296x216.jpg
20200208,徐汇,华泾,黄浦江一线江景房！小区中间位置，房型正！房主自荐,1350万,3室2厅 | 155.96平米 | 东南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CnoPPHzvT_1.jpg.296x216.jpg
20200208,徐汇,华泾,南北2房 精装修省心 满五唯一 置换诚意卖,225万,2室0厅 | 47.89平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-271678e6-7b54-475b-bad0-0f312d9abc5e.jpg.296x216.jpg
20200208,徐汇,华泾,满五唯一+房龄新+高档小区环境好+产权车位,830万,3室3厅 | 146.15平米 | 南 北 | 精装 | 低楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9b20f504-d380-4494-a1c5-2fdf1ff076d6.png.296x216.jpg
20200208,徐汇,华泾,婚房两年50万装修 动静分开 宜居 楼栋位置好 税费少,575万,2室2厅 | 101.8平米 | 南 | 精装 | 低楼层(共26层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_SAg3UVmQQ_1.jpg.296x216.jpg
20200208,徐汇,华泾,徐汇滨江大三房，30平花园，老人小孩，活动空间大！,1278万,3室2厅 | 150.17平米 | 南 北 | 精装 | 低楼层(共34层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ohEdiSz0L_1.jpg.296x216.jpg
20200208,徐汇,华泾,11年商品房，人车分流环境好，开发商统一装修看房放便,535万,2室2厅 | 81.11平米 | 南 | 精装 | 中楼层(共15层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sxuSAw6lQ_1.jpg.296x216.jpg
