20200208,徐汇,建国西路,非底楼，满五唯一，售后公房，东边套明厨明卫，采光好必看好房,620万,2室1厅 | 45.97平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_74Rr65PTt.jpg.296x216.jpg
20200208,徐汇,建国西路,房屋通透性好，改性空间大，采光无遮挡.必看好房,1550万,3室2厅 | 198.79平米 | 东南 | 精装 | 低楼层(共33层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/9db9d48c-9c3b-4fd0-9be2-0d91330d94b2.jpg.296x216.jpg
20200208,徐汇,建国西路,向阳，朝南双卧朝南，地铁近，卧室通透，采光好不挡必看好房,600万,2室1厅 | 46.74平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/x-se/310000-frame/0c55b720-0a20-4350-b50e-a6072a99f4e4.png.296x216.jpg
20200208,徐汇,建国西路,梧桐花园品质外销房，建国路嘉善路，南北通电梯四房房主自荐,1898万,4室2厅 | 196.49平米 | 南 | 精装 | 中楼层(共19层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5c763fa1-fca5-4fd1-aca2-f041e2be2e3d.jpg.296x216.jpg
20200208,徐汇,建国西路,建国西路 嘉善路 实惠大三房，无抵押 无户口,1680万,3室2厅 | 182.39平米 | 南 | 简装 | 高楼层(共22层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a0f7d8fb-127e-4ded-b166-57bb6e823c7c.jpg.296x216.jpg
20200208,徐汇,建国西路,陕西南路建国西路+凯德打造楼盘+满五唯一高区三房朝南房主自荐,1300万,3室2厅 | 145.73平米 | 南 | 精装 | 高楼层(共37层) | 2000年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/prod-7f9d8a0c-3a22-47ef-949f-ff177f73f338.jpg.296x216.jpg
20200208,徐汇,建国西路,建新居委 稳定输出 建国西路公房、满五年无户口，精装,620万,2室0厅 | 60.79平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7933b0c5-81ab-48fd-a011-1d9331426fa1.jpg.296x216.jpg
20200208,徐汇,建国西路,花园小区 上复四房 公主楼层 精装  拎包入住好房,1950万,4室2厅 | 243.13平米 | 西南 | 精装 | 高楼层(共33层) | 2000年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-aef184cd-c5f3-4ffe-a35f-7d31fc5f0a8a.jpg.296x216.jpg
20200208,徐汇,建国西路,襄阳南路 楼层佳，两房朝南，满五年唯一 业主诚意出售,700万,2室0厅 | 62.61平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_97dW8y3ne_2.jpg.296x216.jpg
20200208,徐汇,建国西路,嘉御庭首套顶复丨诚意出售丨看房我来安排。感谢您咨询,5000万,4室3厅 | 283.25平米 | 南 | 精装 | 27层 | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8cba9a52-e118-4b13-83cd-0755852a85c1.png.296x216.jpg
20200208,徐汇,建国西路,中区位置好，朝南阳光好复式看绿化水景，适合三代人住,1450万,4室2厅 | 163.66平米 | 南 | 精装 | 中楼层(共30层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HtXAiSD6B_1.jpg.296x216.jpg
20200208,徐汇,建国西路,建国西路223号近嘉善路嘉御庭旁边大三房两梯两户房主自荐,2180万,3室2厅 | 219.26平米 | 南 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-42b6c4dd-3cf7-4dfb-a62c-c9b7eb704fb1.jpg.296x216.jpg
20200208,徐汇,建国西路,凯德打造+陕西南路+高区错层大两房+自住学习两不误,1095万,2室1厅 | 118.68平米 | 东南 | 精装 | 中楼层(共33层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-089e4826-e24d-474d-a376-66970401787e.jpg.296x216.jpg
20200208,徐汇,建国西路,复兴中路+大面积3房  明园房源 满五唯一,1910万,3室2厅 | 204.64平米 | 南 | 精装 | 中楼层(共20层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-64ad5dd6-6455-4bd8-88ac-db2f70c75412.jpg.296x216.jpg
20200208,徐汇,建国西路,嘉善路永嘉路 电梯景观三房 满五年唯一 诚意出售,1350万,3室2厅 | 146.3平米 | 南 | 精装 | 中楼层(共17层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0f56bb61-e4b8-4ca0-a7fb-ebb2617d33bf.jpg.296x216.jpg
20200208,徐汇,建国西路,品质嘉御庭旁-出门即是超市-全明户型-采光好-随时看房,1150万,2室2厅 | 119.45平米 | 东南 | 精装 | 低楼层(共24层) | 1999年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/prod-1f1096da-a7f8-4db0-aa5a-9b8634eab40e.jpg.296x216.jpg
20200208,徐汇,建国西路,陕西南路建国西路+凯德打造+上复式+客厅挑高5.8米,1798万,4室2厅 | 248.52平米 | 西南 东北 | 简装 | 高楼层(共33层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_XUL8oj1Un_1.jpg.296x216.jpg
20200208,徐汇,建国西路,中区，位置安静 精装朝南2房 看房方便,1090万,2室2厅 | 102.63平米 | 暂无数据 | 精装 | 低楼层(共37层) | 1999年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/prod-2fd0dd86-aaa3-40e4-a977-e89a2851ccf3.jpg.296x216.jpg
20200208,徐汇,建国西路,陕西南路上+满五唯一+有地下产权车位+上复式+高区,1900万,4室2厅 | 243.13平米 | 东 东南 | 简装 | 高楼层(共33层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_0bCsXOOYk_1.jpg.296x216.jpg
20200208,徐汇,建国西路,建国西路襄阳南路+高区朝南一室户+诚售看房方便,535万,1室1厅 | 36.65平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-52d49373-ba21-4ed5-9cfc-7e4865dd1b74.jpg.296x216.jpg
20200208,徐汇,建国西路,中间楼层3房  不会让您的孩子输在起跑线上,830万,3室1厅 | 90.13平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9c000a4f-8067-4a05-a6c8-17f4207b73fb_1000.jpg.296x216.jpg
20200208,徐汇,建国西路,汾阳路丨 40平花园丨南北通丨正气户型丨200米地铁站,1500万,2室2厅 | 108.28平米 | 南 | 简装 | 低楼层(共5层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/6e6ee770-79d3-49e7-bc16-f7e53efa21f6_1000.jpg.296x216.jpg
20200208,徐汇,建国西路,年平 近向阳 闹中取静 户型全明 三个半开间朝南,1517万,3室2厅 | 168.64平米 | 南 | 精装 | 低楼层(共24层) | 1999年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_lyDkNHJKi_1.jpg.296x216.jpg
20200208,徐汇,建国西路,嘉御庭诚意三房出售丨户型方正丨欢迎您咨询~,2400万,3室2厅 | 183.17平米 | 南 | 精装 | 27层 | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vO0uI6UHc_1.jpg.296x216.jpg
20200208,徐汇,建国西路,嘉善路9/12线 建国西路+两房南一房北+业主诚意+精装修,820万,3室1厅 | 67.8平米 | 南 北 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-71669ec7-37eb-463e-89ea-96862b8cede9.jpg.296x216.jpg
20200208,徐汇,建国西路,复兴中路优秀历史保护老公寓，户型改动合理，精装两房,980万,2室1厅 | 92.48平米 | 东 南 北 | 精装 | 低楼层(共4层) | 1948年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7f6d3f3-d1f5-4240-b3d7-b464fdafe941.jpg.296x216.jpg
20200208,徐汇,建国西路,1楼带花园，向阳楼盘，孩子赢在起点线上 看房方便,600万,1室1厅 | 47平米 | 南 | 精装 | 低楼层(共2层) | 1935年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3X97lo5Qd_1.jpg.296x216.jpg
20200208,徐汇,建国西路,此房满五年唯一，目前空置，诚意出售。,1888万,3室2厅 | 174.06平米 | 南 | 简装 | 低楼层(共18层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DMpbtNJp1_1.jpg.296x216.jpg
20200208,徐汇,建国西路,建国西路电梯、售后唯一可以说是各付价、高区两房朝南,840万,3室0厅 | 62.66平米 | 南 | 精装 | 高楼层(共14层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-55d37a1f-e7da-4896-80fb-9ac58bad1f3a.jpg.296x216.jpg
20200208,徐汇,建国西路,陕西南路888弄 汇景苑 高区 两房朝南 地铁9、12号线,990万,2室2厅 | 102.63平米 | 南 | 简装 | 中楼层(共37层) | 1999年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/test-2d6e1909-b40e-487a-94f1-8ff93807551f.png.296x216.jpg
20200208,徐汇,建国西路,1988房龄  一层三户 双南户型 满五年唯一 税费微我,650万,2室1厅 | 52.83平米 | 南 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6f21f391-d784-4d37-bfb3-a6550704e003.jpg.296x216.jpg
20200208,徐汇,建国西路,向 阳+93年竣工+南北通两房+楼层好+未用明额+置换诚售,750万,2室1厅 | 58.94平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-da75374c-29cc-4f16-aca3-13d3592d8571.jpg.296x216.jpg
20200208,徐汇,建国西路,岳阳路永嘉路/低楼层双南2房/太原居委/建襄,813万,2室1厅 | 62.61平米 | 南 | 精装 | 低楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-12e6db32-6a2c-4d07-80f2-870466f0f013.jpg.296x216.jpg
20200208,徐汇,建国西路,老业主委托+太原居委+售后公房+天井12平，随时看房,668万,2室1厅 | 48.67平米 | 南 北 | 精装 | 低楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4s37SM9Wv_1.jpg.296x216.jpg
20200208,徐汇,建国西路,向阳两年内自己住的装修太原路近建国西路 双南采光好,697万,2室1厅 | 52.76平米 | 南 | 精装 | 中楼层(共5层) | 1977年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-965a9cc1-f377-4004-be5e-1fb0cfe53c42.jpg.296x216.jpg
20200208,徐汇,建国西路,陕西南路凯德打造+客厅挑高6米+复式+*空间大,1188万,3室2厅 | 133.69平米 | 西南 | 精装 | 低楼层(共33层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_UZ54Q7b2b_1.jpg.296x216.jpg
20200208,徐汇,建国西路,难得的老公寓，烫金地段，品质佳，保养好，还有商圈。,695万,2室0厅 | 74.69平米 | 东 | 精装 | 低楼层(共10层) | 1949年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ff37f236-c44a-47bf-8580-665b12dd5242.jpg.296x216.jpg
20200208,徐汇,建国西路,太原路公房、小区环境优美安静、底楼带大花园,750万,2室0厅 | 50.01平米 | 南 | 精装 | 4层 | 1976年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b491b8ae-5b55-4a15-9047-7bdc19b448bb.png.296x216.jpg
20200208,徐汇,建国西路,永嘉路90年新公房+精装东边套全明+可看陆家嘴三件套,615万,2室1厅 | 57.29平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0207e3cb-c29e-42af-9892-0fa1bed381c9.png.296x216.jpg
20200208,徐汇,建国西路,嘉善路公房，小区中间位置，方便出租，向阳同居委,622万,2室1厅 | 53.66平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b4ca7172-0f64-4455-a83c-5ff53f0d94ef.jpg.296x216.jpg
20200208,徐汇,建国西路,一楼带天井+两房南北通+全明户型+采光充足+向阳,740万,2室1厅 | 56.93平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hfSQ4VEqI_1.jpg.296x216.jpg
20200208,徐汇,建国西路,高区，全明户型，采光好，两房朝南，满五唯一，税少,990万,2室2厅 | 102.63平米 | 南 | 精装 | 中楼层(共37层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_ZpbI2Ay9o_1.jpg.296x216.jpg
20200208,徐汇,建国西路,陕西南路建国西路  花园小区 双南正气二房二厅,995万,2室2厅 | 102.63平米 | 南 | 精装 | 中楼层(共37层) | 1999年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_YeLxIXQkS_1.jpg.296x216.jpg
20200208,徐汇,建国西路,新式里弄整层，层高3.5米，光线充足，各付各税。,980万,3室1厅 | 111.06平米 | 南 北 | 简装 | 低楼层(共2层) | 2005年建 | 平房,https://image1.ljcdn.com/310000-inspection/prod-2f4c52b5-fa4a-40a3-9bc4-68b818e0b589.jpg.296x216.jpg
20200208,徐汇,建国西路,嘉御庭高区赏景，户型通透自住爱惜，满五低税车位另算,2350万,2室2厅 | 138.22平米 | 南 | 精装 | 19层 | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qfb4sEdND_1.jpg.296x216.jpg
20200208,徐汇,建国西路,设计师设计丨方正居家丨楼层优越丨视野很棒，法式梧桐,1980万,4室2厅 | 194.81平米 | 南 | 精装 | 中楼层(共19层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f4383000-cf64-41e6-99f5-0e691d5ea7b3.jpg.296x216.jpg
20200208,徐汇,建国西路,品质嘉御庭旁-两房朝南-客厅朝南-户型方正-随时看房房主自荐,1575万,3室2厅 | 176.44平米 | 南 | 精装 | 高楼层(共24层) | 1999年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_vvooVTntB_1.jpg.296x216.jpg
