20200208,徐汇,上海南站,满五年唯一 精装修 可拎包入住哦必看好房,355万,2室1厅 | 78.66平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-8325b9f4-0fa3-49e4-a90f-66cfb5f0097b.png.296x216.jpg
20200208,徐汇,上海南站,华东花苑地铁一三号线+小区环境优美+业主诚心出售必看好房,375万,2室1厅 | 71.4平米 | 南 | 简装 | 低楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OA7xEPdiO_1.jpg.296x216.jpg
20200208,徐汇,上海南站,一房总价低，房型方正采光好，适合过度小夫妻购入必看好房,159万,1室0厅 | 33.5平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wCqT1co4O_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成四村 3室1厅 508万房主自荐,508万,3室1厅 | 94.06平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7a46c1bc-f847-479d-b340-3cd1722fa1ce.jpg.296x216.jpg
20200208,徐汇,上海南站,光华园三房，业主诚意出售，价格好谈房主自荐,628万,3室1厅 | 80.82平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b0b8fc39-25eb-4e9d-8a6b-e0e451a7bd8c.png.296x216.jpg
20200208,徐汇,上海南站,此房南北户型，户型比较正，适合有老人和小孩的家庭,470万,2室1厅 | 60.64平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6dfba88d-03c7-48bf-ae97-2dfac029f47f.jpg.296x216.jpg
20200208,徐汇,上海南站,大三房，楼层好，采光充足，满五唯一，业主诚心出售,680万,3室1厅 | 83.77平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ae74bc36-f705-45b1-8af0-25acd29daa81.jpg.296x216.jpg
20200208,徐汇,上海南站,五村一室半 满五唯一 小区中间位置 中间楼层   采光好房主自荐,250万,1室1厅 | 41.1平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7JVoP4zCw_1.jpg.296x216.jpg
20200208,徐汇,上海南站,光华园一房一厅，小区中间位置边套，看房很方便的。,400万,1室1厅 | 38.08平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9c5a488a-c743-4de9-a09c-eefde3a1295a.jpg.296x216.jpg
20200208,徐汇,上海南站,六楼南北户型通风好，房东诚意出售好说话房主自荐,325万,2室1厅 | 60.56平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yqm51Xm3F_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成一村 1室0厅 190万,190万,1室0厅 | 33.5平米 | 南 | 其他 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-15ded669-b954-4171-9bd9-d6ae2204349d.png.296x216.jpg
