20200208,徐汇,万体馆,中高楼层，满五税费少，户型正气，新豪.装，业主急卖必看好房,744.2万,2室1厅 | 99.22平米 | 南 | 精装 | 中楼层(共22层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_CFFo01EpJ_1.jpg.296x216.jpg
20200208,徐汇,万体馆,少税，南北通中间套，精装保养好，求智田三，安静位置必看好房,260万,1室1厅 | 33.77平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QgjtyKTEq.jpg.296x216.jpg
20200208,徐汇,万体馆,漕溪四村、售后公房满五年，产权清晰，随时可以看房！必看好房,355万,2室1厅 | 49.86平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-13db4b02-9fa1-4d10-a710-9bda12a5c9d0.jpg.296x216.jpg
20200208,徐汇,万体馆,83年+满五唯一+南北两房+全明户型+随时看+诚意出售必看好房,358万,2室1厅 | 47.96平米 | 南 北 | 毛坯 | 低楼层(共3层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/4c22dcfa-ac39-45ee-826b-0b96f3c177df_1000.jpg.296x216.jpg
20200208,徐汇,万体馆,1号12号3号线地铁沿线+电梯两房+婚房装修必看好房,430万,2室1厅 | 63平米 | 东 | 精装 | 高楼层(共18层) | 1991年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/bb426f76-3400-4d3a-9290-fbe7bf6db789_1000.jpg.296x216.jpg
20200208,徐汇,万体馆,93年南北通两房，优质楼层4楼，独立物业，停车方便必看好房,425万,2室1厅 | 63.44平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WfO4YfGZ4.jpg.296x216.jpg
20200208,徐汇,万体馆,精装修，带拐角阳台，地铁1、3、12号线，满五年必看好房,515万,2室1厅 | 74.81平米 | 南 北 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-43ecc752-26d3-4c5d-a5e8-1864689fd5d8.jpg.296x216.jpg
20200208,徐汇,万体馆,澳龙公寓 2室1厅 650万必看好房,650万,2室1厅 | 102.97平米 | 南 | 毛坯 | 低楼层(共24层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/70192d9a-a129-402a-b65a-47390495f85e.jpg.296x216.jpg
20200208,徐汇,万体馆,徐家汇内环内+层高3.1米+1/4/11号线+采光好、视野佳必看好房,205万,1室0厅 | 32.92平米 | 南 | 简装 | 低楼层(共6层) | 1953年建 | 板楼,
20200208,徐汇,万体馆,急降50万+满五唯一税费少+地铁口+全南+户型方正,880万,3室2厅 | 142.3平米 | 南 | 简装 | 中楼层(共20层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-97e4923f-14b6-48bc-b522-9dd63bb77389.jpg.296x216.jpg
20200208,徐汇,万体馆,万体馆旁+一楼带大花园+求-+南北通+边套+一梯两户-急,880万,3室2厅 | 114.05平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-63ea62f7-ccb9-4799-88e7-413bb714b946.png.296x216.jpg
20200208,徐汇,万体馆,住友公寓 3室2厅 775万,775万,3室2厅 | 107.26平米 | 南 | 精装 | 高楼层(共22层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-62ee56e4-47dd-40e9-88b3-1da72840ab90.jpg.296x216.jpg
20200208,徐汇,万体馆,地铁口 2005年 高区景观两居室 紧靠求小 房本满五年,525万,2室1厅 | 71.9平米 | 东 | 精装 | 中楼层(共24层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-3a56a217-dc4d-490f-950f-d89f2aed0af7.jpg.296x216.jpg
20200208,徐汇,万体馆,价格可谈+南北三房+采光通风极好+两年精装修！,685万,3室2厅 | 91.09平米 | 南 | 精装 | 低楼层(共18层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-246d3715-1356-4d93-a6b8-66f4e731078f.png.296x216.jpg
20200208,徐汇,万体馆,望族城 4室2厅 930万,930万,4室2厅 | 184.36平米 | 南 | 简装 | 高楼层(共24层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-7257042c-0532-49b6-8e1b-e72ead0986ef.jpg.296x216.jpg
20200208,徐汇,万体馆,满五年、一梯两户、好楼层、两房朝南带大阳台,620万,3室2厅 | 90.62平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3684eb1c-bffb-4e1a-b74e-c6c659ac27d1.jpg.296x216.jpg
20200208,徐汇,万体馆,此房售后公房，产权清晰，原单位福利分房，房东很诚意,385万,2室1厅 | 60.21平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-299b954b-71c7-4a27-bb1a-2c775c8bfd33.jpg.296x216.jpg
20200208,徐汇,万体馆,稀有三房 单价总价低 两南一北 西边套 地铁11、3、12,450万,3室1厅 | 65.57平米 | 南 西 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fb2dd639-3f71-4172-9661-08f7fe9e3c89.jpg.296x216.jpg
20200208,徐汇,万体馆,中高楼层，满五税费少，户型正气，业主诚意急！急！急,530万,2室1厅 | 82.16平米 | 东南 | 简装 | 高楼层(共22层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_Lqd1mLv5C_1.jpg.296x216.jpg
20200208,徐汇,万体馆,内环内+双南两房+满五唯一+看房方便+业主诚意,340万,2室0厅 | 45.48平米 | 南 | 精装 | 低楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-679e383a-e0bc-4867-838d-f15810635005.jpg.296x216.jpg
20200208,徐汇,万体馆,单价低 总价低 双南户型 全明采光无遮挡 随时看,383万,2室1厅 | 62.94平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a8b8e0ee-718b-480a-8db5-89d1c14e3bbb.jpg.296x216.jpg
20200208,徐汇,万体馆,此房是内环内，双南两房，满五唯一，楼层适中,345万,2室1厅 | 46.33平米 | 南 | 简装 | 中楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f6f9c7ff-d8b5-44f2-872f-a8edecae9440.jpg.296x216.jpg
20200208,徐汇,万体馆,两房朝南厅南北通的户型 满五年 带独立式花园,360万,2室1厅 | 62.47平米 | 南 | 简装 | 低楼层(共4层) | 1958年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6a4e1ee6-0c7d-4419-9435-26007dde1e99.jpg.296x216.jpg
20200208,徐汇,万体馆,近地铁 出租快 压力小 交通便利 业主诚意出售，,505万,2室1厅 | 80.5平米 | 南 | 简装 | 中楼层(共18层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-e8edf335-c5d0-4dbf-9a6b-4941c0b6d6c6.jpg.296x216.jpg
20200208,徐汇,万体馆,徐汇日月光+1/12号线地铁口+中间楼层+售后公房,418万,2室1厅 | 52.28平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QfzXqTm1v.jpg.296x216.jpg
20200208,徐汇,万体馆,地铁口+中区大三房+位置安静+四周无高层住宅+没有个税房主自荐,1040万,3室2厅 | 167.82平米 | 东 | 精装 | 中楼层(共20层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-a7ad1dbb-c968-49f2-8bb0-0785ddccc915.png.296x216.jpg
20200208,徐汇,万体馆,三年婚房精装修 南北通 厨卫全明 采光无遮挡 拎包入住,390万,2室1厅 | 60.34平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cee4d725-7950-4670-8327-cbe85db0328e.jpg.296x216.jpg
20200208,徐汇,万体馆,售后公房+近1/3/12号线地铁+近日月光+南北通复式房,598万,2室1厅 | 82.33平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2cf92b21-8fa7-4fad-b9d4-bc0d70166b1a.jpg.296x216.jpg
20200208,徐汇,万体馆,精装修，三改四，两房价格买三房，寻有缘人，内环边,710万,4室2厅 | 130.57平米 | 南 西 北 | 精装 | 低楼层(共18层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_c8ywPHac8_1.jpg.296x216.jpg
20200208,徐汇,万体馆,地铁口、2005房龄新、高区景观、两居室、满五年,510万,2室1厅 | 71.9平米 | 东 | 简装 | 低楼层(共24层) | 2005年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_eTuuBmFHd_1.jpg.296x216.jpg
20200208,徐汇,万体馆,钥匙房/三条地铁交汇/94年房龄/中间楼层/满五唯一,324万,1室1厅 | 41.9平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9b6a65a4-6436-46d2-9a33-edc8dd338fb0.jpg.296x216.jpg
20200208,徐汇,万体馆,内环内低总价+满五唯一+有装修+楼层佳+朝南一室户,165万,1室0厅 | 20.44平米 | 南 | 精装 | 中楼层(共4层) | 1953年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-db366c49-2f57-4a6d-89f2-b264741c5242.jpg.296x216.jpg
20200208,徐汇,万体馆,大面积可用+双南大两房+看房方便+近三条地铁线！,380万,2室1厅 | 54.57平米 | 南 北 | 毛坯 | 低楼层(共5层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_51ilD3QiU_1.jpg.296x216.jpg
20200208,徐汇,万体馆,近地铁，近日月光，地段好，满五唯一,630万,2室1厅 | 93.8平米 | 南 | 精装 | 低楼层(共18层) | 1992年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_jRo3GBmEb_1.jpg.296x216.jpg
20200208,徐汇,万体馆,电梯小高层+楼层好+03年新小区+一梯两户,980万,2室2厅 | 113.67平米 | 南 | 精装 | 中楼层(共7层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Q6ABI7yAc_1.jpg.296x216.jpg
20200208,徐汇,万体馆,诚意出售+近地铁+满五+房龄新+楼层好+房龄新,223万,1室1厅 | 31.87平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_s64Prrms1_1.jpg.296x216.jpg
20200208,徐汇,万体馆,近徐汇日月光，三条地铁沿线，中高区，大两房！,730万,2室1厅 | 106.4平米 | 南 | 简装 | 高楼层(共12层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f9444fa6-988b-4935-90b9-7f2edaf4e239.jpg.296x216.jpg
20200208,徐汇,万体馆,万体馆南北通两房+全明户型+精装修+随时可以看房！,345万,2室1厅 | 49.36平米 | 南 北 | 精装 | 高楼层(共6层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6e4d7d57-554a-40f1-83af-43860e718c31.jpg.296x216.jpg
20200208,徐汇,万体馆,此房87年竣工，售房公房，双南户型，87年房龄，钥匙房,370万,2室1厅 | 56.77平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e37d760a-08ec-4261-a68c-8e95e5dd772d.jpg.296x216.jpg
20200208,徐汇,万体馆,87年房龄，一梯三户，满五年唯一，交通便利，配套齐全,375万,2室1厅 | 61.43平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-88139a6a-5e94-49a7-a04f-a45223dbb518.png.296x216.jpg
20200208,徐汇,万体馆,售后公房，双南两房，三条地铁线出行便利，价格可谈,425万,2室1厅 | 62.45平米 | 南 | 毛坯 | 中楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a6c6af09-59f3-4402-9607-26be2429af0e.jpg.296x216.jpg
