20200208,徐汇,斜土路,南北两房，花园小区，闹中取静，精装拎包入住必看好房,875万,2室2厅 | 111.75平米 | 南 | 精装 | 中楼层(共24层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-837abbc0-58d6-4149-b21e-a1279425ae5e.png.296x216.jpg
20200208,徐汇,斜土路,地铁口+精装+朝南+一室一厅+一梯两户+楼层好+小区安静必看好房,295万,1室1厅 | 39.79平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_x3A20bXSn_1.jpg.296x216.jpg
20200208,徐汇,斜土路,江南新村 南北，西边套，优质两房。必看好房,265万,2室1厅 | 48.79平米 | 南 北 | 简装 | 中楼层(共5层) | 1954年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Z7JgbgOyI_1.jpg.296x216.jpg
20200208,徐汇,斜土路,高区楼层，采光好，地铁教育医疗百米。必看好房,255万,1室1厅 | 35.55平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_L8gXdOuvV_1.jpg.296x216.jpg
20200208,徐汇,斜土路,地铁口，精装修，业主诚意，看房随时必看好房,213万,1室0厅 | 32.41平米 | 南 | 精装 | 中楼层(共6层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Zsizr4lZ7_1.jpg.296x216.jpg
20200208,徐汇,斜土路,交通便利， 近地铁，精装修，采光充足，通风好必看好房,428万,2室1厅 | 64.38平米 | 南 | 精装 | 高楼层(共7层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/62c04118-9dc5-4c9a-a321-1d6f78f1784a_1000.jpg.296x216.jpg
20200208,徐汇,斜土路,06年内环次新电梯房，刷卡入户，精装全明，配套成熟必看好房,445万,1室1厅 | 57.15平米 | 南 | 精装 | 低楼层(共23层) | 2006年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_Z9xW0kf5u_1.jpg.296x216.jpg
20200208,徐汇,斜土路,92年+双南双阳台+地铁4/9/12号线+全明东边套+看房方便必看好房,425万,2室1厅 | 61.3平米 | 南 | 简装 | 高楼层(共7层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d1a44f8d-22cd-441f-903e-894d5ae295aa_1000.jpg.296x216.jpg
20200208,徐汇,斜土路,1999年+满五唯一+全明户型采光好必看好房,620万,1室2厅 | 77.96平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-95d799ee-45c4-4a46-a051-f48b4da7ce62.jpg.296x216.jpg
20200208,徐汇,斜土路,楼层好，东边套双南两房，南北通必看好房,585万,2室1厅 | 66.12平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dlRdZsP3m_1.jpg.296x216.jpg
20200208,徐汇,斜土路,中间楼层+精装修+总价低+诚意出售必看好房,240万,1室1厅 | 36.11平米 | 南 西 | 精装 | 7层 | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kD87OR4c3_1.jpg.296x216.jpg
20200208,徐汇,斜土路,低总价双南两房，业主诚意出售，地段好配套全必看好房,330万,2室0厅 | 48.81平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4aef7aaa-ce4b-41a5-a182-e9feee28e6f0.jpg.296x216.jpg
20200208,徐汇,斜土路,93年+边套+低总价+中间楼层+居家装修+人脸识别门禁必看好房,370万,2室1厅 | 47.79平米 | 南 | 简装 | 中楼层(共5层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WtecsrEgK_1.jpg.296x216.jpg
20200208,徐汇,斜土路,内环内+离日月光500米左右+边套南北通+低楼层必看好房,260万,1室1厅 | 34.81平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_I48DNmDsY.jpg.296x216.jpg
