20200208,徐汇,徐汇滨江,9米大横厅，中区一线江景3+1户型，满五年税费少必看好房,2220万,3室2厅 | 203平米 | 南 | 精装 | 中楼层(共30层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Eio7FYUNT_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,法式装修+保养好+诚意出售+随时看房。必看好房,1598万,3室2厅 | 166.4平米 | 南 | 精装 | 低楼层(共37层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-56c628ad-5328-4ef5-ba9d-41671e70015b.png.296x216.jpg
20200208,徐汇,徐汇滨江,2013年竣工，前排看江，全新装修中，板块门槛级产品必看好房,1490万,3室2厅 | 146.9平米 | 东南 | 毛坯 | 中楼层(共36层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_sz7BHFhiO_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,二期 一线江景 封闭式景观大阳台 满两年税少 多加两平必看好房,1390万,2室2厅 | 114平米 | 南 | 精装 | 中楼层(共31层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WsASccrZk_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,尚海湾三期，新房没人住过，看江景，客厅带阳台，诚售必看好房,1680万,3室2厅 | 151.69平米 | 东南 | 精装 | 高楼层(共30层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PhhC42SSL_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,精致三加一户型+离江100米+生活配套齐全+房型方正必看好房,1795万,3室1厅 | 185.15平米 | 南 | 毛坯 | 低楼层(共37层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-73911e80-fbc1-439a-acec-3b0e942615ca.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,二楼，满五年，南北通透，近地铁，视野好，采光好必看好房,395万,2室1厅 | 68.65平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rgslfe6ZK_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,高区南北通江景房、南北双大阳台，房型正可塑造行强！必看好房,1409万,2室2厅 | 128平米 | 南 | 精装 | 高楼层(共37层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b77826e7-e254-4a9e-8e75-735d0a70f755_1000.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,小区后排中区一房，业主诚心出售，全南户型，精装修，必看好房,770万,1室2厅 | 64.26平米 | 南 | 精装 | 中楼层(共37层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WQHqX0BOD.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,少有的中高楼层，采光好视野佳，诚意出售，看房方便必看好房,400万,2室1厅 | 68.93平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/pc1_dtAL1gWtP.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,150平米大露台+徐汇滨江标杆+看房方便+精装修,3830万,4室2厅 | 274.02平米 | 南 | 精装 | 低楼层(共19层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-27b16595-a8a1-437f-9661-38d527c12147.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,低总价2房 干净敞亮 小区环境好 绿化好 看房方便,1058万,2室2厅 | 94.19平米 | 南 | 简装 | 低楼层(共31层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-19b78913-91cd-4935-8a55-01463c959596.png.296x216.jpg
20200208,徐汇,徐汇滨江,高区江景大4房 私人订制装修 品质小区 闹中取静房主自荐,3700万,4室2厅 | 288平米 | 南 | 精装 | 高楼层(共19层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8253200a-7991-4646-bde5-9c9bf5fc164c.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,海珀旭晖 376户型 4+1房 全套房设计 通透户型采光好！,4500万,4室2厅 | 376.24平米 | 东南 | 精装 | 中楼层(共19层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-a7ba461c-f342-4b59-8894-3e674b641fbe.png.296x216.jpg
20200208,徐汇,徐汇滨江,不同于其它房子位置好前排看江景正气南北通4房带阳台房主自荐,2400万,4室2厅 | 225.25平米 | 南 | 精装 | 低楼层(共35层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-969cbe48-f75e-41a2-9cfe-758662b8a630.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,徐汇滨江电梯中区+2T3户有车位+板式户型商品南北通透房主自荐,850万,3室2厅 | 134.4平米 | 南 北 | 简装 | 中楼层(共12层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-be93ca39-bca0-48df-956c-1acf1952f84d.png.296x216.jpg
20200208,徐汇,徐汇滨江,滨江小高层平墅小区、舒适生活更有便捷配套，必看三房,2850万,3室2厅 | 199.09平米 | 南 | 精装 | 中楼层(共12层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/101a4bc2-27b3-4288-b5b3-b47578fe9c3f_1000.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,百汇园二期，户型正气，高区直面江景，随时入住房主自荐,2200万,3室2厅 | 183.64平米 | 南 | 精装 | 高楼层(共30层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RDvdCWC1H_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,滨江岸边 叠加苑经典东边户电梯两房 三面景观 带车位房主自荐,628万,2室2厅 | 107.95平米 | 南 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/fc315efc-b865-4556-8c8f-d44347bd17d6_1000.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,新出正气大三房，满五唯一，全明户型，新装修屋况佳,1799万,3室2厅 | 177.44平米 | 南 | 精装 | 低楼层(共37层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e6aa8637-e98b-49a2-be0e-afda7b5adffb.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,二期新装修、税费少、看房方便、户型正气景观好,1180万,2室2厅 | 115平米 | 南 | 精装 | 低楼层(共31层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bb9ebca8-45c9-49ca-8731-a1e67a602dc9.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,前排高区大四房 空调地暖全配  在售江景开阔 无遮挡,2650万,4室2厅 | 200.44平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ULhQlEPnM.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,一线江景大宅+特色地中海风+出国急售+免个税+有车位,3500万,4室2厅 | 273.59平米 | 南 北 | 精装 | 高楼层(共35层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f23f45b3-3efb-4596-8c49-132b29c8a876.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,前排高区江景一览无余、精装修带地暖、带车位诚意房主自荐,3688万,5室2厅 | 281.41平米 | 南 | 精装 | 低楼层(共35层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3bd7e6c5-d07a-44a7-a82d-b6cf691fdad9.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,徐汇滨江大平层！纯套房设计！满五唯一税费少！优选!,4990万,4室2厅 | 376平米 | 南 | 精装 | 中楼层(共19层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m8rGJoR3M_1.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,徐汇滨江前排高区全视野黄浦江景观，2梯2户，南北通,2788万,4室2厅 | 218.75平米 | 南 | 精装 | 高楼层(共35层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-27c47a42-5384-4c2b-b365-7b53489535d4.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,前排看江景纯毛坯4房+户型方正+双套房设计+日照8小时,2050万,4室2厅 | 211平米 | 东南 | 毛坯 | 低楼层(共36层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2104e6fe-d5a4-47ea-9074-ccece56eb3f5.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,南北户型，采光好，可看江景，闹中取静，从未入住!,3450万,4室2厅 | 274.02平米 | 南 | 精装 | 高楼层(共19层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a4420dc1-348f-413a-bd38-4cc48daad91a.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,01年小区 好楼层，南北通风，小区位置安静带租赁车位,570万,2室2厅 | 84.27平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/98733ea0-fe4a-46a4-8b3b-f569011989d1_1000.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,满五唯一+少有电梯房+一南一北采光好+产权清晰！,649万,2室2厅 | 109.58平米 | 南 北 | 精装 | 低楼层(共18层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1097b995-b7c1-4760-a726-629d7d454e1c.jpg.296x216.jpg
20200208,徐汇,徐汇滨江,一梯二户，房型正气，产权清晰，看房方便。,430万,2室1厅 | 76.97平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/test-68ed7f74-508d-4c6d-a0f2-723784e618a6.png.296x216.jpg
