20200208,徐汇,徐家汇,精装修、户型方正，朝南，铂金3楼，只一套了必看好房,400万,1室1厅 | 40.85平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b4c3ffbb-1484-4250-a2dd-b60a5f89b99d.jpg.296x216.jpg
20200208,徐汇,徐家汇,低总价大三房+三开间朝南+格局方正南北通复旦教授为邻必看好房,870万,3室2厅 | 128.77平米 | 南 | 简装 | 低楼层(共16层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-6dea5560-b792-4f06-a0f4-b08c5d413e58.jpg.296x216.jpg
20200208,徐汇,徐家汇,双卧朝南 精装修 户型正气 带厅 距离地铁口450米必看好房,385万,2室1厅 | 52.07平米 | 南 | 精装 | 高楼层(共5层) | 1978年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7b960529-94b0-42b1-a656-99a3e66234c5.png.296x216.jpg
20200208,徐汇,徐家汇,满五唯一+ 业主诚意+层次分明+动静分离必看好房,1160万,3室2厅 | 171.9平米 | 西南 | 简装 | 低楼层(共21层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5285ddfc-3cc9-4502-b783-af42810bf928_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,小区总价低+徐汇、南洋模范+东边套小二房+价格可谈必看好房,427万,2室1厅 | 40.25平米 | 南 | 精装 | 中楼层(共5层) | 1985年建 | 板楼,https://image1.ljcdn.com/310000-inspection/cd44f9d1-3eb2-4144-9c23-2b582b34ddef_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,港汇旁 两房朝南 中间楼层 无遮挡 钥匙房必看好房,596万,2室1厅 | 50.57平米 | 南 | 简装 | 中楼层(共5层) | 1980年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-65a562d6-0a33-4e81-9d7e-aca28f4f68f5.jpg.296x216.jpg
20200208,徐汇,徐家汇,03年小区，品质全南一房格局方正，双南设计，满五唯一必看好房,588万,1室1厅 | 58.16平米 | 南 | 精装 | 高楼层(共19层) | 2003年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-00db7c4b-75ab-4adb-975e-d9f2b4f9e304.png.296x216.jpg
20200208,徐汇,徐家汇,业主急售，高区精装，各付各税，有产权车位；必看好房,1420万,3室2厅 | 172.63平米 | 南 北 | 精装 | 高楼层(共34层) | 2002年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-a6a539b8-82f8-478e-b79e-54d7d53fd35a.jpg.296x216.jpg
20200208,徐汇,徐家汇,双南户型，中区楼层，内环内，税费少，诚意出售必看好房,925万,2室2厅 | 111.28平米 | 南 | 简装 | 中楼层(共32层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/d0c6a6fe-9acd-44b9-a507-4e8a8be49b74_1000.jpg.296x216.jpg
20200208,徐汇,徐家汇,此房满五年，户型方正；700-800段优质两房，竞争力强必看好房,720万,2室2厅 | 84.15平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_eIHr6ArHk_1.jpg.296x216.jpg
20200208,徐汇,徐家汇,此房单价低总价低，格局方正，正看小区活动广场必看好房,820万,3室1厅 | 113.47平米 | 南 | 毛坯 | 低楼层(共26层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_4cDSNm1sF_1.jpg.296x216.jpg
