20200208,徐汇,植物园,华沁家园 全明一房两厅 精装修拎包入住 诚意出售必看好房,343万,1室2厅 | 56.19平米 | 南 | 精装 | 低楼层(共34层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_oMcLoxWZs_1.jpg.296x216.jpg
20200208,徐汇,植物园,急售房源 两房的价格买三房 单价仅5万 11年次新小区！必看好房,599万,3室2厅 | 117.45平米 | 南 北 | 毛坯 | 低楼层(共34层) | 2011年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_fvR6m4Z1C_1.jpg.296x216.jpg
20200208,徐汇,植物园,南北套户型  精装修拎包入住 江景房必看好房,585万,2室2厅 | 89.83平米 | 南 北 | 精装 | 中楼层(共32层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mMWk9mhVk_1.jpg.296x216.jpg
20200208,徐汇,植物园,华滨家园 高区 视野好 精装修 拎包入住必看好房,350万,1室2厅 | 57.39平米 | 东 东南 | 精装 | 中楼层(共25层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aeZ7WmGvy_1.jpg.296x216.jpg
20200208,徐汇,植物园,此房满五年，客厅朝南三楼 楼层好，采光和视野好必看好房,543万,2室2厅 | 83.84平米 | 南 | 精装 | 中楼层(共6层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_S4ARiAIsx_1.jpg.296x216.jpg
20200208,徐汇,植物园,地铁3号线，南北通风，阳光照射，视野开阔,配套完善必看好房,275万,2室0厅 | 52.12平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LagA8JWc2_1.jpg.296x216.jpg
20200208,徐汇,植物园,楼层好精装修房东诚意出售！！！必看好房,190万,1室1厅 | 39平米 | 南 | 精装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-645b5774-888c-4100-a0c3-092e3e7cd274.jpg.296x216.jpg
20200208,徐汇,植物园,精装修全屋地暖新风，中间楼层，近3号线石龙路站必看好房,350万,2室1厅 | 53.9平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jxfdAXTiG_1.jpg.296x216.jpg
20200208,徐汇,植物园,园南新上笋盘，底楼双南两房，附加18平天井。必看好房,385万,2室1厅 | 47平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WgTsuQezx_1.jpg.296x216.jpg
20200208,徐汇,植物园,优质两房 带天井 业主急售 有价可谈的舒适小屋必看好房,250万,2室1厅 | 52.77平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FzaD7ZB2J_1.jpg.296x216.jpg
20200208,徐汇,植物园,一梯两户，售后公房，边套全明户型，精装修拎包入住必看好房,333万,2室1厅 | 58.88平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MERCd33rP_1.jpg.296x216.jpg
20200208,徐汇,植物园,地铁3号线，近植物园，边套全明，视野开阔,一房户型好必看好房,265万,1室1厅 | 47.28平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0G6uHa97n_1.jpg.296x216.jpg
20200208,徐汇,植物园,中恒苑 2室1厅 470万必看好房,470万,2室1厅 | 86.24平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e0dcb888-4d2e-4d9c-add8-c043d19bab71.jpg.296x216.jpg
20200208,徐汇,植物园,园南二村 1室1厅 350万必看好房,350万,1室1厅 | 41平米 | 南 | 其他 | 低楼层(共6层) | 1992年建 | 板楼,
20200208,徐汇,植物园,售后公房满五唯一，采光通风好，业主诚意出售房主自荐,596万,2室2厅 | 82.64平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-1de77bcd-03e9-4131-a4a7-d5ea60285e4f.png.296x216.jpg
20200208,徐汇,植物园,南北的户型 采光好 客厅有窗户  总价低,279万,2室1厅 | 58.36平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b79e5206-75be-459d-8858-68287f649554.png.296x216.jpg
20200208,徐汇,植物园,电梯房，婚房装修，近植物园天然氧吧楼层高视野开阔。房主自荐,520万,3室2厅 | 84.27平米 | 南 | 精装 | 高楼层(共18层) | 1993年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_jJKw59ZFc_1.jpg.296x216.jpg
20200208,徐汇,植物园,华沁家园，南北套，高区三房，看房方便,743万,3室2厅 | 123.3平米 | 南 | 毛坯 | 高楼层(共32层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uSUWyXqbD_1.jpg.296x216.jpg
20200208,徐汇,植物园,高楼层的俩房，双南户型光照充足,555万,2室2厅 | 90.17平米 | 南 | 简装 | 高楼层(共27层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TR6qR8ALy_1.jpg.296x216.jpg
20200208,徐汇,植物园,华沁家园 2室2厅 560万,560万,2室2厅 | 90.17平米 | 南 | 简装 | 中楼层(共27层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_V9MkXcmy8_1.jpg.296x216.jpg
20200208,徐汇,植物园,动迁房 税费少 小区环境改良 景观房,680万,3室2厅 | 119.15平米 | 南 西 | 毛坯 | 高楼层(共17层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-aca9a547-854e-4a48-a9fe-d496ff5e7e20.jpg.296x216.jpg
20200208,徐汇,植物园,板式南北通2房，全明户型，看房方便，诚售,535万,2室2厅 | 89.25平米 | 南 北 | 毛坯 | 低楼层(共23层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Mtu5akk2s_1.jpg.296x216.jpg
